time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,curriculum/obs_quantity,train/value_loss,train/clip_fraction,train/ent_coef,curriculum/grid_size,train/approx_kl,train/loss,train/entropy_loss,train/clip_range,curriculum/stage_timesteps,curriculum/max_steps,train/policy_gradient_loss,train/learning_rate,curriculum/stage,train/explained_variance,eval/stage_timesteps,eval/std_ep_length,eval/mean_ep_length,eval/stage,eval/deterministic,eval/std_reward,eval/full_coverage_rate,eval/mean_reward
4,14,133120,1370,4.065520763397217,219.4,125,,0.5366864129900932,0.1228125,,,0.008829044,0.26828739047050476,-0.8730288016796112,0.2,,,-0.0034053789358586073,0.0001,,0.5593482255935669,,,,,,,,
5,20,138240,1273,4.471884727478027,210.74,130,,1.0979579067230225,0.061328125,,,0.00559555,0.5148509740829468,-0.8059419071674347,0.2,,,-0.002945723971351981,0.0001,,0.3123754858970642,,,,,,,,
6,25,143360,1211,4.3836750984191895,217.82,135,,1.043545966744423,0.0843359375,,,0.006846535,0.4098762273788452,-0.815037013888359,0.2,,,-0.005408096043393016,0.0001,,0.3094026446342468,,,,,,,,
7,30,148480,1185,5.171450138092041,198.97,140,,0.8099085021018982,0.0975390625,,,0.0077044703,0.29144495725631714,-0.7763273340463638,0.2,,,-0.004158443291671574,0.0001,,0.3562898635864258,,,,,,,,
8,35,153600,1159,5.157567024230957,197.66,145,,1.104495159983635,0.08484375,,,0.0071101906,0.6690980792045593,-0.7718521106243134,0.2,,,-0.004020412808749825,0.0001,,0.3363384008407593,,,,,,,,
9,40,158720,1144,4.8733015060424805,203.31,150,,1.065147224664688,0.0726953125,,,0.0074015176,0.5323948860168457,-0.7909139400720596,0.2,,,-0.003190821243915707,0.0001,,0.2805887460708618,,,,,,,,
10,45,163840,1132,5.446556568145752,187.72,155,,0.8581101167201995,0.09984375,,,0.007181513,0.4479961097240448,-0.7547310703992843,0.2,,,-0.0037454723753035067,0.0001,,0.2732173800468445,,,,,,,,
1,3,168960,1537,5.369409561157227,191.09,160,8,1.084316405057907,0.08953125,0.004416,8,0.009874595,0.3322678804397583,-0.7282689690589905,0.2,51200,320,-0.003669759379699826,0.0001,2,0.19192707538604736,,,,,,,,
2,8,174080,1223,5.065348148345947,196.13,165,,0.7659362816810608,0.117421875,,,0.008564484,0.416448175907135,-0.7613854229450225,0.2,,,-0.002225111876614392,0.0001,,0.3207707405090332,,,,,,,,
3,13,179200,1150,5.2340898513793945,197.54,170,,0.9009048622846604,0.0875,,,0.008203762,0.5236011147499084,-0.7460560816526413,0.2,,,-0.003943674862384796,0.0001,,0.3428386449813843,,,,,,,,
4,18,184320,1116,5.151521682739258,198.01,175,,1.0725126546621322,0.0677734375,,,0.004584103,0.5897789001464844,-0.7555166763067246,0.2,,,-0.003367891265079379,0.0001,,0.29793626070022583,,,,,,,,
