time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/value_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/explained_variance,curriculum/stage_timesteps,curriculum/obs_quantity,curriculum/preferred_eval_mode,train/ent_coef,curriculum/max_steps,train/stage_learning_rate,curriculum/stage,curriculum/grid_size,plasticity/effective_rank_99_normalized_mean,plasticity/effective_rank_99_mean,plasticity/low_weight_units,plasticity/weight_rms,plasticity/total_weight_units,plasticity/weight_abs_mean,plasticity/low_weight_unit_ratio,plasticity/weight_max_abs,eval/full_coverage_rate,eval/mean_reward,eval/std_reward,eval/mean_ep_length,eval/deterministic,eval/stage_timesteps,eval/std_ep_length,eval/stage,eval/promotion_min_mean_reward,eval/mode_gap,eval/stochastic_quality_passed,eval/promotion_max_mean_length,eval/deterministic_promotion_floor,eval/promotion_passed,eval/deterministic_quality_passed,eval/quality_promotion_passed,eval/diagnostic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/deterministic_full_coverage_rate,eval/promotion_full_coverage_rate,eval/coverage_promotion_passed
5,97280,173.4,177,144,-4.570401191711426,7e-05,-1.270662496611476,0.08,-0.002505791166913696,1.5738006830215454,0.24122613792569608,0.0016922947,144,0.160546875,0.5001518726348877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,-1.2590299222618342,0.08,-0.0029849405284039674,1.043190360069275,0.6735761440475472,0.0018824553,152,0.1607666015625,0.34938907623291016,,,,,,,,,0.9789496527777778,140.33333333333334,0,0.033315377237374044,1925,0.01882567493273316,0.0,0.9014849662780762,,,,,,,,,,,,,,,,,,,,,
1,102400,172.24,2,2010,-3.968205213546753,,,,,,,,,,,76800,3,0,0.004248,200,7e-05,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,107520,167.53,46,220,-3.948610544204712,7e-05,-1.2398614179342986,0.08,-0.0029053670543362385,-0.002178344875574112,0.5444588489161106,0.0019771918,160,0.1837158203125,0.3365427851676941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,112640,166.32,84,181,-3.6599295139312744,7e-05,-1.2399887714534998,0.08,-0.00297194321610732,0.025262458249926567,0.3735840847453801,0.0020577617,168,0.1750732421875,0.4409780502319336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,117760,159.02,125,162,-3.562685489654541,7e-05,-1.227746181935072,0.08,-0.0006892076984513551,0.18703825771808624,0.7919626548857195,0.0022485857,176,0.1603515625,0.3218597173690796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,122880,154.76,170,150,-3.408296585083008,7e-05,-1.2222883619368077,0.08,0.0007013604481471702,1.4935799837112427,1.0913215818203752,0.0025421786,184,0.2182373046875,0.2897511124610901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,-1.215888525918126,0.08,-0.0037092248647240924,0.009064218029379845,0.608980249063461,0.0019324295,192,0.1791748046875,0.39979344606399536,,,,,,,,,0.9701605902777778,138.75,1,0.030424530586753866,1925,0.016181755521449855,0.0005194805194805195,0.8949610590934753,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,-3.465153957232833,4.570844336110437,157.59,0,102400,49.24329294431883,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5.046324310302734,1.6469916771329842,200.0,1,102400,0.0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102400,,1,6.75,0.53,0,45.0,0.6649999999999999,0,0,0,0.53,0.53,0.0,0.53,0
1,128000,155.77,2,2221,-3.3445651531219482,,,,,,,,,,,102400,3,1,0.0010000000000000009,200,7e-05,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,133120,160.55,42,241,-3.7489044666290283,7e-05,-1.2117319960147142,0.08,-0.00034870073286583645,0.6707645654678345,0.6023953673400684,0.0024779574,200,0.2336669921875,0.3961195945739746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138240,159.25,83,184,-4.264366626739502,7e-05,-1.1940164394676684,0.08,-0.0015013875599834137,0.006420060060918331,0.5643041520001134,0.0018537818,208,0.1669921875,0.42032188177108765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,143360,156.12,122,167,-3.9185550212860107,7e-05,-1.1885291013866663,0.08,-0.0014264441255363637,0.12451668083667755,1.6210461004753598,0.0024040625,216,0.178466796875,0.29638510942459106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,148480,149.4,160,159,-3.571789026260376,7e-05,-1.1867591794580221,0.08,-0.0020971560676116495,0.01075739599764347,0.990329153984203,0.0019543786,224,0.18525390625,0.3852640986442566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,-1.1859099939465523,0.08,-0.00279110203118762,0.04146137833595276,0.9149743902031332,0.0023368993,232,0.1467041015625,0.36986082792282104,,,,,,,,,0.9619140625,137.16666666666666,1,0.028077954686945045,1925,0.014173057043463734,0.0005194805194805195,0.8933901190757751,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-2.7671850477159023,4.569955664954216,146.91,0,128000,52.92808233820682,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-4.322353168725967,2.5011144040426214,200.0,1,128000,0.0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128000,,1,6.75,0.6,0,45.0,0.6649999999999999,0,0,0,0.6,0.6,0.0,0.6,0
1,153600,152.65,1,2600,-2.698168992996216,,,,,,,,,,,128000,3,1,0.0010000000000000009,200,7e-05,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,158720,145.97,40,255,-2.7567734718322754,7e-05,-1.1728050258010625,0.08,-0.0028264923152164557,0.06273192912340164,0.9381838596658781,0.0020443755,240,0.1488037109375,0.3921812176704407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,163840,141.02,81,188,-2.1539289951324463,7e-05,-1.1593397699296475,0.08,-0.001421486034814734,0.027868371456861496,1.6425083759997505,0.0016715194,248,0.187060546875,0.3473220467567444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,168960,129.95,123,166,-1.7241134643554688,7e-05,-1.1635195687413216,0.08,-0.002428398146003019,0.033310241997241974,1.0948729159659707,0.0018007563,256,0.1572021484375,0.44584089517593384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,174080,125.34,162,157,-1.6769541501998901,7e-05,-1.1548977687954902,0.08,-0.000776147362194024,0.06797980517148972,1.8017729755520122,0.0019514461,264,0.172705078125,0.3991159200668335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,-1.1454588156193495,0.08,-0.0006565226998645812,0.7633768916130066,1.444550721955602,0.0021220841,272,0.1843017578125,0.5116357803344727,,,,,,,,,0.9529079861111112,135.25,1,0.026163383807149578,1925,0.012615336952402736,0.0005194805194805195,0.8921816349029541,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,-2.676556056290865,5.415215694496476,133.3,0,153600,54.801916024898254,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,-3.471072255373001,2.32691055890529,196.58,1,153600,23.943759103365537,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153600,,1,6.75,0.71,0,45.0,0.6649999999999999,0,0,0,0.73,0.73,0.02,0.73,0
1,179200,124.95,1,2571,-1.8838012218475342,,,,,,,,,,,153600,3,1,0.0010000000000000009,200,7e-05,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,184320,122.1,46,218,-1.1516661643981934,7e-05,-1.1325058326125146,0.08,-0.0014602903829654679,0.09793965518474579,1.2214561554661487,0.002060248,280,0.1423583984375,0.5588091611862183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,189440,112.73,90,169,-0.4339272975921631,7e-05,-1.1222093194723128,0.08,-0.0020113152888370676,0.718881368637085,1.6353573141037487,0.0018030338,288,0.16796875,0.5339894890785217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,194560,109.05,135,151,-0.37235182523727417,7e-05,-1.1252581380307674,0.08,-0.0011115243440144695,0.25801149010658264,2.0997164070024157,0.0019069441,296,0.18251953125,0.5511164665222168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,199680,111.45,181,141,-1.15171217918396,7e-05,-1.1160752024501561,0.08,-0.0001449948118533939,0.6696298122406006,1.8015928131528198,0.001820031,304,0.1611328125,0.5653328895568848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,-1.120271550118923,0.08,-0.001047563056636136,0.8600876927375793,1.7340771697694435,0.0017924145,312,0.114501953125,0.6621911525726318,,,,,,,,,0.9429253472222222,133.08333333333334,4,0.024490989350301032,1925,0.01131005363113808,0.002077922077922078,0.8916854858398438,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.29582162261009215,5.427081173419818,100.97,0,179200,56.851992929008205,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.4667794132232666,4.71369037169469,147.87,1,179200,76.06703030880067,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179200,,1,6.75,0.52,0,45.0,0.6649999999999999,0,0,0,0.84,0.84,0.32,0.84,0
1,204800,112.61,2,1960,-1.4491130113601685,,,,,,,,,,,179200,3,1,0.0010000000000000009,200,7e-05,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,209920,108.84,42,243,-0.7743989825248718,7e-05,-1.1127369474619626,0.08,-0.0010731503134593368,1.2457746267318726,1.6392040157923475,0.0021233063,320,0.138427734375,0.6885199546813965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,215040,105.68,87,175,-0.7874054908752441,7e-05,-1.1077173862606287,0.08,-0.002126123018388171,1.3332509994506836,2.278943423344754,0.0016814007,328,0.1427490234375,0.6022989749908447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,220160,101.51,135,150,-0.5511776208877563,7e-05,-1.1034923288971186,0.08,-0.0008196028415113687,1.1491540670394897,2.1478931152028964,0.0028452477,336,0.1552734375,0.6164520382881165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,225280,106.94,181,140,-0.8677865862846375,7e-05,-1.1071513766422867,0.08,-0.0005478009028593078,0.8164125084877014,2.540522645029705,0.002148619,344,0.1593505859375,0.6317135095596313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,-1.10356923379004,0.08,9.57197553361766e-05,0.7460862398147583,2.1469206559238954,0.0023028448,352,0.203173828125,0.69687819480896,,,,,,,,,0.9328342013888888,130.5,14,0.022904999339856538,1925,0.010029934176574226,0.007272727272727273,0.8905106782913208,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.9018871015310288,5.102728950904992,91.06,0,204800,51.35071956652603,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.28602841258049,5.331547679558361,118.4,1,204800,81.75964774875196,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204800,,1,6.75,0.39,0,45.0,0.6649999999999999,0,0,0,0.89,0.89,0.5,0.89,0
1,230400,102.97,2,2339,-0.5090431571006775,,,,,,,,,,,204800,3,1,0.0010000000000000009,200,7e-05,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,235520,80.29,42,238,1.6014258861541748,7e-05,-1.0947845304384827,0.08,0.00032375277078244835,1.7480905055999756,2.217320135119371,0.0020724183,360,0.2099365234375,0.6911600828170776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,240640,78.18,83,184,1.3798693418502808,7e-05,-1.058499575778842,0.08,-0.0014908419223502278,1.4334843158721924,2.806248276308179,0.0015810948,368,0.1287109375,0.6117916107177734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,245760,82.65,125,163,1.0783419609069824,7e-05,-1.0660288253799082,0.08,-0.0014391656877705827,1.5998799800872803,2.960484722768888,0.002323188,376,0.1271484375,0.6627016067504883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,250880,75.79,163,156,2.4367587566375732,7e-05,-1.063745023868978,0.08,-0.001537782687228173,0.7840065956115723,2.186390963755548,0.0021432745,384,0.1373779296875,0.6840193271636963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,-1.040589196048677,0.08,-0.001384521831641905,1.0747286081314087,2.2620077687315643,0.0024688584,392,0.1572021484375,0.7510420083999634,,,,,,,,,0.919921875,127.33333333333333,17,0.021459785600965463,1925,0.00897880542942634,0.008831168831168832,0.888084888458252,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,2.1453296022117136,5.032423370308965,74.25,0,230400,40.79200289272396,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.9083969235420227,8.81448928534347,110.97,1,230400,82.3676459539788,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230400,,1,6.75,0.42999999999999994,0,45.0,0.6649999999999999,0,0,0,0.97,0.97,0.54,0.97,0
1,256000,73.17,1,2655,2.3523974418640137,,,,,,,,,,,230400,3,1,0.0010000000000000009,200,7e-05,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
