time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/approx_kl,train/value_loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/n_updates
3,107520,1,1701,0.19052734375,0.018918198,0.14888001542538404,0.28879088163375854,-0.7078148862719535,0.0003,0.2,-0.005093000829219818,-0.019650282522197814,200
9,112640,2,1111,0.19013671875,0.016644461,0.13652368661016226,0.312198281288147,-0.6991124486923218,0.0003,0.2,0.01189100369811058,-0.01847994782496244,210
3,117760,1,1336,0.17794921875,0.01628671,0.12976674016565085,0.35977035760879517,-0.6883094802498817,0.0003,0.2,-0.002952083945274353,-0.016386055132607,220
9,122880,2,1117,0.2342578125,0.02208063,0.15140759125351905,0.43836164474487305,-0.7768366745114327,0.0003,0.2,-0.03336463123559952,-0.01934439890086651,230
3,128000,1,1598,0.207734375,0.017829409,0.15515521451830863,0.626298725605011,-0.8196811068058014,0.0003,0.2,0.003988102078437805,-0.013266642342787236,240
8,133120,2,1219,0.21189453125,0.019110698,0.17454518124461174,0.6745181083679199,-0.8225087344646453,0.0003,0.2,-0.01113758236169815,-0.01905330643407069,250
2,138240,1,2046,0.217734375,0.01873115,0.16259909685701132,0.6550954580307007,-0.8107411739230156,0.0003,0.2,-0.01940324157476425,-0.0149219554127194,260
7,143360,2,1294,0.20580078125,0.019906316,0.17595339175313712,0.5482883453369141,-0.8148530343174935,0.0003,0.2,0.0046185776591300964,-0.015958622423931958,270
3,148480,1,1637,0.2025,0.020503387,0.1545140641182661,0.517918586730957,-0.8245483413338661,0.0003,0.2,-0.00725969672203064,-0.01617191334022209,280
10,153600,2,997,0.21248046875,0.021399943,0.14426750499755145,0.45249658823013306,-0.8062010034918785,0.0003,0.2,-0.014297857880592346,-0.015842789355665444,290
3,158720,1,1366,0.19708984375,0.020849053,0.14250646259635688,0.45207661390304565,-0.8093551638722419,0.0003,0.2,-0.02736324816942215,-0.017969403057359157,300
10,163840,2,981,0.21638671875,0.020392135,0.1425068563595414,0.36604607105255127,-0.8149907279014588,0.0003,0.2,-0.008371300995349884,-0.0152758865384385,310
3,168960,1,1511,0.20677734375,0.018850602,0.1660842165350914,0.4154825806617737,-0.8119142976403236,0.0003,0.2,-0.013865619897842407,-0.01895574251189828,320
10,174080,2,1016,0.1939453125,0.01735222,0.1503681529313326,0.3238641023635864,-0.7944012212753296,0.0003,0.2,0.0025140494108200073,-0.016723597100935877,330
3,179200,1,1387,0.21091796875,0.020200295,0.15361321493983268,0.3031635880470276,-0.7938507461547851,0.0003,0.2,-0.011365573853254318,-0.016755525874905287,340
10,184320,2,975,0.2109375,0.021237597,0.13055387929081916,0.2040063738822937,-0.8039360943436623,0.0003,0.2,-0.019515499472618103,-0.017739755497314037,350
3,189440,1,1402,0.21,0.021949485,0.15314585857093335,0.24158155918121338,-0.7986234831809997,0.0003,0.2,-0.01821635290980339,-0.01949135904898867,360
10,194560,2,1009,0.2013671875,0.019530538,0.1613515217974782,0.36836397647857666,-0.778486497104168,0.0003,0.2,-0.012683868408203125,-0.02166358063928783,370
3,199680,1,1357,0.20806640625,0.02146213,0.19005268789827823,0.31258517503738403,-0.7702776470780373,0.0003,0.2,0.005473725497722626,-0.01655515962978825,380
10,204800,2,1013,0.22314453125,0.021378117,0.152998179346323,0.40474802255630493,-0.7855636304616929,0.0003,0.2,-0.016837678849697113,-0.018898281988222153,390
2,209920,1,1877,0.20447265625,0.021096025,0.15731442980468274,0.45267754793167114,-0.7953198626637459,0.0003,0.2,-0.002288881689310074,-0.01989966950379312,400
8,215040,2,1273,0.2148828125,0.02134382,0.14529691848903895,0.46613746881484985,-0.8129141989350319,0.0003,0.2,-0.03367015719413757,-0.017676980399992315,410
3,220160,1,1418,0.2093359375,0.02216959,0.13422754952684046,0.3244304656982422,-0.8143383017182351,0.0003,0.2,-0.01384996622800827,-0.019439458465203643,420
9,225280,2,1102,0.207578125,0.024509933,0.12532024051994084,0.34212005138397217,-0.8126910993456841,0.0003,0.2,-0.036385469138622284,-0.019841337245889008,430
3,230400,1,1591,0.19517578125,0.019237217,0.12859529098495842,0.37425023317337036,-0.8260405200719834,0.0003,0.2,-0.033505700528621674,-0.019717698737513275,440
9,235520,2,1082,0.21712890625,0.02115389,0.11613765886053443,0.3321284055709839,-0.8276227241754532,0.0003,0.2,-0.05722212418913841,-0.023848950336687266,450
3,240640,1,1451,0.208203125,0.019700294,0.13466399248689412,0.27074068784713745,-0.8369443497061729,0.0003,0.2,-0.003475528210401535,-0.0200618851557374,460
9,245760,2,1061,0.19779296875,0.023065425,0.1387947216257453,0.3863767981529236,-0.8354246452450752,0.0003,0.2,-0.017402425408363342,-0.024210523208603264,470
2,250880,1,1874,0.20736328125,0.019423824,0.11698802644386888,0.4576336741447449,-0.8518446603417397,0.0003,0.2,-0.022525422275066376,-0.020485560686793178,480
10,256000,2,1017,0.248046875,0.022020588,0.134860346801579,0.5233715772628784,-0.872629061639309,0.0003,0.2,-0.00698455423116684,-0.0214344081049785,490
3,261120,1,1426,0.20552734375,0.021035973,0.17088805694133044,0.4893369674682617,-0.866031932234764,0.0003,0.2,-0.02441398799419403,-0.020984244479332118,500
9,266240,2,1066,0.22212890625,0.022791399,0.16787892289459705,0.4819040298461914,-0.8559216997027397,0.0003,0.2,-0.03138907998800278,-0.02332982835127041,510
2,271360,1,1970,0.2305859375,0.025324568,0.15190636537969113,0.3533955216407776,-0.8778111764788628,0.0003,0.2,-0.017632801085710526,-0.02323087024036795,520
8,276480,2,1231,0.2351171875,0.023316104,0.13366226468235254,0.24899494647979736,-0.8944464689493179,0.0003,0.2,-0.05570809543132782,-0.022959907660260796,530
2,281600,1,1864,0.2310546875,0.023070915,0.10003883780911565,0.20408415794372559,-0.8814567437767983,0.0003,0.2,-0.04017815738916397,-0.022426873391959815,540
7,286720,2,1304,0.21689453125,0.020846937,0.09450136555358768,0.20419377088546753,-0.8910571613907814,0.0003,0.2,-0.06342338025569916,-0.022035531285218894,550
3,291840,1,1663,0.2029296875,0.021110453,0.08371051456779241,0.2668437957763672,-0.8779593873023986,0.0003,0.2,-0.06026771664619446,-0.026439203487243504,560
8,296960,2,1163,0.2031640625,0.021025727,0.09189378134906293,0.22146731615066528,-0.8681925114989281,0.0003,0.2,-0.04929521679878235,-0.02266933471430093,570
3,302080,1,1597,0.2203515625,0.02224094,0.09653682474046946,0.21779698133468628,-0.8605904230475425,0.0003,0.2,-0.05497655272483826,-0.024437267624307424,580
8,307200,2,1199,0.21599609375,0.022824343,0.10256084196269512,0.24998372793197632,-0.8836752244830132,0.0003,0.2,-0.040195949375629425,-0.02333862435305491,590
3,312320,1,1612,0.20521484375,0.020589631,0.10797500004991889,0.16204684972763062,-0.8588455012440681,0.0003,0.2,-0.027203185483813286,-0.02563056998187676,600
9,317440,2,1118,0.21404296875,0.019546565,0.11037355141714215,0.3431801199913025,-0.8632112994790078,0.0003,0.2,-0.040314000099897385,-0.02180052574025467,610
2,322560,1,1711,0.2105859375,0.019413862,0.13345524046570062,0.4324491024017334,-0.8472851118445397,0.0003,0.2,-0.05086248368024826,-0.02533946086419746,620
8,327680,2,1139,0.20666015625,0.02559736,0.1295375285670161,0.2846308946609497,-0.8568863576650619,0.0003,0.2,-0.029154296964406967,-0.021829511607065796,630
2,332800,1,2055,0.24552734375,0.021998938,0.12270336112007499,0.2924065589904785,-0.8604532498121261,0.0003,0.2,-0.04764401167631149,-0.029091509303543716,640
7,337920,2,1345,0.22552734375,0.02427557,0.1180621936917305,0.20440047979354858,-0.8425044015049934,0.0003,0.2,-0.0589645579457283,-0.025146937537938355,650
3,343040,1,1565,0.2298046875,0.024456093,0.12516275415197015,0.21081900596618652,-0.8576512944698333,0.0003,0.2,-0.07155070453882217,-0.027528068423271178,660
9,348160,2,1039,0.22876953125,0.021169983,0.05375398402102292,0.40157413482666016,-0.9302422317862511,0.0003,0.2,-0.09400209784507751,-0.030976256732828916,670
3,353280,1,1332,0.22658203125,0.01987755,0.050558147765696046,0.32288867235183716,-0.9546176892518997,0.0003,0.2,-0.08179448544979095,-0.030017109815962614,680
10,358400,2,975,0.2431640625,0.021289706,0.062068239906802776,0.6092963218688965,-0.9527864262461663,0.0003,0.2,-0.09485790133476257,-0.03151382645359263,690
4,363520,1,1266,0.24318359375,0.020281311,0.05600278644822538,0.6482674479484558,-0.9205403596162796,0.0003,0.2,-0.09666142612695694,-0.0308585055032745,700
12,368640,2,852,0.2158984375,0.019468749,0.06530045116320253,0.7166793346405029,-0.9181186869740486,0.0003,0.2,-0.05888507515192032,-0.026462136099580674,710
3,373760,1,1549,0.24552734375,0.022403067,0.06505259484052658,0.747851550579071,-0.9322109594941139,0.0003,0.2,-0.07260017096996307,-0.026561340042389928,720
9,378880,2,1131,0.222890625,0.020985046,0.06727701710537076,0.8357940912246704,-0.9006997445225715,0.0003,0.2,-0.0782146230340004,-0.029106246700976043,730
3,384000,1,1616,0.23201171875,0.021876087,0.05982191409915685,0.8312946557998657,-0.9402470928430557,0.0003,0.2,-0.06432647258043289,-0.026198700722306966,740
8,389120,2,1199,0.22025390625,0.020393766,0.07860765165649354,0.8370214700698853,-0.9104024234414101,0.0003,0.2,-0.048336610198020935,-0.021825424963608384,750
3,394240,1,1439,0.1916796875,0.019017434,0.1037248594686389,0.7851568460464478,-0.9181079810857773,0.0003,0.2,-0.0535823255777359,-0.022935285693965853,760
9,399360,2,1043,0.21673828125,0.019467209,0.07370423702523113,0.8344166278839111,-0.9463162484765053,0.0003,0.2,-0.05935966968536377,-0.026688234070315956,770
2,404480,1,1844,0.23970703125,0.02259763,0.09419165192171931,0.7996643781661987,-0.9435015273094177,0.0003,0.2,-0.06658691167831421,-0.024328532924409955,780
9,409600,2,1084,0.24392578125,0.022549937,0.09183100863359868,0.8162134885787964,-0.9646883285045624,0.0003,0.2,-0.0770743191242218,-0.024046805903781207,790
3,414720,1,1348,0.2290625,0.021390915,0.06059236123226583,0.8298557996749878,-0.9391007527709008,0.0003,0.2,-0.06959397345781326,-0.022266502380371093,800
9,419840,2,1070,0.2365234375,0.02303427,0.08931779554113746,0.768296480178833,-0.9634070202708245,0.0003,0.2,-0.06862848252058029,-0.022975197844207287,810
3,424960,1,1284,0.2179296875,0.019519536,0.07590517816133797,0.8061449527740479,-0.9738590139150619,0.0003,0.2,-0.058841414749622345,-0.023212786100339146,820
10,430080,2,972,0.20490234375,0.018284496,0.09177433559671044,0.7976434826850891,-0.962905795276165,0.0003,0.2,-0.07073814421892166,-0.02325652024243027,830
3,435200,1,1322,0.22408203125,0.019632751,0.07306419136933982,0.8353219032287598,-0.9777343386411667,0.0003,0.2,-0.08275233209133148,-0.026032595178112388,840
9,440320,2,1040,0.2105078125,0.02096633,0.08160758853890002,0.7575350999832153,-0.9748616400361061,0.0003,0.2,-0.0681840032339096,-0.022276417929679156,850
3,445440,1,1487,0.21798828125,0.018794736,0.05883034072816372,0.8266716003417969,-1.008451777100563,0.0003,0.2,-0.06446104496717453,-0.027498648362234236,860
9,450560,2,1099,0.20873046875,0.017413544,0.049154934361577036,0.8652156591415405,-0.9948296028375626,0.0003,0.2,-0.0761440321803093,-0.023847766411490737,870
3,455680,1,1495,0.2207421875,0.02261358,0.10024688858538866,0.7364006042480469,-0.9883638280630112,0.0003,0.2,-0.061850011348724365,-0.022096622299868612,880
9,460800,2,1037,0.21080078125,0.018927477,0.06983463431708514,0.7820591926574707,-0.9838948729634285,0.0003,0.2,-0.07609127461910248,-0.021606927230022846,890
3,465920,1,1549,0.1942578125,0.017176624,0.06872704421170056,0.6763094067573547,-1.009418549835682,0.0003,0.2,-0.06957917660474777,-0.02482835149858147,900
9,471040,2,1129,0.2051953125,0.018140351,0.06699850061908365,0.7890967726707458,-1.0067301934957504,0.0003,0.2,-0.07950359582901001,-0.02758266205433756,910
3,476160,1,1646,0.22908203125,0.02013251,0.09594759262166917,0.6409589052200317,-1.0059066066145896,0.0003,0.2,-0.07715019583702087,-0.026884884177707135,920
8,481280,2,1144,0.21375,0.019405808,0.05443717569112778,0.7327603101730347,-0.9982073518633843,0.0003,0.2,-0.07148997485637665,-0.028340924261137844,930
3,486400,1,1406,0.2038671875,0.017624248,0.06312275179661811,0.7250911593437195,-0.9653754276037216,0.0003,0.2,-0.0737060010433197,-0.024370690674986692,940
10,491520,2,1023,0.20498046875,0.017191485,0.08520614992827177,0.7172610759735107,-0.9956751549243927,0.0003,0.2,-0.08988043665885925,-0.028251800052821636,950
4,496640,1,1210,0.2081640625,0.021698214,0.061239064820110795,0.788454532623291,-0.9902963447570801,0.0003,0.2,-0.0783047303557396,-0.028462427682243288,960
