time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/learning_rate,train/loss,train/explained_variance,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/n_updates,train/entropy_loss,train/approx_kl
9,43,250880,1061,0.0001,0.04113180935382843,0.7514142394065857,0.11136596634984017,0.06259765625,-0.0037107386835850773,0.2,480,-0.24833307906985283,0.005058055
10,48,256000,1053,0.0001,0.02055349387228489,0.8501135110855103,0.08002440147101879,0.065,-0.004901043057907372,0.2,490,-0.21137817099690437,0.009559261
1,2,261120,2253,0.0001,0.030928904190659523,0.8250824213027954,0.10918440133333206,0.0560546875,-0.004010884594172239,0.2,500,-0.19903798289597036,0.008630833
2,7,266240,1370,0.0001,0.017482958734035492,0.816798985004425,0.08897260017693043,0.05939453125,-0.004017344077583402,0.2,510,-0.22811798095703126,0.006465049
3,12,271360,1237,0.0001,0.02605597861111164,0.7930301427841187,0.07510656444355845,0.054296875,-0.004085315717384219,0.2,520,-0.2035393251478672,0.0051016225
4,17,276480,1181,0.0001,0.03190549463033676,0.8332921266555786,0.06048184093087912,0.04576171875,-0.0040286221145652236,0.2,530,-0.1865347508341074,0.004320877
5,22,281600,1149,0.0001,0.018488934263586998,0.8662339448928833,0.09200562100857496,0.046171875,-0.0019990877504460513,0.2,540,-0.17932424686849116,0.004975041
6,27,286720,1108,0.0001,0.03821601718664169,0.8208816051483154,0.11125730767846108,0.0542578125,-0.0014029332296922803,0.2,550,-0.19711637035012244,0.0058520767
7,32,291840,1106,0.0001,0.023060722276568413,0.6416535377502441,0.07778396807610989,0.0558203125,-0.0005663971533067524,0.2,560,-0.18747494816780091,0.0070083574
8,37,296960,1106,0.0001,0.02161627821624279,0.7006024122238159,0.08719418214634062,0.05333984375,-0.003086298233829439,0.2,570,-0.1765641074627638,0.0063994653
9,41,302080,1105,0.0001,0.024405881762504578,0.7748452425003052,0.09463305128738284,0.05826171875,-0.003057082104496658,0.2,580,-0.20883700646460057,0.008268835
10,46,307200,1098,0.0001,0.020210208371281624,0.6649268865585327,0.05022171076387167,0.0456640625,-0.0036807970004156232,0.2,590,-0.1419200585409999,0.006189148
1,2,312320,2428,0.0001,-0.004219247028231621,0.7784409523010254,0.038923237025737766,0.05275390625,-0.004373154186177999,0.2,600,-0.16785487905144691,0.009426716
2,7,317440,1442,0.0001,0.04116750508546829,0.7695915699005127,0.05631785206496716,0.05291015625,-0.0047602476691827175,0.2,610,-0.18035555392503738,0.009925218
3,13,322560,1145,0.0001,0.006446598097681999,0.7809860706329346,0.043017706498503686,0.05568359375,-0.0003808127553202212,0.2,620,-0.1651637586951256,0.008506045
4,19,327680,1069,0.0001,0.028110314160585403,0.7925319075584412,0.06732264162972569,0.05744140625,0.00019647616893053054,0.2,630,-0.20613611601293086,0.0065206746
5,25,332800,1010,0.0001,0.020312529057264328,0.8339991569519043,0.058939514569938185,0.05560546875,-0.006089981391560286,0.2,640,-0.1956958618760109,0.00814861
6,30,337920,996,0.0001,0.08268576860427856,0.7869688272476196,0.0718967082457883,0.05357142857142857,-0.002817995950047459,0.2,649,-0.19981626663889204,0.010308653
7,36,343040,971,0.0001,0.01550986897200346,0.8079841732978821,0.053019977984949944,0.0628125,-0.0031966790754813703,0.2,659,-0.1690249575674534,0.012969911
8,42,348160,956,0.0001,0.02569369412958622,0.6668022871017456,0.09284641707316041,0.06658203125,-0.00031139066675677895,0.2,669,-0.1837495730817318,0.007291954
9,48,353280,948,0.0001,0.03207801282405853,0.8175007104873657,0.07014561641961337,0.05126953125,-0.004474346195347607,0.2,679,-0.20885214425623416,0.006633936
10,54,358400,941,0.0001,0.03195831552147865,0.8507155776023865,0.09697454618290066,0.0587890625,-0.0036553019192069767,0.2,689,-0.21847589179873467,0.0060294913
1,2,363520,2029,0.0001,0.07371348142623901,0.8316062688827515,0.12760848321020604,0.052578125,-0.004552960474975407,0.2,699,-0.21704911328852178,0.0075839376
2,8,368640,1277,0.0001,0.02531370148062706,0.6808047294616699,0.06521529434248804,0.0444921875,-0.0026507693633902817,0.2,709,-0.14756151858717204,0.009460239
3,13,373760,1163,0.0001,0.0004616677761077881,0.8023797273635864,0.049347624005749824,0.04470703125,-0.003934653133619577,0.2,719,-0.15360611621290446,0.0062713465
4,18,378880,1118,0.0001,0.003954391926527023,0.7910788059234619,0.050387041475623846,0.048125,-0.0032242363994009794,0.2,729,-0.14768550395965577,0.007940365
5,23,384000,1096,0.0001,0.03891591355204582,0.812873363494873,0.08448913920670748,0.04369140625,-0.0028314566775225103,0.2,739,-0.17615165501832963,0.0060309167
6,28,389120,1072,0.0001,0.020899074152112007,0.7281160354614258,0.05074974711984396,0.0494921875,-0.00223149458412081,0.2,749,-0.15340623136609793,0.009015382
7,34,394240,1052,0.0001,0.00897151604294777,0.8132307529449463,0.0916364629380405,0.06384765625,-0.004281104125548154,0.2,759,-0.2407319128513336,0.009899987
8,39,399360,1033,0.0001,0.030261117964982986,0.8022386431694031,0.07271910034120083,0.06150390625,-0.006093179592862725,0.2,769,-0.17513567216694356,0.006831906
9,45,404480,1019,0.0001,0.021258201450109482,0.7252007722854614,0.08064966743811965,0.07029296875,-0.007172764588613063,0.2,779,-0.1755826787650585,0.009381756
10,50,409600,1010,0.0001,0.0103075560182333,0.8041582107543945,0.05265177174471319,0.05423828125,-0.002792647306341678,0.2,789,-0.17029122442007064,0.008953304
1,2,414720,2105,0.0001,0.007123233750462532,0.6790835857391357,0.0380669386126101,0.0525390625,-0.0035274469410069287,0.2,799,-0.13750276807695627,0.006651172
2,8,419840,1274,0.0001,0.004008430987596512,0.7446221113204956,0.024719454385340213,0.047734375,-0.0042329322826117274,0.2,809,-0.1304210340604186,0.009257971
3,13,424960,1142,0.0001,0.0022552572190761566,0.7574859261512756,0.029755727648735047,0.04560546875,-0.0037177220964804292,0.2,819,-0.14602935411036014,0.004742492
4,18,430080,1110,0.0001,0.013054128736257553,0.7333412170410156,0.039011007128283384,0.0601953125,-0.005101930294185877,0.2,829,-0.15002985894680024,0.012452723
5,23,435200,1086,0.0001,0.0034464560449123383,0.7520861029624939,0.06459963835775852,0.06373046875,-0.005739872804842889,0.2,839,-0.1974898277968168,0.008873932
6,28,440320,1059,0.0001,0.04561755061149597,0.8159071207046509,0.0909541168063879,0.0529296875,-0.003470216658897698,0.2,849,-0.25716687716543674,0.005505289
7,34,445440,1042,0.0001,0.033164285123348236,0.7845852971076965,0.08498529581353069,0.06083984375,-0.007843549018725754,0.2,859,-0.1768975133448839,0.008041946
8,39,450560,1036,0.0001,0.025703132152557373,0.6277173757553101,0.0763108341023326,0.054453125,-0.0022353848814964297,0.2,869,-0.17693554423749447,0.006596276
9,44,455680,1031,0.0001,0.024459317326545715,0.7734987139701843,0.06689028177410364,0.0576171875,-0.005313192796893418,0.2,879,-0.19452858306467533,0.0074052997
10,49,460800,1030,0.0001,0.02764594554901123,0.7433583736419678,0.0744755013100803,0.04896484375,-0.005042966799810529,0.2,889,-0.16372198514640332,0.0065930723
1,2,465920,2346,0.0001,-0.0007794778794050217,0.8143329620361328,0.0652604172937572,0.05583984375,-0.004209979975130409,0.2,899,-0.2001231913268566,0.006354362
2,7,471040,1405,0.0001,0.036670565605163574,0.8011234998703003,0.0912686318717897,0.0630859375,-0.007892968084197491,0.2,909,-0.20974249228835107,0.006511256
3,12,476160,1276,0.0001,0.015876173973083496,0.8130718469619751,0.05742476420477033,0.0446484375,-0.0030517006060108544,0.2,919,-0.15954020168632269,0.0046724402
4,16,481280,1211,0.0001,0.014652075245976448,0.8507915735244751,0.0980308684334159,0.05736328125,-0.006787117493804545,0.2,929,-0.20840285666286945,0.004692427
5,22,486400,1152,0.0001,0.03182502090930939,0.8304170370101929,0.11549792394042015,0.05763671875,-0.005723559099715203,0.2,939,-0.22641161330044268,0.0055955956
6,27,491520,1129,0.0001,0.07570414990186691,0.8493256568908691,0.1331754421815276,0.061015625,-0.004999048083554954,0.2,949,-0.23348624415695668,0.009388284
7,32,496640,1102,0.0001,0.06356729567050934,0.7627208232879639,0.12744756184518338,0.06396484375,-0.005503911257255823,0.2,959,-0.18651269160211087,0.007976907
8,37,501760,1085,0.0001,0.01682993583381176,0.7504138946533203,0.07377876976504921,0.05654296875,-0.008466659230180085,0.2,969,-0.1588121321052313,0.006621766
9,42,506880,1078,0.0001,0.06335436552762985,0.7961834669113159,0.09693094840273261,0.041875,-0.0032348680356517434,0.2,979,-0.18199623122811318,0.0050347326
10,48,512000,1066,0.0001,0.041986335068941116,0.7752867937088013,0.09462775396183133,0.05068359375,-0.003024364907760173,0.2,989,-0.17784436903893946,0.008831581
1,2,517120,2447,0.0001,0.0037301480770111084,0.8177032470703125,0.06896474719047546,0.049140625,-0.004354704322759062,0.2,999,-0.17128534875810147,0.006692526
2,7,522240,1454,0.0001,0.035751182585954666,0.7656906843185425,0.0889825215190649,0.054609375,-0.008374558985233307,0.2,1009,-0.16975421868264676,0.008395387
3,11,527360,1303,0.0001,0.01901753433048725,0.677284300327301,0.055921206064522264,0.05482421875,-0.0035238234279677274,0.2,1019,-0.1444012501835823,0.010957082
4,16,532480,1238,0.0001,0.015402620658278465,0.802527666091919,0.05447601645253599,0.06564453125,-0.0046937671327032145,0.2,1029,-0.16879150331020354,0.012914741
5,21,537600,1202,0.0001,0.005511030554771423,0.7697509527206421,0.06200237052515149,0.06369140625,-0.004827094613574445,0.2,1039,-0.175874011926353,0.010609137
6,25,542720,1182,0.0001,0.019143223762512207,0.8591539859771729,0.08776135124266148,0.05927734375,-0.004555930859642104,0.2,1049,-0.21704120583832265,0.006982594
7,30,547840,1162,0.0001,0.0029611196368932724,0.6438246369361877,0.047596132336184385,0.061171875,-0.007440337568987161,0.2,1059,-0.13894615422934295,0.012248763
8,35,552960,1152,0.0001,0.006322387605905533,0.8068242073059082,0.05979716079309583,0.0571875,-0.0060525880032218995,0.2,1069,-0.16659506373107433,0.0076834736
9,40,558080,1144,0.0001,0.03139294311404228,0.7372349500656128,0.03652971957810223,0.04986328125,-0.005804760672617704,0.2,1079,-0.13831581853330135,0.0053032157
10,45,563200,1128,0.0001,0.027280710637569427,0.807032585144043,0.04655153318308294,0.05296875,-0.0021813968825154005,0.2,1089,-0.16732230946421622,0.006401067
1,2,568320,2219,0.0001,0.017694519832730293,0.6856628656387329,0.05113821805454791,0.05146484375,-0.007787786277476698,0.2,1099,-0.14124502282589674,0.008382222
2,7,573440,1362,0.0001,0.00453873910009861,0.8037346601486206,0.03298091637901962,0.04310546875,-0.0010124349547550081,0.2,1109,-0.1589668333157897,0.0059518446
3,12,578560,1233,0.0001,0.01236923411488533,0.8270764350891113,0.03352239102125168,0.0498046875,-0.0013320531439967454,0.2,1119,-0.14523531701415776,0.0066419123
4,17,583680,1177,0.0001,0.011349369771778584,0.8578189015388489,0.022964337822049857,0.04826171875,-0.0035411850665695967,0.2,1129,-0.13174529813230038,0.005824671
5,22,588800,1147,0.0001,0.0070815421640872955,0.8221059441566467,0.07133269160985947,0.07275390625,-0.009344947878271342,0.2,1139,-0.18493621930480003,0.0093726255
6,27,593920,1136,0.0001,0.003608882427215576,0.7795531749725342,0.06316073080524802,0.060703125,-0.006886693807318807,0.2,1149,-0.1749842467159033,0.00785681
7,31,599040,1128,0.0001,0.0045692203566432,0.6590166091918945,0.050984050184488296,0.05294921875,-0.0068892681575380265,0.2,1159,-0.15012573577463628,0.0072847186
