time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/approx_kl,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/entropy_loss
25,133120,1192,6,0.016892366,0.16828125,0.2395954728126526,-0.0023532547056674957,0.10276490252465009,250,0.0003,0.2,-0.01568622576771304,-0.6827381306886673
30,138240,1178,7,0.016387599,0.150546875,0.18458658456802368,-0.0034173913300037384,0.11297266580164432,260,0.0003,0.2,-0.014655713005922735,-0.6892604830861092
36,143360,1108,8,0.014969632,0.1663671875,0.17324298620224,-0.014309383928775787,0.08795654151588678,270,0.0003,0.2,-0.013416614530142397,-0.6564313086867333
44,148480,1043,9,0.0192397,0.15927734375,0.2628575563430786,-0.006125092506408691,0.09847340989857913,280,0.0003,0.2,-0.01598691916791722,-0.6843384283781052
50,153600,1016,10,0.017825767,0.154609375,0.2929757833480835,0.013322820886969566,0.09816309373825788,290,0.0003,0.2,-0.01709168038563803,-0.6577992960810661
2,158720,2196,1,0.01839985,0.15064453125,0.3237760663032532,-0.009253352880477905,0.11596645096316933,300,0.0003,0.2,-0.013684774278663098,-0.6807823774218559
6,163840,1539,2,0.01960555,0.1591015625,0.32410889863967896,0.011782694607973099,0.12332666497677565,310,0.0003,0.2,-0.015335687336046249,-0.6680287903547287
10,168960,1435,3,0.019770565,0.150390625,0.2102639079093933,-0.03146328404545784,0.06999221850186586,320,0.0003,0.2,-0.018701367140747608,-0.6572908911108971
14,174080,1382,4,0.018686498,0.159765625,0.29220008850097656,-0.029906339943408966,0.07101689456030727,330,0.0003,0.2,-0.017402301994152367,-0.6362628993391991
19,179200,1284,5,0.016850824,0.1490234375,0.36734431982040405,-0.01685633510351181,0.10949353627860546,340,0.0003,0.2,-0.016518853416200727,-0.6352334973216057
24,184320,1249,6,0.016915381,0.16353515625,0.1943986415863037,-3.993511199951172e-06,0.087310347314924,350,0.0003,0.2,-0.015869142129085956,-0.649444292485714
28,189440,1240,7,0.018172314,0.16546875,0.2505505681037903,-0.01573585346341133,0.10380461011081935,360,0.0003,0.2,-0.02039091857848689,-0.6448847272992134
33,194560,1238,8,0.016847571,0.1776953125,0.3026251196861267,-0.008144337683916092,0.07479252908378839,370,0.0003,0.2,-0.01856175042456016,-0.6337482932209969
38,199680,1202,9,0.019425526,0.17337890625,0.5303827524185181,-0.01890551671385765,0.08062666950747371,380,0.0003,0.2,-0.013698945338837802,-0.6302544903755188
43,204800,1186,10,0.016583499,0.16048828125,0.6034857034683228,-0.0190168097615242,0.11786415461450815,390,0.0003,0.2,-0.01649680537171662,-0.6250941371917724
3,209920,1684,1,0.017830007,0.15333984375,0.36959731578826904,-0.01757175475358963,0.11612633986398578,400,0.0003,0.2,-0.015004728750791401,-0.6202687126398087
7,215040,1362,2,0.02751545,0.240078125,0.5334365367889404,-0.03496703505516052,0.1544899582490325,410,0.0003,0.2,-0.02255905754864216,-0.7964368709921836
12,220160,1276,3,0.02304694,0.222734375,0.34425026178359985,-0.03549760580062866,0.12680143926292659,420,0.0003,0.2,-0.022946612201631068,-0.8074399352073669
16,225280,1225,4,0.021724652,0.23259765625,0.1045987606048584,-0.013391084969043732,0.10266240824013949,430,0.0003,0.2,-0.021862794108456,-0.8186906439065933
20,230400,1220,5,0.024563702,0.20642578125,0.05690491199493408,-0.03717983514070511,0.09003923758864403,440,0.0003,0.2,-0.023727142014540733,-0.8285482957959175
25,235520,1220,6,0.018519588,0.19125,0.07044786214828491,-0.047597434371709824,0.08916749808937312,450,0.0003,0.2,-0.021736331370193512,-0.8235836115479469
29,240640,1212,7,0.027117217,0.22287109375,0.24299275875091553,-0.04595065116882324,0.09379047885537148,460,0.0003,0.2,-0.025745644907001406,-0.8220969158411026
33,245760,1212,8,0.019968446,0.18234375,0.28405827283859253,-0.024746757000684738,0.09584804145619273,470,0.0003,0.2,-0.021855155709199606,-0.7881698960065842
38,250880,1209,9,0.024100447,0.2034375,0.19821345806121826,-0.05326835811138153,0.09133300241082906,480,0.0003,0.2,-0.022673561798874288,-0.8534274604916573
42,256000,1206,10,0.021494793,0.19916015625,0.1898670792579651,-0.043723005801439285,0.10440193492919207,490,0.0003,0.2,-0.02533673545345664,-0.8190855029225349
2,261120,2006,1,0.019963132,0.1874609375,0.1311003565788269,-0.03496076539158821,0.12475746786221861,500,0.0003,0.2,-0.022709752563387156,-0.824087176322937
6,266240,1495,2,0.020005794,0.197734375,0.21514886617660522,-0.033172279596328735,0.12736588094383477,510,0.0003,0.2,-0.025197267360053958,-0.8381409040093422
11,271360,1392,3,0.022091692,0.19337890625,0.2294946312904358,-0.042211733758449554,0.11943649243563413,520,0.0003,0.2,-0.02565372018376365,-0.8445675182342529
15,276480,1344,4,0.022764757,0.23296875,0.11914956569671631,-0.01972004771232605,0.1253336961939931,530,0.0003,0.2,-0.022307012933306395,-0.8634075132012368
19,281600,1299,5,0.020809129,0.202578125,0.02747058868408203,-0.038238588720560074,0.12807640925049782,540,0.0003,0.2,-0.020138072504196317,-0.904213828444481
24,286720,1273,6,0.022610668,0.20919921875,-0.10584115982055664,-0.03321201354265213,0.1198965427838266,550,0.0003,0.2,-0.023671500914497302,-0.9156009387969971
28,291840,1262,7,0.021377418,0.20669921875,0.034197866916656494,-0.03599286079406738,0.09661234259605407,560,0.0003,0.2,-0.022423003553412854,-0.882587175667286
33,296960,1240,8,0.022179948,0.1893359375,0.2611687183380127,-0.03442224860191345,0.08566737547516823,570,0.0003,0.2,-0.02476417397148907,-0.8802941310405731
37,302080,1221,9,0.02114296,0.20640625,0.2653994560241699,-0.07298358529806137,0.07641200173646212,580,0.0003,0.2,-0.0228605368710123,-0.9048365968465805
42,307200,1213,10,0.02101717,0.204609375,0.3157076835632324,-0.061395272612571716,0.0838296832330525,590,0.0003,0.2,-0.02445934274699539,-0.8897381770610809
2,312320,2194,1,0.020997932,0.198671875,0.13916683197021484,-0.0503784641623497,0.09854145755991339,600,0.0003,0.2,-0.025835097522940487,-0.8947745043039322
