time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,train/approx_kl,train/n_updates,train/learning_rate
1,5120,2008,2,,,,,,,,,,
2,10240,1666,6,0.0,-0.00817728042602539,0.2,-1.0942369294166565,-0.0009195211948826909,3.4491159427165985,1.2105165719985962,0.0016328422,5,0.0001
3,15360,1595,9,0.0014453125,0.03135758638381958,0.2,-1.0739714121818542,-0.0022375899832695724,2.5558604204654696,1.065344214439392,0.0052654375,10,0.0001
4,20480,1565,13,0.0313671875,0.015619218349456787,0.2,-1.0619707381725312,-0.0035639911890029906,1.6415231287479402,0.7995219826698303,0.0055423724,15,0.0001
5,25600,1547,16,0.0311328125,0.09647208452224731,0.2,-1.0578562903404236,-0.004878561729565262,1.9815807116031647,0.8028573989868164,0.008356522,20,0.0001
6,30720,1519,20,0.0641796875,0.07468909025192261,0.2,-1.0526578879356385,-0.007389804227277637,1.866188622713089,0.8360452055931091,0.007801724,25,0.0001
7,35840,1502,23,0.0361328125,0.1228974461555481,0.2,-1.0327958059310913,-0.007263654498383403,2.061563320159912,0.9618344306945801,0.0069538034,30,0.0001
8,40960,1492,27,0.1126953125,0.13162529468536377,0.2,-0.9943603432178497,-0.011567018833011389,1.689503653049469,0.7623545527458191,0.011915351,35,0.0001
9,46080,1490,30,0.0567578125,0.0058844685554504395,0.2,-0.9844951242208481,-0.007267065769992769,1.6386795580387115,0.8410793542861938,0.0070397123,40,0.0001
10,51200,1487,34,0.0848828125,0.10997176170349121,0.2,-0.9584918606281281,-0.009172586747445166,1.7463300263881683,0.65941321849823,0.01016516,45,0.0001
1,56320,2407,2,0.04984375,0.08225023746490479,0.2,-0.9425399231910706,-0.007192288036458194,1.4400234198570252,0.705893874168396,0.005517027,50,0.0001
2,61440,1818,5,0.045859375,0.14719337224960327,0.2,-0.9022356021404266,-0.0059439199836924675,1.2983655869960784,0.5925759077072144,0.0062374272,55,0.0001
3,66560,1639,9,0.058046875,0.16958969831466675,0.2,-0.8785411965847015,-0.007643028646707534,0.9911246675252915,0.5055204629898071,0.007019556,60,0.0001
4,71680,1562,13,0.0633984375,0.20087695121765137,0.2,-0.8464566028118133,-0.006227972940541804,0.8695238727331162,0.37218713760375977,0.0061265146,65,0.0001
5,76800,1527,16,0.0778515625,0.25163453817367554,0.2,-0.8340666019916534,-0.0044725452968850735,0.8081883597373962,0.3946305215358734,0.0076818494,70,0.0001
6,81920,1504,20,0.0478515625,0.3965953588485718,0.2,-0.8377969682216644,-0.003154063383117318,0.7528311079740524,0.30111241340637207,0.0048196074,75,0.0001
7,87040,1480,24,0.028828125,0.36000651121139526,0.2,-0.7786014020442963,-0.0038430775376036763,0.7482504731416703,0.3528071343898773,0.003117434,80,0.0001
8,92160,1469,27,0.057578125,0.42705780267715454,0.2,-0.7990951007604599,-0.004193499945104122,0.6499741315841675,0.2803231477737427,0.0046085566,85,0.0001
9,97280,1472,31,0.08203125,0.4300333857536316,0.2,-0.7665392458438873,-0.00598846408072859,0.6245352590084076,0.3172745704650879,0.0060930895,90,0.0001
10,102400,1470,34,0.07140625,0.4378618597984314,0.2,-0.7691119706630707,-0.004250633548945188,0.6052260550856591,0.30059683322906494,0.0068576173,95,0.0001
1,107520,1982,2,0.056875,0.44076502323150635,0.2,-0.7557623028755188,-0.0038153091166168453,0.5619477868080139,0.25283607840538025,0.0055930084,100,0.0001
2,112640,1555,6,0.075,0.2703290581703186,0.2,-0.7236770403385162,-0.00341982401907444,0.46018973082304,0.19878502190113068,0.0050466014,105,0.0001
3,117760,1480,10,0.0628515625,0.41291069984436035,0.2,-0.7300427114963531,-0.004842584421858191,0.37360289722681045,0.1927422136068344,0.007638684,110,0.0001
4,122880,1443,14,0.096015625,0.5637915134429932,0.2,-0.7335579174757004,-0.0047355942055583,0.36689527362585067,0.1544453203678131,0.006823997,115,0.0001
5,128000,1418,18,0.1158984375,0.5499482154846191,0.2,-0.7012854552268982,-0.006486624265089631,0.38472167402505875,0.15081284940242767,0.009994927,120,0.0001
6,133120,1405,21,0.089765625,0.5028179883956909,0.2,-0.6646136254072189,-0.0021719092410057783,0.3752709349989891,0.18396635353565216,0.0072629587,125,0.0001
7,138240,1393,25,0.0904296875,0.5522051453590393,0.2,-0.6847625440359115,-0.004232988636940718,0.4041996741294861,0.20052096247673035,0.006779629,130,0.0001
8,143360,1372,29,0.08171875,0.5853801369667053,0.2,-0.6976077568531036,-0.0030416729021817447,0.4439351600408554,0.1952805370092392,0.006198522,135,0.0001
