time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,curriculum/stage,train/stage_learning_rate,train/learning_rate,train/clip_range,train/approx_kl,train/value_loss,train/explained_variance,curriculum/stage_timesteps,train/entropy_loss,train/n_updates,train/clip_fraction,curriculum/max_steps,curriculum/grid_size,train/policy_gradient_loss,train/ent_coef,curriculum/obs_quantity,eval/stage_timesteps,eval/mean_ep_length,eval/mean_reward,eval/full_coverage_rate,eval/stage,eval/std_reward,eval/deterministic,eval/std_ep_length
138240,6,41.95,23,1334,7.3648576736450195,0.058115337044000626,,,0.0001,0.2,0.008574446,0.1595984950661659,0.5801535844802856,,-0.5426053711771965,130,0.0751171875,,,-0.005462455772794783,,,,,,,,,,
143360,7,38.82,26,1335,7.468647480010986,0.085471510887146,,,0.0001,0.2,0.006313823,0.17149847254157066,0.606598973274231,,-0.5037612995505333,135,0.0712109375,,,-0.0040986343752592806,,,,,,,,,,
148480,8,41.29,30,1331,7.3052544593811035,0.05660382658243179,,,0.0001,0.2,0.0063006887,0.13530138276517392,0.5661159753799438,,-0.47680575877428055,140,0.076484375,,,-0.0043825688771903515,,,,,,,,,,
153600,9,35.73,34,1331,7.519959926605225,0.06363323330879211,,,0.0001,0.2,0.0047319965,0.16379526033997535,0.6969467997550964,,-0.48491214513778685,145,0.064375,,,-0.0028276433516293766,,,,,,,,,,
158720,10,39.0,38,1336,7.370522499084473,0.05487954989075661,,,0.0001,0.2,0.007901646,0.10900065578520297,0.5979007482528687,,-0.4307072713971138,150,0.0853515625,,,-0.00528395623434335,,,,,,,,,,
,,,,,,0.033458154648542404,,,0.0001,0.2,0.006938578,0.10109003178775311,0.7444448471069336,,-0.4034168529510498,155,0.0744921875,,,-0.001879690457135439,,,153600,40.05,7.246778130531311,0.98,1,1.7286711014841358,0,27.331803818994455
163840,1,35.24,2,2126,7.525249481201172,,1,0.0001,,,,,,153600,,,,200,5,,0.0010000000000000009,3,,,,,,,,
168960,2,38.16,6,1629,7.380954742431641,0.03516855090856552,,,0.0001,0.2,0.0071516945,0.07254340164363385,0.6404914855957031,,-0.379828542470932,160,0.0630859375,,,-0.002139494237489998,,,,,,,,,,
174080,3,36.93,10,1517,7.384914398193359,0.05418883636593819,,,0.0001,0.2,0.0061864452,0.12303876101970673,0.7500972747802734,,-0.39840463250875474,165,0.066875,,,-0.0009799835830926896,,,,,,,,,,
179200,4,36.55,13,1478,7.344244003295898,0.06808184087276459,,,0.0001,0.2,0.0071877902,0.16603533580899238,0.7306433916091919,,-0.3885300296545029,170,0.0623046875,,,-0.0016089509800076484,,,,,,,,,,
