time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/loss,train/explained_variance,curriculum/max_steps,train/ent_coef,train/learning_rate,curriculum/stage_timesteps,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_range,curriculum/grid_size,curriculum/obs_quantity,train/n_updates,curriculum/stage,train/clip_fraction,eval/full_coverage_rate,eval/mean_ep_length,eval/stage_timesteps,eval/stage,eval/std_ep_length,eval/deterministic,eval/std_reward,eval/mean_reward
4,7.382387161254883,1335,486400,32.52,15,0.022666221484541893,0.6559387445449829,,,0.0001,,-0.16641209036111831,0.0050068246,0.00139321408001706,0.06310916632413864,0.2,,,469,,0.0441796875,,,,,,,,
5,7.557340621948242,1278,491520,30.52,20,0.03594977781176567,0.7586861848831177,,,0.0001,,-0.1923520876467228,0.006228783,0.001898485394194722,0.07419998105615377,0.2,,,474,,0.050078125,,,,,,,,
6,7.6202616691589355,1242,496640,28.06,24,0.03426710516214371,0.7575163245201111,,,0.0001,,-0.17106122121214867,0.0046594823,-0.0025853266706690192,0.07793399132788181,0.2,,,479,,0.0411328125,,,,,,,,
7,7.555574417114258,1214,501760,30.41,29,0.018983013927936554,0.7581913471221924,,,0.0001,,-0.1551888842880726,0.0064299344,-0.002809140780009329,0.07063242264091968,0.2,,,484,,0.0491796875,,,,,,,,
8,7.321932315826416,1200,506880,33.48,34,0.04834044724702835,0.7343695759773254,,,0.0001,,-0.17440640017390252,0.005050865,-0.0026091922679916026,0.08372118171304464,0.2,,,489,,0.047890625,,,,,,,,
9,7.3814263343811035,1204,512000,32.47,38,0.05328452214598656,0.6458884477615356,,,0.0001,,-0.1690388025343418,0.006385587,-0.001360691855661571,0.09973171070218086,0.2,,,494,,0.0521484375,,,,,,,,
10,7.322926044464111,1192,517120,34.47,42,0.027975190430879593,0.7105318307876587,,,0.0001,,-0.19713012754917145,0.0077713677,-0.0023842280567623673,0.10079839199781418,0.2,,,499,,0.051953125,,,,,,,,
,,,,,,0.03886701911687851,0.7292680740356445,,,0.0001,,-0.21800401642918588,0.006732546,-0.0011026892997324468,0.1224770288169384,0.2,,,504,,0.0546484375,0.88,46.24,512000,1,56.86477292665469,1,3.7432304661774944,6.30004545211792
1,7.61166524887085,1467,522240,28.33,3,,,200,0.0010000000000000009,,512000,,,,,,5,3,,1,,,,,,,,,
2,7.5449042320251465,1268,527360,30.83,8,0.028578106313943863,0.6488988995552063,,,0.0001,,-0.16106944307684898,0.007986518,-0.005738450228236615,0.083214249946177,0.2,,,509,,0.057265625,,,,,,,,
3,7.516574859619141,1199,532480,31.37,12,0.03421412408351898,0.66792893409729,,,0.0001,,-0.16535123392939569,0.0052034864,-0.001728146323002875,0.058567586727440356,0.2,,,514,,0.046953125,,,,,,,,
4,7.590749740600586,1162,537600,29.72,17,0.02996251732110977,0.6867654919624329,,,0.0001,,-0.16242729246616364,0.006374208,1.9160083029419182e-05,0.07221292596310377,0.2,,,519,,0.0417578125,,,,,,,,
5,7.369813442230225,1150,542720,32.59,22,0.03399699553847313,0.5895446538925171,,,0.0001,,-0.14858980625867843,0.005878727,-0.0029774536704644562,0.05904279444366693,0.2,,,524,,0.0492578125,,,,,,,,
6,7.470568656921387,1140,547840,31.48,26,0.0301644466817379,0.6890137195587158,,,0.0001,,-0.17333321690559386,0.0058222534,-0.0014880194468423725,0.06337671529501676,0.2,,,529,,0.0518359375,,,,,,,,
7,7.638381481170654,1133,552960,27.35,31,0.02037300541996956,0.5733548402786255,,,0.0001,,-0.15277998335659504,0.0041175904,-0.0019168920209631324,0.05803916364908218,0.2,,,534,,0.0424609375,,,,,,,,
8,7.563671112060547,1127,558080,30.06,36,0.00583142414689064,0.6657905578613281,,,0.0001,,-0.11272252142429352,0.0046220804,-0.0035164057719521222,0.027821236941963434,0.2,,,539,,0.0329296875,,,,,,,,
