time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/loss,train/n_updates,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss,train/policy_gradient_loss,train/explained_variance,eval/mean_reward,eval/mean_ep_length
616,21,139,86016,59.1,24.5707273,0.032861328125,32.29579544067383,200,-0.7653772603720427,0.004749583,0.0003,0.2,79.0997624874115,-0.002515918955032248,0.414029061794281,,
,,,90000,,,0.050830078125,44.13778305053711,210,-0.7371959831565619,0.004751497,0.0003,0.2,91.34279489517212,-0.005476981523679569,0.4006844758987427,26.475816912651062,56.76
609,22,147,90112,63.55,17.85018185,,,,,,,,,,,,
616,23,152,94208,59.9,21.6048182,0.0436279296875,42.07518768310547,220,-0.716970506682992,0.004953471,0.0003,0.2,99.65676827430725,-0.00223909683409147,0.4012112021446228,,
622,24,157,98304,63.04,19.362818200000003,0.0371826171875,45.78488540649414,230,-0.7025144446641207,0.004782918,0.0003,0.2,108.62952303886414,-0.003036249901924748,0.2699909806251526,,
,,,100000,,,0.0222900390625,51.742610931396484,240,-0.7394196916371584,0.0033439908,0.0003,0.2,107.53081502914429,-0.003060116837878013,0.3755342364311218,25.564726008176805,57.02
618,25,165,102400,60.18,24.311727290000004,,,,,,,,,,,,
623,26,170,106496,59.86,22.678727300000002,0.0527587890625,44.59620666503906,250,-0.7055537838488817,0.0059363367,0.0003,0.2,95.58288259506226,-0.005984060860646423,0.32070422172546387,,
,,,110000,,,0.04736328125,36.202632904052734,260,-0.6743489071726799,0.0041810293,0.0003,0.2,89.30946414470672,-0.0027576203261560294,0.34321969747543335,20.69490780234337,60.58
619,27,178,110592,47.9,33.6719091,,,,,,,,,,,,
620,28,184,114688,47.99,34.01836364,0.0573974609375,39.251731872558594,270,-0.6820166658610105,0.0055889986,0.0003,0.2,77.16716585159301,-0.0036989523490774446,0.2876296043395996,,
620,29,191,118784,52.31,29.437727289999998,0.095849609375,21.9190616607666,280,-0.6599938616156578,0.007051748,0.0003,0.2,54.18565526008606,-0.006682836219260935,0.14153814315795898,,
,,,120000,,,0.0562744140625,28.608482360839844,290,-0.6971665065735578,0.004554669,0.0003,0.2,62.273314356803894,-0.0008681619467097335,0.29513096809387207,29.13981694459915,54.08
613,30,200,122880,49.74,31.793727290000003,,,,,,,,,,,,
615,31,206,126976,49.77,31.3428182,0.0560546875,27.620962142944336,300,-0.6597184304147958,0.0045059705,0.0003,0.2,73.85527212619782,-0.0023884148540673777,0.3645467758178711,,
,,,130000,,,0.0537109375,39.303497314453125,310,-0.6553941607475281,0.005020328,0.0003,0.2,82.81571080684662,-0.0039856186413089745,0.4384998083114624,23.928362377882003,57.7
608,32,215,131072,44.88,35.77945455,,,,,,,,,,,,
609,33,221,135168,50.3,28.847909099999995,0.0459228515625,31.487390518188477,320,-0.6285604342818261,0.0046711974,0.0003,0.2,77.81874284744262,-0.003989491919492138,0.32880550622940063,,
611,34,227,139264,54.37,26.403545490000003,0.0498046875,31.158716201782227,330,-0.6176383446902036,0.005339133,0.0003,0.2,77.84357843399047,-0.002219966475968249,0.29146653413772583,,
,,,140000,,,0.0561767578125,51.601707458496094,340,-0.6891121372580529,0.0064678146,0.0003,0.2,85.65744960308075,-0.0033565601232112387,0.42155933380126953,30.96981698870659,50.38
609,35,235,143360,52.13,29.05709093,,,,,,,,,,,,
613,36,240,147456,51.94,28.98063638,0.054296875,57.8859977722168,350,-0.6805940069258213,0.0038579497,0.0003,0.2,112.71557240486145,-0.002491787557664793,0.48975980281829834,,
,,,150000,,,0.042578125,56.36568069458008,360,-0.6998707540333271,0.0043857666,0.0003,0.2,111.90788631439209,-0.0025075615994865075,0.5142693519592285,34.46290793418884,46.68
610,37,248,151552,51.41,27.541818190000004,,,,,,,,,,,,
614,38,253,155648,57.85,22.050181840000004,0.0300537109375,42.320186614990234,370,-0.6472423449158669,0.004194546,0.0003,0.2,111.63727550506592,-0.0013464532908983528,0.35651981830596924,,
618,39,258,159744,56.74,25.735636390000003,0.045751953125,44.4039421081543,380,-0.6939424149692058,0.005430461,0.0003,0.2,103.44116625785827,-0.003475322198937647,0.4957641363143921,,
,,,160000,,,0.038720703125,57.707374572753906,390,-0.707988053187728,0.0044022202,0.0003,0.2,121.92309455871582,-0.003142636825577938,0.5214896202087402,21.598544164896012,60.42
615,40,266,163840,56.83,22.901181840000003,,,,,,,,,,,,
617,41,271,167936,51.96,29.51427275,0.033984375,59.165321350097656,400,-0.670488191768527,0.0044112485,0.0003,0.2,149.18554434776306,-0.0011208219064428703,0.5292856693267822,,
,,,170000,,,0.0489501953125,52.35852813720703,410,-0.7015858739614487,0.0054968433,0.0003,0.2,126.46079974174499,-0.0024202251777751373,0.5185264348983765,34.62290793299675,46.78
615,42,279,172032,58.2,21.153636389999996,,,,,,,,,,,,
616,43,285,176128,53.68,26.920818210000004,0.0499267578125,64.3460922241211,420,-0.6910067792981863,0.0053535416,0.0003,0.2,122.31054601669311,-0.0019382558835786766,0.4203904867172241,,
,,,180000,,,0.073681640625,44.68586730957031,430,-0.6893380414694548,0.0062839887,0.0003,0.2,96.76814544200897,-0.00392231886216905,0.4168407917022705,30.179816979169846,51.18
612,44,294,180224,56.95,21.50890912,,,,,,,,,,,,
614,45,300,184320,50.74,28.034363649999996,0.03330078125,59.96888732910156,440,-0.7024678342044354,0.0037539997,0.0003,0.2,118.22207412719726,-0.0019383194157853723,0.5365968346595764,,
616,46,305,188416,56.11,25.699636390000002,0.0568115234375,44.877288818359375,450,-0.648983957991004,0.005609541,0.0003,0.2,98.00648999214172,-0.0014429095390369184,0.3603006601333618,,
,,,190000,,,0.045849609375,39.84235763549805,460,-0.7335210788995028,0.004510157,0.0003,0.2,105.76801924705505,-0.0024102224910166115,0.44583261013031006,26.14763512134552,55.8
613,47,313,192512,54.54,26.27409094,,,,,,,,,,,,
616,48,318,196608,49.58,31.439818199999994,0.053662109375,46.617919921875,470,-0.7289857473224401,0.0035271468,0.0003,0.2,107.61714506149292,-0.0010322103116777726,0.5966054201126099,,
,,,200000,,,0.051513671875,57.891510009765625,480,-0.6812363240867854,0.0054884776,0.0003,0.2,125.6098009109497,-0.002133603884431068,0.4391908049583435,27.184726040363312,54.32
613,49,327,200704,47.7,33.761909100000004,,,,,,,,,,,,
616,50,332,204800,55.7,27.182272750000006,0.051806640625,36.25754165649414,490,-0.65390969440341,0.004718463,0.0003,0.2,81.75773408412934,-0.004503608026425354,0.3857935667037964,,
618,51,337,208896,54.14,28.160272749999994,0.0397216796875,35.60189437866211,500,-0.685445673391223,0.005306891,0.0003,0.2,71.14722228050232,-0.0021955646327114662,0.453782856464386,,
,,,210000,,,0.0779296875,46.2371940612793,510,-0.6766662824898958,0.006820429,0.0003,0.2,105.14034833908082,-0.0020866281047347,0.49116700887680054,26.95963514328003,53.96
615,52,346,212992,45.72,35.707454549999994,,,,,,,,,,,,
617,53,351,217088,54.68,25.26272729,0.08427734375,25.08299446105957,520,-0.6292593218386173,0.008833753,0.0003,0.2,60.75927495956421,-0.003973161026078742,0.25242722034454346,,
,,,220000,,,0.0582763671875,29.875423431396484,530,-0.6381644412875176,0.005328919,0.0003,0.2,72.59330236911774,-0.0033587574725970626,0.3083823323249817,23.95654417991638,58.46
614,54,359,221184,58.21,21.12754549,,,,,,,,,,,,
616,55,365,225280,54.54,26.757181850000006,0.081103515625,29.505203247070312,540,-0.6787587236613035,0.0100059975,0.0003,0.2,76.46275713443757,0.0016571329979342408,0.5296282768249512,,
619,56,370,229376,47.08,33.851363649999996,0.053173828125,47.58235549926758,550,-0.6826749868690968,0.0067387316,0.0003,0.2,103.4358332157135,-0.0015976428923750064,0.5268732309341431,,
,,,230000,,,0.05654296875,34.50835037231445,560,-0.6290171843022108,0.0067777643,0.0003,0.2,75.08304028511047,-0.002495869876293,0.41330182552337646,38.637998893260956,41.84
618,57,377,233472,50.53,30.458272750000003,,,,,,,,,,,,
620,58,382,237568,52.67,29.147818199999996,0.078271484375,29.413551330566406,570,-0.6598993543535471,0.006800265,0.0003,0.2,88.45746412277222,-0.001729310117661953,0.5054927468299866,,
,,,240000,,,0.073193359375,50.39081954956055,580,-0.6583313670009374,0.005330733,0.0003,0.2,103.43594622612,-0.0017517511354526506,0.45237231254577637,35.46290795087814,45.28
619,59,390,241664,52.31,29.35927274,,,,,,,,,,,,
620,60,395,245760,49.11,31.709272740000003,0.0978271484375,42.210697174072266,590,-0.6505270853638649,0.0069463393,0.0003,0.2,83.69408283233642,-0.004187261406332255,0.35173147916793823,,
