time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/value_loss,train/approx_kl
232,17,4096,1,,,,,,,,,,
183,44,8192,2,0.028369493782520294,0.0458740234375,0.2,-1.0689812645316124,-0.041696786880493164,-0.005506810119550209,0.0003,10,0.26965079493820665,0.0075867744
168,72,12288,3,0.005123935639858246,0.118994140625,0.2,-1.0462034400552511,0.03588765859603882,-0.011841205360542516,0.0003,20,0.1801525503396988,0.010118956
266,15,16384,1,0.06465023010969162,0.1048095703125,0.2,-1.044386949390173,0.06659400463104248,-0.011831518910184968,0.0003,30,0.2935094429180026,0.011453593
187,43,20480,2,0.08073574304580688,0.166259765625,0.2,-1.019456409662962,0.03771698474884033,-0.017671469286142383,0.0003,40,0.2955344159156084,0.012663883
171,71,24576,3,0.08483296632766724,0.1257568359375,0.2,-0.9807241171598434,-0.012537717819213867,-0.014633903224603274,0.0003,50,0.3472192343324423,0.009495619
259,15,28672,1,0.048665255308151245,0.1646240234375,0.2,-0.9658829402178526,0.06611937284469604,-0.019005034142173825,0.0003,60,0.33972064647823574,0.011708841
192,42,32768,2,0.068033866584301,0.1924560546875,0.2,-0.9512929882854223,0.06907343864440918,-0.018259722938819323,0.0003,70,0.30542960166931155,0.012695174
180,68,36864,3,0.03307899087667465,0.170703125,0.2,-0.9053989954292774,0.008357882499694824,-0.016225074614339974,0.0003,80,0.2408487366512418,0.014782807
258,15,40960,1,0.025821201503276825,0.1572265625,0.2,-0.8764175128191709,0.16195833683013916,-0.019469388129073194,0.0003,90,0.24698105389252306,0.013953587
177,46,45056,2,0.06523458659648895,0.18037109375,0.2,-0.8600533325225115,0.10940563678741455,-0.018760340084554628,0.0003,100,0.2452807893976569,0.014234248
166,73,49152,3,0.008346930146217346,0.167578125,0.2,-0.8427189707756042,0.15083283185958862,-0.014031553347012959,0.0003,110,0.17885896107181906,0.017277304
257,15,53248,1,0.016987770795822144,0.166845703125,0.2,-0.8175540436059237,0.16446292400360107,-0.016267417468770872,0.0003,120,0.16444461094215512,0.014707074
194,42,57344,2,0.0035756677389144897,0.1530029296875,0.2,-0.7527948323637247,0.1593295931816101,-0.014387265796540306,0.0003,130,0.15827787667512894,0.011907918
178,68,61440,3,0.025244899094104767,0.1498291015625,0.2,-0.7705857589840889,0.2783893346786499,-0.012879150045046117,0.0003,140,0.16470432188361883,0.012447132
269,15,65536,1,-0.018579348921775818,0.1498291015625,0.2,-0.7912620730698109,0.32254302501678467,-0.01407753117964603,0.0003,150,0.17671656562015414,0.011783209
197,41,69632,2,-0.006371915340423584,0.1530517578125,0.2,-0.746919858455658,0.23214936256408691,-0.017343855078797786,0.0003,160,0.11625482253730297,0.017202158
180,67,73728,3,-0.006948873400688171,0.1720703125,0.2,-0.7461455788463354,0.416130006313324,-0.01784218004322611,0.0003,170,0.13521607182919979,0.016151013
253,16,77824,1,-0.027574505656957626,0.1645263671875,0.2,-0.7131546176970005,0.21258527040481567,-0.016508556513872463,0.0003,180,0.09921087292023004,0.015261478
174,46,81920,2,-0.03372392803430557,0.158984375,0.2,-0.6849890686571598,0.29563283920288086,-0.016382298318785616,0.0003,190,0.0615597226889804,0.01646142
156,78,86016,3,-0.010572798550128937,0.1897216796875,0.2,-0.6693778581917286,0.18179142475128174,-0.011858552868943661,0.0003,200,0.085049889376387,0.019352786
221,18,90112,1,-0.018200628459453583,0.1572021484375,0.2,-0.682649701833725,0.3681463599205017,-0.015795860897924285,0.0003,210,0.08095106822438539,0.014344113
176,46,94208,2,-0.02460912987589836,0.1556396484375,0.2,-0.6539192061871291,0.2894602417945862,-0.010421197267714889,0.0003,220,0.0811655601952225,0.01500838
167,73,98304,3,-0.02999274618923664,0.1668701171875,0.2,-0.6384651251137257,0.4265573024749756,-0.01527166851446964,0.0003,230,0.062323607550933954,0.017258914
251,16,102400,1,-0.01683991029858589,0.15625,0.2,-0.6513731084764004,0.494950532913208,-0.014381113642593845,0.0003,240,0.08654036838561296,0.015847817
191,42,106496,2,0.018330737948417664,0.150244140625,0.2,-0.6141473341733217,0.560015857219696,-0.011629380259546452,0.0003,250,0.11639642240479589,0.01586808
176,69,110592,3,-0.012300483882427216,0.16103515625,0.2,-0.6174225401133299,0.5268588066101074,-0.01797227002098225,0.0003,260,0.11305768871679903,0.017051145
261,15,114688,1,-0.015599742531776428,0.1614501953125,0.2,-0.5982026219367981,0.45341426134109497,-0.016041272196162026,0.0003,270,0.10125177595764398,0.016513655
196,41,118784,2,-0.0051210373640060425,0.1514404296875,0.2,-0.5663412939757109,0.5782121419906616,-0.01532016231212765,0.0003,280,0.09794833052437753,0.015453338
182,67,122880,3,-0.037784673273563385,0.1603515625,0.2,-0.5847297519445419,0.517289936542511,-0.013482082159316632,0.0003,290,0.06983356864657253,0.014466889
272,15,126976,1,0.009615447372198105,0.1632080078125,0.2,-0.6183578785508871,0.5420558452606201,-0.016024888319952878,0.0003,300,0.11075167302042246,0.01611058
