rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/explained_variance,train/loss,train/clip_range,train/value_loss,train/approx_kl,train/clip_fraction,train/n_updates,curriculum/preferred_eval_mode,train/stage_learning_rate,curriculum/max_steps,train/ent_coef,curriculum/obs_quantity,curriculum/grid_size,curriculum/stage_timesteps,curriculum/stage,eval/stage_timesteps,eval/std_reward,eval/deterministic,eval/full_coverage_rate,eval/mean_reward,eval/mean_ep_length,eval/std_ep_length,eval/stage,eval/promotion_full_coverage_rate,eval/coverage_promotion_passed,eval/quality_promotion_passed,eval/promotion_passed,eval/stochastic_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/stochastic_quality_passed,eval/deterministic_full_coverage_rate,eval/promotion_min_mean_reward,eval/deterministic_promotion_floor,eval/deterministic_quality_passed,eval/promotion_max_mean_length,eval/mode_gap
143.41,5,58880,228,-2.7486536502838135,56,-0.0027535986714065075,7e-05,-1.1574273931980132,0.6627465486526489,0.03791480138897896,0.15,0.44934930469840767,0.005719648,0.09953125,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.83,6,61440,220,-2.401186943054199,69,-0.002610512562096119,7e-05,-1.147510721683502,0.5890763998031616,1.0743731260299683,0.15,0.9842306525632739,0.0045443317,0.1053125,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151.23,7,64000,216,-2.6831915378570557,82,-0.004348850613459945,7e-05,-1.157408939599991,0.76535564661026,-0.002993164584040642,0.15,0.3093783328309655,0.008628784,0.170078125,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149.79,8,66560,216,-2.2609808444976807,94,-0.002709950488060713,7e-05,-1.1493390810489654,0.5812100172042847,0.07930073887109756,0.15,0.7301735180802643,0.0042091324,0.093984375,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156.39,9,69120,211,-2.4477696418762207,108,-0.002835953440517187,7e-05,-1.1550216364860535,0.650314450263977,0.03417549654841423,0.15,0.4383913937211037,0.0030832235,0.05375,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156.43,10,71680,209,-2.5569100379943848,122,-0.003937328532338143,7e-05,-1.150873235464096,0.6615334153175354,0.016404666006565094,0.15,0.36540069641545414,0.0066196425,0.117421875,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162.43,1,74240,2366,-2.302882194519043,1,-0.0018593255430459977,7e-05,-1.1313754737377166,0.6799319982528687,0.05604632571339607,0.15,0.35446415081620214,0.005276721,0.12453125,140,0,7e-05,200,0.007832,3,5,51200,1,,,,,,,,,,,,,,,,,,,,,
156.31,2,76800,364,-2.203214645385742,14,-0.0074686363339424135,7e-05,-1.1222416603565215,0.5804098844528198,0.0017281994223594666,0.15,0.5078061176650226,0.0053522857,0.1271875,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152.34,3,79360,288,-1.7441623210906982,26,-0.0051010303478688,7e-05,-1.0971772468090057,0.43410229682922363,0.8572553396224976,0.15,0.6476262771710753,0.004811617,0.114765625,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151.28,4,81920,267,-1.5667283535003662,38,-0.0019146239676748414,7e-05,-1.0843683495578995,0.5169585347175598,0.23222747445106506,0.15,0.6953520276639835,0.028970122,0.16227409638554216,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.01,5,84480,254,-0.9483224749565125,50,-0.0026476262882351876,7e-05,-1.102223016023636,0.4225999712944031,0.2729191780090332,0.15,1.0346018017549068,0.005796623,0.12125,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136.59,6,87040,237,-0.7275837063789368,64,-0.0045556761231273415,7e-05,-1.1009010314941405,0.5029805898666382,0.15883341431617737,0.15,0.9427739233337342,0.004853634,0.1275,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.07,7,89600,232,-0.6337460279464722,77,-0.004659745311364531,7e-05,-1.0718667614459991,0.5797353386878967,2.1959071159362793,0.15,0.877183259986341,0.0063960375,0.1321875,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.77,8,92160,225,-0.24017885327339172,90,-0.003335104156285524,7e-05,-1.0519034612178801,0.5324554443359375,0.06991247832775116,0.15,1.1054311628639697,0.0060233837,0.102890625,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.1,9,94720,222,-0.25509750843048096,103,-0.0029355536121875047,7e-05,-1.0459141212701797,0.46041297912597656,0.041203662753105164,0.15,1.2843389135971666,0.005534525,0.085546875,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.93,10,97280,216,0.1530977487564087,118,-0.0032918857876211407,7e-05,-1.034498946070671,0.5799791812896729,0.5140283107757568,0.15,1.030802108645439,0.0038883663,0.0771875,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.43,1,99840,2324,0.07136713713407516,1,-0.0025931214448064567,7e-05,-1.0257604277133943,0.5107264518737793,0.26083970069885254,0.15,2.0503200969099997,0.0023212754,0.03890625,190,0,7e-05,200,0.004248,3,5,76800,1,,,,,,,,,,,,,,,,,,,,,
99.86,2,102400,325,0.72386634349823,15,-0.003687883857637644,7e-05,-1.0494570970535277,0.7434440851211548,0.8804535269737244,0.15,1.5101351976394652,0.005116269,0.1103125,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.72,3,104960,256,1.2104518413543701,29,-0.004616460483521223,7e-05,-1.0376062309741974,0.6789277195930481,0.19066350162029266,0.15,1.1385056860744953,0.005034939,0.10453125,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.85,4,107520,228,1.8468953371047974,44,-0.004168681199662388,7e-05,-1.0259200358390808,0.7164819240570068,0.17995436489582062,0.15,1.1824410450458527,0.003209538,0.062265625,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.02,5,110080,217,1.7829617261886597,58,-0.003777567483484745,7e-05,-1.01132775247097,0.7796406149864197,0.8811019062995911,0.15,1.1704544130712748,0.004378227,0.05828125,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.69,6,112640,217,2.091062545776367,70,-0.003848363673314452,7e-05,-1.013385249376297,0.7747241854667664,0.8016068339347839,0.15,1.769681315422058,0.005163638,0.09890625,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.21,7,115200,211,2.5422725677490234,84,-0.0019285776768811047,7e-05,-0.9795122909545898,0.7491350173950195,0.5092436075210571,0.15,1.61026550039649,0.0036307485,0.051328125,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.83,8,117760,207,2.645791530609131,98,-0.003494196832180023,7e-05,-0.9819127750396729,0.772422194480896,0.9814776182174683,0.15,1.7031788988411427,0.0046419683,0.084921875,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.13,9,120320,208,2.5521843433380127,110,-0.0038042845390737056,7e-05,-0.9875871747732162,0.8318933844566345,0.15963421761989594,0.15,1.0553027172386646,0.0036918588,0.081171875,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.16,10,122880,206,2.4414620399475098,123,-0.0030753293447196486,7e-05,-0.9877538371086121,0.7914800643920898,0.18691912293434143,0.15,0.9994862267374992,0.0040937955,0.075625,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.2840349227190017e-05,7e-05,-0.9803256011009216,0.8440769910812378,0.26222777366638184,0.15,0.7998256768286228,0.007329165,0.12328125,240,,,,,,,,,102400,4.920949572833399,0,0.94,3.2967173406481742,71.97,43.436264802581725,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,102400,10.562889830322044,1,0.37,-2.8993658682703973,140.09,78.31782619557313,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,102400,,,,,,,1,0.94,0,0,0,0.94,0.94,0,0.37,6.75,0.693,0,45.0,0.57
79.43,1,125440,2271,2.6019809246063232,1,,,,,,,,,,,1,7e-05,200,0.0010000000000000009,3,5,102400,1,,,,,,,,,,,,,,,,,,,,,
78.47,2,128000,332,2.8096392154693604,15,-0.0020372053794562818,7e-05,-1.002057090997696,0.8696829080581665,0.07834971696138382,0.15,1.2733478386700154,0.0035832673,0.10296875,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.39,3,130560,266,3.1419124603271484,28,-0.0012589330691844226,7e-05,-0.9718197613954545,0.8642181754112244,0.485862135887146,0.15,1.0680450077354908,0.0042303526,0.12234375,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.21,4,133120,271,3.3100857734680176,37,-0.0032904119050102447,7e-05,-0.9443417191505432,0.7978786826133728,0.2773720920085907,0.15,1.5368487092096415,0.013559219,0.13024720149253732,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.82,5,135680,247,3.5605275630950928,51,-0.0019824041705578566,7e-05,-0.9518103682994843,0.8356071710586548,0.360217422246933,0.15,0.8829015446454287,0.00559231,0.08234375,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.01,6,138240,254,3.2379672527313232,60,0.005973941736644314,7e-05,-0.9113733470439911,0.8235461711883545,0.2870878577232361,0.15,0.6846057376073252,0.02883735,0.18208165322580644,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.55,7,140800,242,2.838702440261841,74,-0.0034587822388857602,7e-05,-0.9092472511529922,0.8202018737792969,0.2019718736410141,0.15,0.9381484749913216,0.006706777,0.1059375,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.19,8,143360,232,2.1368207931518555,88,-0.002875713426619768,7e-05,-0.9228794765472412,0.8879162073135376,0.3358738124370575,0.15,1.01498620480299,0.0069067352,0.125234375,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.62,9,145920,227,2.0542006492614746,101,-0.005057066585868597,7e-05,-0.917081618309021,0.8796107172966003,0.25199204683303833,0.15,1.1520372101664542,0.0037964855,0.0884375,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.17,10,148480,223,2.804835796356201,114,-8.958997204899788e-07,7e-05,-0.9089048957824707,0.8330529928207397,1.8800278902053833,0.15,1.4010857285372913,0.0076565994,0.141796875,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-0.0009571126662194729,7e-05,-0.8852624225616456,0.804253101348877,0.5666212439537048,0.15,1.333092561364174,0.0055080648,0.1265625,288,,,,,,,,,128000,4.784622375939901,0,0.93,3.343441354930401,72.5,44.82153500271939,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,128000,10.711015431326286,1,0.48,-1.2390413403511047,122.25,81.12858620732892,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,128000,,,,,,,1,0.93,0,0,0,0.93,0.93,0,0.48,6.75,0.693,0,45.0,0.45000000000000007
74.13,1,151040,2252,3.1672027111053467,1,,,,,,,,,,,1,7e-05,200,0.0010000000000000009,3,5,128000,1,,,,,,,,,,,,,,,,,,,,,
71.28,2,153600,444,3.1539413928985596,11,0.00097693423250396,7e-05,-0.9001153417323765,0.783577024936676,0.8072843551635742,0.15,1.4468539972838603,0.009552295,0.12870065789473684,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.56,3,156160,297,2.926914930343628,25,-0.002872080919332802,7e-05,-0.8917614209651947,0.8269410133361816,0.8848753571510315,0.15,1.5375447273254395,0.0035342916,0.069765625,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
