rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/loss,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/value_loss,curriculum/stage,train/ent_coef,curriculum/grid_size,curriculum/obs_quantity,curriculum/preferred_eval_mode,train/stage_learning_rate,curriculum/stage_timesteps,curriculum/max_steps,eval/stage_timesteps,eval/full_coverage_rate,eval/std_reward,eval/stage,eval/std_ep_length,eval/deterministic,eval/mean_ep_length,eval/mean_reward,eval/diagnostic_full_coverage_rate,eval/deterministic_quality_passed,eval/quality_promotion_passed,eval/promotion_max_mean_length,eval/promotion_min_mean_reward,eval/stochastic_quality_passed,eval/coverage_promotion_passed,eval/promotion_full_coverage_rate,eval/deterministic_promotion_floor,eval/mode_gap,eval/deterministic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/promotion_passed
-2.229496479034424,1731,1,183.1,2560,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.745607614517212,296,2,178.30434782608697,5120,17,5,4.108357906341553,3.5e-05,-0.0018582344055175781,-1.3861221492290496,0.105,0.0,-0.0007252399786375464,0.00039425003,1.5344672469794751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.5898144245147705,240,3,177.82051282051282,7680,31,10,0.05638188123703003,3.5e-05,0.01516580581665039,-1.3850878059864045,0.105,0.0,-0.0012508938740938903,0.00076299655,1.171983809545636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0964245796203613,225,4,176.22222222222223,10240,45,15,1.9247952699661255,3.5e-05,0.00888967514038086,-1.3856304025650024,0.105,0.030390625,-0.0031373021192848682,0.00236655,1.452329226434231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.940602719783783,209,5,175.0441176470588,12800,61,20,0.057818010449409485,3.5e-05,0.02614670991897583,-1.3850261545181275,0.105,0.0,-0.0012923832144588231,0.0012119731,1.6136393151059747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.4982268810272217,211,6,178.34146341463415,15360,72,25,0.05367431044578552,3.5e-05,0.04316532611846924,-1.384550769329071,0.105,0.010234375,-0.0012666200241073966,0.0017873037,1.309927574172616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.478704571723938,214,7,178.83157894736843,17920,83,30,1.2936837673187256,3.5e-05,0.08874577283859253,-1.3836310398578644,0.105,0.024609375,-0.002575961761176586,0.0020407545,0.5421877198852598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.3322808742523193,213,8,178.15,20480,95,35,0.04552904888987541,3.5e-05,0.07511299848556519,-1.378093558549881,0.105,0.05796875,-0.0031058920081704854,0.0030220456,0.9012694784253835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.9433598518371582,2707,1,177.84,23040,0,40,0.022468939423561096,3.5e-05,0.06250613927841187,-1.3724703013896942,0.105,0.03953125,-0.003467487692832947,0.0020444493,1.294986714757979,1,0.015,5,3,0,7e-05,0,200,,,,,,,,,,,,,,,,,,,,,
-0.9004524350166321,451,2,179.47,25600,11,45,1.5212966203689575,7e-05,0.03616446256637573,-1.368418310880661,0.15,0.068671875,-0.0037756389938294888,0.0034615728,1.6853021466359497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.5905492305755615,313,3,177.26,28160,24,50,0.10774257779121399,7e-05,0.04381901025772095,-1.3597558975219726,0.15,0.095390625,-0.0050666935183107855,0.006311202,0.9704681197553873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.15694959461688995,279,4,174.17,30720,36,55,1.3276886940002441,7e-05,0.05329197645187378,-1.347715094089508,0.15,0.077890625,-0.0016648685000836849,0.0042492975,1.9985421462357045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8590681552886963,261,5,167.1,33280,48,60,1.5636577606201172,7e-05,0.07856327295303345,-1.3347349309921264,0.15,0.094921875,-0.005490900063887238,0.005169582,1.8497412347793578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.472577691078186,250,6,162.16,35840,61,65,0.48670151829719543,7e-05,0.058723628520965576,-1.3347921872138977,0.15,0.056171875,-0.0011735187005251647,0.0041518845,1.6708400185406207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5991133451461792,246,7,161.26,38400,72,70,0.12891876697540283,7e-05,0.13833385705947876,-1.3247096741199493,0.15,0.048671875,-0.001919620679691434,0.0027601614,1.4523851393535734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0295298099517822,247,8,158.19,40960,82,75,0.03639814257621765,7e-05,0.06496071815490723,-1.318073261976242,0.15,0.109765625,-0.004689420992508531,0.00645323,1.1568770288676022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3417322635650635,244,9,155.39,43520,94,80,1.1630024909973145,7e-05,0.026880621910095215,-1.3009136140346527,0.15,0.145859375,-0.006844297987408936,0.0066122776,1.2783085764199495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8173410892486572,243,10,153.09,46080,105,85,1.0038033723831177,7e-05,0.060624897480010986,-1.2921374332904816,0.15,0.171796875,-0.0070332849677652125,0.005858203,1.468113698810339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.58024525642395,2585,1,144.69,48640,0,90,0.6054469347000122,7e-05,0.13771992921829224,-1.2808730232715606,0.15,0.11984375,-0.0027459421660751106,0.003992264,1.2832130891084672,1,0.011415999999999999,5,3,0,7e-05,25600,200,,,,,,,,,,,,,,,,,,,,,
4.121992111206055,342,2,138.79,51200,14,95,0.4640492796897888,7e-05,0.17801856994628906,-1.2629125714302063,0.15,0.1025,-0.004658261025324464,0.005638775,1.4423504605889321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.536935329437256,268,3,132.65,53760,28,100,0.15665696561336517,7e-05,0.2252274751663208,-1.2566177570819854,0.15,0.07734375,-0.00398027628660202,0.0037576382,0.9249275311827659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.672826766967773,246,4,129.28,56320,41,105,1.2407770156860352,7e-05,0.14506059885025024,-1.2460346257686614,0.15,0.145625,-0.00113861252553761,0.005573838,1.101411565542221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.109554290771484,261,5,121.16,58880,48,108,0.16760291159152985,7e-05,0.17343413829803467,-1.240619956178868,0.15,0.1683843085106383,-0.00047440047157888714,0.0129863685,1.0841288496839239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.604273796081543,249,6,127.91,61440,61,113,0.9357202053070068,7e-05,0.10687708854675293,-1.2186179673671722,0.15,0.112109375,-0.0016877451911568643,0.008056695,1.304563172608614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
