time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,train/value_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/entropy_loss,train/n_updates
1767,1,5120,2,,,,,,,,,,
1383,2,10240,7,-0.00981246066861786,0.5498493313789368,0.2,-0.040331125259399414,1.06627154186368,0.011498641,0.08603515625,0.0003,-1.0778600877523423,10
1216,3,15360,12,-0.013532023024745286,0.22296473383903503,0.2,-0.17570137977600098,0.4310481481254101,0.009887371,0.1355078125,0.0003,-1.0510151106119157,20
1224,4,20480,16,-0.016647164900787173,0.2791444659233093,0.2,0.08209031820297241,0.6363341203331947,0.0109896455,0.159765625,0.0003,-1.0069203892350196,30
1244,5,25600,20,-0.014991155790630728,0.25245440006256104,0.2,0.07300007343292236,0.5970836293697357,0.011979581,0.165859375,0.0003,-0.9667704048752784,40
1172,6,30720,26,-0.013280879468657076,0.1934107393026352,0.2,0.03550434112548828,0.6045378835499287,0.012833881,0.155078125,0.0003,-0.9539590167999268,50
1136,7,35840,31,-0.012383729564025997,0.23491986095905304,0.2,0.21293801069259644,0.547423549592495,0.011693017,0.15173828125,0.0003,-0.8895551887154579,60
1123,8,40960,36,-0.014603447518311441,0.18296480178833008,0.2,0.2411966323852539,0.4947461749613285,0.01510405,0.1658984375,0.0003,-0.8758602386713028,70
1095,9,46080,42,-0.012653972813859582,0.1291070580482483,0.2,0.30114638805389404,0.3792048779129982,0.012446075,0.15939453125,0.0003,-0.8374975350499153,80
1098,10,51200,46,-0.012568931304849684,0.10491038858890533,0.2,0.13436585664749146,0.341014886200428,0.016213117,0.170859375,0.0003,-0.8246038827300072,90
2071,1,56320,2,-0.014449034030549228,0.11332125216722488,0.2,0.15929847955703735,0.34598939880728724,0.013981052,0.1747265625,0.0003,-0.7760104832053184,100
1488,2,61440,6,-0.012339525297284127,0.08163374662399292,0.2,0.19463539123535156,0.25004107303917406,0.013476448,0.15912109375,0.0003,-0.7680438673496246,110
1387,3,66560,11,-0.015687494706362486,0.055157020688056946,0.2,0.09000289440155029,0.22169206567108632,0.013932954,0.18810546875,0.0003,-0.759881846010685,120
1343,4,71680,15,-0.013249616506509482,0.054679952561855316,0.2,0.21078985929489136,0.23355743661522865,0.017336113,0.179921875,0.0003,-0.7226236766576767,130
1316,5,76800,19,-0.01575214512879029,0.04425647109746933,0.2,0.1594107747077942,0.18227529171854256,0.01780575,0.1726953125,0.0003,-0.7070307326316834,140
1295,6,81920,23,-0.016840762519277633,0.010076083242893219,0.2,0.11192983388900757,0.1340882086753845,0.017061198,0.191875,0.0003,-0.6718829265236854,150
1279,7,87040,28,-0.012748583897482603,0.01844078302383423,0.2,0.050777554512023926,0.11954750422388315,0.013361787,0.16259765625,0.0003,-0.6350691157579422,160
1269,8,92160,32,-0.009533863342367112,0.05452705919742584,0.2,0.2213979959487915,0.17993169896304606,0.018689042,0.17654296875,0.0003,-0.6183112519979477,170
1259,9,97280,36,-0.010530836752150208,0.043397799134254456,0.2,0.22416484355926514,0.17673744704574346,0.016139677,0.14779296875,0.0003,-0.6053138852119446,180
1232,10,102400,41,-0.014668052103370428,0.028660982847213745,0.2,0.20668411254882812,0.142778183221817,0.014836502,0.1592578125,0.0003,-0.5525622145831585,190
1983,1,107520,2,-0.013382329798769205,0.015338864177465439,0.2,0.3196914792060852,0.15389783825725317,0.01709468,0.1451953125,0.0003,-0.5444723509252072,200
1437,2,112640,7,-0.012288339685183019,0.05275295674800873,0.2,0.2274267077445984,0.14801316671073436,0.017954644,0.15134765625,0.0003,-0.5421597269177437,210
1284,3,117760,11,-0.013004530977923423,0.036774881184101105,0.2,0.25064098834991455,0.12821285773068666,0.018638263,0.15484375,0.0003,-0.5369907845556736,220
1240,4,122880,16,-0.012444491761270911,0.027137406170368195,0.2,0.2351231575012207,0.1130901749432087,0.020131225,0.17197265625,0.0003,-0.5433542719483375,230
1223,5,128000,20,-0.012229115013033151,0.027779284864664078,0.2,0.24530339241027832,0.13337240397930145,0.017648589,0.15345703125,0.0003,-0.5515445038676262,240
1212,6,133120,25,-0.013082056720741093,0.046592891216278076,0.2,0.4344608187675476,0.1480829817801714,0.015781146,0.15205078125,0.0003,-0.5483405272662639,250
1196,7,138240,29,-0.010019690748304128,0.06733427941799164,0.2,0.39794468879699707,0.16411142248660326,0.017381689,0.15048828125,0.0003,-0.5409757877886295,260
1196,8,143360,34,-0.014112310437485575,0.014689343050122261,0.2,0.16569316387176514,0.10601089049130678,0.019812489,0.1694921875,0.0003,-0.5166232478618622,270
1194,9,148480,38,-0.012495516615454108,0.008058078587055206,0.2,0.17725056409835815,0.07811747698113322,0.024077483,0.165078125,0.0003,-0.5039998556673527,280
1191,10,153600,42,-0.011862159585580229,0.007858717814087868,0.2,0.2245701551437378,0.07914416754618286,0.022993058,0.16728515625,0.0003,-0.4689630015194416,290
2196,1,158720,2,-0.017035554272588342,0.0010241642594337463,0.2,0.3083574175834656,0.08022558622062206,0.022736492,0.15146484375,0.0003,-0.43319908291101455,300
1500,2,163840,6,-0.011948069406207651,0.009031996130943298,0.2,0.2782076597213745,0.07748559590429067,0.02238762,0.139765625,0.0003,-0.4226789700984955,310
1372,3,168960,11,-0.01363978520501405,0.011525481939315796,0.2,0.487377405166626,0.0999106939509511,0.021471921,0.13427734375,0.0003,-0.43868215814232825,320
1294,4,174080,15,-0.013326479429379106,0.01928701438009739,0.2,0.29369378089904785,0.09476935375481844,0.021317344,0.139375,0.0003,-0.4262915852665901,330
1243,5,179200,20,-0.014489985071122646,-0.00511753186583519,0.2,0.4440850019454956,0.08946917152032256,0.024126202,0.13634765625,0.0003,-0.3982119272649288,340
1202,6,184320,25,-0.01577449689852074,0.005791276693344116,0.2,0.3583006262779236,0.09385449461638927,0.02194355,0.1380078125,0.0003,-0.38198873549699786,350
1168,7,189440,30,-0.011447420991025865,0.021293386816978455,0.2,0.33400171995162964,0.08628336537629366,0.0276898,0.13763671875,0.0003,-0.38985864773392676,360
1146,8,194560,35,-0.012594596117269248,0.003281310200691223,0.2,0.2354317307472229,0.08254507442936301,0.025042033,0.158984375,0.0003,-0.41309066459536553,370
1125,9,199680,40,-0.014442496383562684,0.005696764215826988,0.2,0.40365463495254517,0.08332059308886527,0.022229288,0.15125,0.0003,-0.43600255742669103,380
1113,10,204800,45,-0.020894456051755696,0.0038921497762203217,0.2,0.5348250865936279,0.09977803900837898,0.03880066,0.1709375,0.0003,-0.4078399908542633,390
1525,1,209920,3,-0.010411646838765592,-0.028198113664984703,0.2,0.6612498760223389,0.07436119960620999,0.02130864,0.1301953125,0.0003,-0.35676946237683294,400
1136,2,215040,9,-0.009239917385857553,0.02451041340827942,0.2,0.660503625869751,0.09759325930848718,0.017843705,0.116796875,0.0003,-0.3364424620568752,410
1134,3,220160,13,-0.008090499779209495,0.03311356529593468,0.2,0.7894189953804016,0.09463776281103492,0.018999862,0.11232421875,0.0003,-0.32713847294449805,420
1136,4,225280,18,-0.011028693541884422,-0.00370122492313385,0.2,0.22363871335983276,0.07512083921581507,0.019199621,0.1235546875,0.0003,-0.33650903463363646,430
1140,5,230400,22,-0.011566281004343182,-0.009733881801366806,0.2,0.37176376581192017,0.05634535959921777,0.020578988,0.11716796875,0.0003,-0.333390943557024,440
1147,6,235520,26,-0.01547640678123571,0.00022201985120773315,0.2,0.64786297082901,0.10909180209040642,0.01641285,0.10384765625,0.0003,-0.35236923411488535,450
1151,7,240640,31,-0.010079626669175923,-0.0035274066030979156,0.2,0.6106261014938354,0.08011549361050128,0.016747842,0.1132421875,0.0003,-0.3384198346734047,460
1151,8,245760,35,-0.010691421336960048,0.023179057985544205,0.2,0.44508951902389526,0.0697006294503808,0.020845156,0.1154296875,0.0003,-0.333827985227108,470
1154,9,250880,39,-0.014088576377835125,0.014843637123703957,0.2,0.5214208364486694,0.08953370617702604,0.019231614,0.12923828125,0.0003,-0.3574341455101967,480
1157,10,256000,44,-0.013533123445231467,0.012117713689804077,0.2,0.6282204985618591,0.09977570915594697,0.01951031,0.1318359375,0.0003,-0.35200908064842223,490
2107,1,261120,2,-0.015476782713085413,0.035998594015836716,0.2,0.549644947052002,0.16347865127027034,0.021137703,0.12619140625,0.0003,-0.3535481509566307,500
1445,2,266240,7,-0.013526417217217385,0.016658755019307137,0.2,0.24816370010375977,0.1018652488477528,0.019802792,0.12755859375,0.0003,-0.3657951104640961,510
1337,3,271360,11,-0.012328972008544952,-0.00035431981086730957,0.2,0.29257744550704956,0.07547727432101965,0.0256528,0.1366796875,0.0003,-0.3645149430632591,520
1277,4,276480,16,-0.014732922215480358,-0.020627062767744064,0.2,0.12008577585220337,0.0485004991106689,0.02521961,0.138828125,0.0003,-0.36971350356936455,530
1256,5,281600,20,-0.013399897753261029,0.005302019417285919,0.2,0.28895413875579834,0.052453260328620674,0.022355344,0.13599609375,0.0003,-0.3496180012822151,540
1246,6,286720,24,-0.00914963843068108,0.004705037921667099,0.2,0.3810890316963196,0.05839265106245875,0.01963795,0.145390625,0.0003,-0.3607935543358326,550
1237,7,291840,28,-0.012035914186853916,-0.020360851660370827,0.2,0.18564122915267944,0.03386970619671047,0.023011439,0.13078125,0.0003,-0.34794347688555716,560
1231,8,296960,33,-0.01560636178823188,0.00185437873005867,0.2,0.4009266495704651,0.08814172614365816,0.017845992,0.1400390625,0.0003,-0.4056281305849552,570
1222,9,302080,37,-0.019033108693547546,-0.007638128474354744,0.2,0.5747615694999695,0.06683101423084736,0.019092146,0.12234375,0.0003,-0.36988263979554176,580
1217,10,307200,42,-0.013266389388591052,-0.010470392182469368,0.2,0.5986450910568237,0.10320179050788283,0.017669305,0.131640625,0.0003,-0.3664720386266708,590
2125,1,312320,2,-0.00911346659064293,-0.0011346768587827682,0.2,0.36828815937042236,0.057285391464829444,0.02351534,0.11853515625,0.0003,-0.3702334642410278,600
1454,2,317440,7,-0.016149201425723732,0.006197422742843628,0.2,0.5188753604888916,0.11369268123060465,0.015595007,0.12748046875,0.0003,-0.3870132555067539,610
1343,3,322560,11,-0.01529306140029803,-0.0057215616106987,0.2,0.6129550933837891,0.09675544878467918,0.022473766,0.14455078125,0.0003,-0.38585505962371824,620
1289,4,327680,15,-0.01703743279213086,0.010716849938035011,0.2,0.2479906678199768,0.10331252470612526,0.023148695,0.14529296875,0.0003,-0.3843331265449524,630
1260,5,332800,20,-0.019822328039444982,-0.004906682297587395,0.2,0.4925633668899536,0.06850688297301531,0.022873543,0.1309765625,0.0003,-0.34823562994599344,640
1247,6,337920,24,-0.020349496107082813,0.012008078396320343,0.2,0.43883776664733887,0.08850005781278014,0.01973963,0.13556640625,0.0003,-0.3617950259149075,650
1239,7,343040,28,-0.014932602836051957,0.009437143802642822,0.2,0.5597221255302429,0.07453593773767352,0.021114724,0.1263671875,0.0003,-0.3593700861930847,660
1230,8,348160,33,-0.011238478664308786,-0.03658298775553703,0.2,0.4814092516899109,0.040766951208934185,0.022782203,0.125703125,0.0003,-0.34725850969552996,670
1214,9,353280,37,-0.017044029533863067,-0.003973646089434624,0.2,0.37446117401123047,0.04555399072822183,0.018723832,0.1228125,0.0003,-0.3627755884826183,680
1201,10,358400,42,-0.01660584850702435,-0.011897226795554161,0.2,0.6153863668441772,0.09585409445688128,0.017137282,0.14123046875,0.0003,-0.3870588655769825,690
1766,1,363520,2,-0.01749942644033581,0.009218141436576843,0.2,0.588933527469635,0.10199746334925294,0.021296773,0.130390625,0.0003,-0.3760111606121063,700
1296,2,368640,7,-0.0136114197014831,0.002947131171822548,0.2,0.4846910238265991,0.11810136266052723,0.01854058,0.12564453125,0.0003,-0.38856408566236494,710
1183,3,373760,12,-0.018112753292080015,0.0035502873361110687,0.2,0.11298179626464844,0.10664756800979376,0.02177912,0.13708984375,0.0003,-0.3874243815243244,720
1143,4,378880,17,-0.012745156732853502,-0.013440608978271484,0.2,0.14613473415374756,0.04198922802694142,0.022279236,0.1327734375,0.0003,-0.3729542526602745,730
1110,5,384000,23,-0.018596683631185443,5.2578747272491455e-05,0.2,0.3248598575592041,0.06567019429989158,0.021331202,0.13486328125,0.0003,-0.4022842925786972,740
1089,6,389120,28,-0.020942771951667966,-0.022664735093712807,0.2,0.41072696447372437,0.0805130542628467,0.01475372,0.13576171875,0.0003,-0.39581449821591375,750
1079,7,394240,33,-0.013412227823864668,-0.007426518946886063,0.2,0.7101782560348511,0.03755587193183601,0.015754445,0.11384765625,0.0003,-0.3413883075118065,760
1072,8,399360,38,-0.016482068258337677,0.0025756806135177612,0.2,0.338081955909729,0.0988007635064423,0.019454196,0.12412109375,0.0003,-0.3560332889854908,770
1068,9,404480,43,-0.018627528070937843,0.007918749004602432,0.2,0.5229612588882446,0.1229177251085639,0.017067127,0.13287109375,0.0003,-0.39598803251981735,780
1062,10,409600,48,-0.01680342700332403,0.01510522048920393,0.2,0.4966145157814026,0.10553864670917391,0.020181399,0.135390625,0.0003,-0.39612908646464345,790
1811,1,414720,2,-0.017416257681325077,0.04156150296330452,0.2,0.5266875624656677,0.1670469380915165,0.020533632,0.139765625,0.0003,-0.4038688427209854,800
1361,2,419840,7,-0.019860907939728348,0.0015497580170631409,0.2,0.6651291847229004,0.09986564544960856,0.02176988,0.1369921875,0.0003,-0.386260429918766,810
1295,3,424960,11,-0.017901051812805234,0.0034869275987148285,0.2,0.45113539695739746,0.0856930076237768,0.023695813,0.1401953125,0.0003,-0.40323759272694587,820
1266,4,430080,16,-0.016642016265541314,-0.0042530447244644165,0.2,0.5451696515083313,0.09259877795353531,0.023172168,0.13548828125,0.0003,-0.39411642715334894,830
1273,5,435200,20,-0.01432742026168853,-0.003568030893802643,0.2,0.2596958875656128,0.06674530724063515,0.024052924,0.14234375,0.0003,-0.3921847665309906,840
1288,6,440320,23,-0.01858830832410604,0.025551047176122665,0.2,0.4398972988128662,0.13968170110136272,0.02378885,0.1436328125,0.0003,-0.39729774862527845,850
1282,7,445440,27,-0.014485198664478957,0.0087093785405159,0.2,0.3882966637611389,0.08285593112930656,0.021376336,0.14109375,0.0003,-0.3734044860303402,860
1276,8,450560,32,-0.008827188494615256,0.010514527559280396,0.2,0.5334218144416809,0.07537363268435002,0.017671328,0.1172265625,0.0003,-0.39197638362646103,870
1267,9,455680,36,-0.018706820888910444,-0.026702873408794403,0.2,-0.053952932357788086,0.04218802373856306,0.025702719,0.15076171875,0.0003,-0.37817816764116285,880
1250,10,460800,40,-0.012022247759159655,-0.0306585393846035,0.2,0.3225001096725464,0.04183987504802644,0.019197434,0.13669921875,0.0003,-0.3887023286521435,890
2289,1,465920,2,-0.018738696589134633,-0.004094511270523071,0.2,0.586475133895874,0.11227877900004386,0.016424486,0.1233984375,0.0003,-0.3925312204658985,900
1546,2,471040,6,-0.016620925629977138,-0.0009055435657501221,0.2,0.2946610450744629,0.10039065804332495,0.020787736,0.11623046875,0.0003,-0.3613787645101547,910
1434,3,476160,10,-0.017186317110899837,0.019180551171302795,0.2,0.5622942447662354,0.12274778412654996,0.016539719,0.1195703125,0.0003,-0.39170552864670755,920
1372,4,481280,14,-0.014968167224433273,-0.012075971812009811,0.2,0.22662979364395142,0.06112687032669783,0.018945564,0.1230859375,0.0003,-0.3833937066793442,930
1318,5,486400,19,-0.009990248724352568,-0.006531989201903343,0.2,0.4099724292755127,0.05252510826103389,0.018956944,0.12419921875,0.0003,-0.36471725404262545,940
1272,6,491520,24,-0.017557439382653684,0.020732145756483078,0.2,0.3975597023963928,0.10090965932235121,0.02205618,0.13615234375,0.0003,-0.3942983619868755,950
1260,7,496640,28,-0.018624429586343468,-0.016697518527507782,0.2,0.49752992391586304,0.0866903006285429,0.027558217,0.1333984375,0.0003,-0.3892770504951477,960
