time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/stage_learning_rate,curriculum/grid_size,curriculum/stage_timesteps,curriculum/stage,curriculum/preferred_eval_mode,train/ent_coef,curriculum/obs_quantity,curriculum/max_steps,plasticity/total_weight_units,plasticity/low_weight_units,plasticity/weight_rms,plasticity/weight_max_abs,plasticity/low_weight_unit_ratio,plasticity/weight_abs_mean,plasticity/effective_rank_99_mean,plasticity/effective_rank_99_normalized_mean,eval/full_coverage_rate,eval/deterministic,eval/stage_timesteps,eval/stage,eval/std_ep_length,eval/mean_reward,eval/mean_ep_length,eval/std_reward,eval/deterministic_full_coverage_rate,eval/promotion_min_mean_reward,eval/stochastic_quality_passed,eval/quality_promotion_passed,eval/coverage_promotion_passed,eval/promotion_full_coverage_rate,eval/deterministic_quality_passed,eval/promotion_max_mean_length,eval/diagnostic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/mode_gap,eval/promotion_passed,eval/deterministic_promotion_floor
1,1,88.55,2675,0.8081874251365662,281600,,,,,,,,,,,7e-05,5,256000,1,1,0.0010000000000000009,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2,82.73,251,1.3046672344207764,286720,7e-05,0.08,0.0018157817,0.16123046875,440,0.7112727761268616,0.2620890736579895,-1.0740370016545058,-0.0003292464840342291,2.136487337225117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3,84.89,195,1.0936388969421387,291840,7e-05,0.08,0.0015330806,0.1576171875,448,0.6970950365066528,0.823555052280426,-1.0782018551602959,-0.0005116408850881271,2.1769580745138226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,4,81.29,169,1.6739872694015503,296960,7e-05,0.08,0.0022011506,0.1715087890625,456,0.7246670126914978,0.6308761239051819,-1.0855819592252374,0.0002052529263892211,2.227227490255609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,5,73.64,159,2.259765386581421,302080,7e-05,0.08,0.0021138466,0.1818359375,464,0.7288625836372375,1.5020488500595093,-1.0655732104554771,-0.00042949728667736055,2.5867708603385835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,0.08,0.0014312703,0.154248046875,472,0.676364541053772,1.7261955738067627,-1.0442684084177016,-0.00041733705438673496,3.0852105619385837,,,,,,,,,1925,26,0.01903372717965252,0.9973925948143005,0.013506493506493506,0.0076337693181417745,110.5,0.8531901041666666,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0,281600,1,41.35140142727935,2.1767985324561594,76.96,4.114520006902793,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,1,281600,1,81.57144108080965,2.4611054384708404,98.2,7.662104084085803,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281600,1,,,,,0.61,6.75,0,0,0,0.94,0,45.0,0.94,0.94,0.32999999999999996,0,0.6649999999999999
1,1,81.26,2692,1.2720396518707275,307200,,,,,,,,,,,7e-05,5,281600,1,1,0.0010000000000000009,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,78.5,260,1.5583930015563965,312320,7e-05,0.08,0.0011298798,0.09111328125,480,0.7448226809501648,0.19607143104076385,-1.0781996520236135,-0.001584508831729181,2.083115591481328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3,73.92,199,1.9339789152145386,317440,7e-05,0.08,0.0021565899,0.1366455078125,488,0.7577036619186401,1.7014179229736328,-1.04278616476804,-0.001292732534056995,1.7135741032660008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,4,68.35,178,3.2750580310821533,322560,7e-05,0.08,0.0020546615,0.1411376953125,496,0.6984080672264099,0.6338921189308167,-1.0385160125792026,-0.0009828864596784115,1.8840744881890714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,5,65.66,168,3.1921515464782715,327680,7e-05,0.08,0.0028053,0.19287109375,504,0.4562164545059204,0.33626028895378113,-1.019574267975986,0.0003816531039774418,1.4201475952519105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,0.08,0.0015001891,0.1947265625,512,0.5383540987968445,0.42932429909706116,-1.015589663013816,-0.0005313365705660545,2.0169744987972082,,,,,,,,,1925,28,0.01835064290129181,1.002157211303711,0.014545454545454545,0.007342914970473405,106.08333333333333,0.8359375,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0,307200,1,36.69087625009793,3.032899213694036,68.14,4.216834281380483,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1,307200,1,76.95527532274834,4.146137145757675,82.84,5.977676618240796,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307200,1,,,,,0.7,6.75,0,0,1,0.97,0,45.0,0.97,0.97,0.27,0,0.6649999999999999
2,1,71.93,2089,2.452908515930176,332800,,,,,,,,,,,7e-05,5,307200,1,1,0.0010000000000000009,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2,75.4,248,2.111266851425171,337920,7e-05,0.08,0.0016117959,0.1215576171875,520,0.6790224313735962,2.560452699661255,-1.0298039646819235,-0.0002863777772290632,1.6658082626760007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3,73.37,195,1.9105534553527832,343040,7e-05,0.08,0.0015927727,0.141162109375,528,0.69800865650177,1.008745789527893,-1.0151245707646013,-0.0004723800186184235,1.9126665010116994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,4,67.66,171,2.7775888442993164,348160,7e-05,0.08,0.001673044,0.150732421875,536,0.6909618377685547,0.3170374631881714,-1.0314354944974184,4.795883432962e-06,2.2365109271369876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,5,67.85,161,2.8588955402374268,353280,7e-05,0.08,0.0018629553,0.1533447265625,544,0.6805905103683472,0.8768056631088257,-1.0030869606882333,0.000594918173737824,2.230127455526963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,0.08,0.0016120855,0.129345703125,552,0.719109833240509,1.4734691381454468,-0.99568558242172,2.0207449415465818e-05,2.5732572643086313,,,,,,,,,1925,30,0.017656032169879664,1.0028127431869507,0.015584415584415584,0.0068812663909547786,101.08333333333333,0.7958984375,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0,332800,1,30.97912845772134,3.6621898514032365,62.56,3.4350623191761698,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,1,332800,1,65.14080978925575,5.587499040961266,66.07,3.6064003219095144,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332800,1,,,,,0.81,6.75,0,0,1,0.98,0,45.0,0.98,0.98,0.16999999999999993,0,0.6649999999999999
1,1,67.54,2600,3.3940091133117676,358400,,,,,,,,,,,7e-05,5,332800,1,1,0.0010000000000000009,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2,61.35,252,3.8951873779296875,363520,7e-05,0.08,0.001355465,0.124365234375,560,0.7822402715682983,0.735953688621521,-1.0077177492901683,-0.0009356606373330578,2.778533018869348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3,68.62,199,3.3223586082458496,368640,7e-05,0.08,0.0012953663,0.1513427734375,568,0.7705967426300049,0.7933986783027649,-0.9742513725534081,-0.0011701223600539378,2.0215929941739885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,4,66.07,175,3.0607995986938477,373760,7e-05,0.08,0.0017112192,0.1436279296875,576,0.7526093125343323,1.1098442077636719,-0.9869871940463781,8.693561394466088e-05,2.4386085126549006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,5,64.56,165,3.2375354766845703,378880,7e-05,0.08,0.0018536927,0.1338134765625,584,0.7037007808685303,0.6462034583091736,-0.9810111854225397,-0.0012692705990048126,2.1967138231731953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,0.08,0.0017187148,0.1431884765625,592,0.6991597414016724,4.539827346801758,-0.9583794362843037,-0.0009404978685779497,2.898342431895435,,,,,,,,,1925,34,0.0170883580065433,1.0071232318878174,0.017662337662337664,0.0065446682244625996,96.16666666666667,0.7761501736111112,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0,358400,1,32.750291601755244,4.027040329556912,58.28,4.478107527860204,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,1,358400,1,68.00276170862473,4.659123268127441,68.62,6.315068887804801,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358400,1,,,,,0.79,6.75,0,0,1,0.99,0,45.0,0.99,0.99,0.19999999999999996,0,0.6649999999999999
2,1,67.89,2267,2.826488733291626,384000,,,,,,,,,,,7e-05,5,358400,1,1,0.0010000000000000009,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,71.88,260,2.513613224029541,389120,7e-05,0.08,0.0013226268,0.1390380859375,600,0.7742500305175781,0.18153181672096252,-0.9847134390845895,-0.00037456896825460717,2.3776237088255585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,3,63.94,183,3.435523748397827,394240,7e-05,0.08,0.0020195884,0.1865234375,608,0.6000931262969971,4.138801097869873,-0.9769278721883893,0.0014410435338504612,1.9113786788657308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,4,57.3,164,4.044100284576416,399360,7e-05,0.08,0.0021956866,0.1621337890625,616,0.7148933410644531,0.5972433686256409,-0.9455293707549572,0.00023524791904492304,1.3047000498510897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,5,55.97,156,4.272305965423584,404480,7e-05,0.08,0.0016853295,0.1757080078125,624,0.7070215940475464,1.49512779712677,-0.9219776412472129,0.0009042815770953893,1.8294309767894448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,0.08,0.0016388331,0.1623291015625,632,0.7253724336624146,0.911561131477356,-0.9082172829657793,4.730506843770854e-05,1.7837462356314062,,,,,,,,,1925,50,0.016637661713793883,1.0151275396347046,0.025974025974025976,0.006317711648748804,91.5,0.7569444444444445,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0,384000,1,33.25714359351988,3.887401233315468,59.32,4.418092248564288,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,1,384000,1,55.71887561679615,5.822226149141788,57.63,3.4657446137183543,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384000,1,,,,,0.87,6.75,0,0,1,0.99,0,45.0,0.99,0.99,0.12,0,0.6649999999999999
1,1,60.48,2638,4.0194783210754395,409600,,,,,,,,,,,7e-05,5,384000,1,1,0.0010000000000000009,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2,63.65,272,3.8497605323791504,414720,7e-05,0.08,0.004701259,0.23779296875,640,0.8017454147338867,0.5975039601325989,-0.9239429598674178,0.002100604004226625,1.4382986745797097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3,53.52,208,4.623425483703613,419840,7e-05,0.08,0.0014669956,0.124169921875,648,0.8160014748573303,0.418158620595932,-0.8934615697711706,-0.0005550612564547919,1.8160162968793885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,4,52.98,189,4.810471534729004,424960,7e-05,0.08,0.0016785093,0.146923828125,656,0.7318694591522217,0.8644195199012756,-0.8720347236841917,-9.536443394608796e-05,2.4371337791439145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,5,54.22,181,4.793811798095703,430080,7e-05,0.08,0.0022346159,0.141064453125,664,0.8014644384384155,0.19999758899211884,-0.8506978832185268,0.0002423206839011982,1.3949411782436072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,0.08,0.0018839419,0.1364990234375,672,0.8102172613143921,1.7329292297363281,-0.8675637492910028,8.458471565973014e-05,1.8998848115559668,,,,,,,,,1925,66,0.016273954900342575,1.0167144536972046,0.03428571428571429,0.0061755924963984524,87.5,0.7407769097222222,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0,409600,1,27.059704359064973,5.355372958555818,50.18,2.5788518906622664,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,1,409600,1,65.13699025899186,5.0183371996879576,66.75,5.23623724238186,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409600,1,,,,,0.81,6.75,0,0,1,0.98,0,45.0,0.98,0.98,0.16999999999999993,0,0.6649999999999999
2,1,53.85,2496,4.757067680358887,435200,,,,,,,,,,,7e-05,5,409600,1,1,0.0010000000000000009,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2,51.96,277,4.8438286781311035,440320,7e-05,0.08,0.0022823953,0.16376953125,680,0.7151176929473877,5.464076042175293,-0.8419102862477302,-0.00020973938517272473,2.2451877337880433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3,55.05,216,4.631756782531738,445440,7e-05,0.08,0.004440364,0.285400390625,688,0.8102788925170898,0.3204840421676636,-0.8326093463227153,0.004651345482852775,1.7446237615775317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,4,53.6,192,4.893131256103516,450560,7e-05,0.08,0.0033640824,0.157373046875,696,0.8013824224472046,0.7388087511062622,-0.8418719505891203,-0.0002863756206352264,2.00365165094845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,5,50.02,179,5.242157459259033,455680,7e-05,0.08,0.0034469801,0.2259033203125,704,0.7924147844314575,0.38951605558395386,-0.8198430558666587,0.0028105510980822148,2.194696834217757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,0.08,0.0026085475,0.1533447265625,712,0.7678697109222412,0.16368766129016876,-0.7659558722749352,-0.0016853544919285923,1.5701696825213731,,,,,,,,,1925,45,0.015963411235246864,1.0212414264678955,0.023376623376623377,0.006042334620803803,84.0,0.7222222222222222,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,435200,1,22.932980617442645,5.321393454647623,48.72,3.1584301868907287,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1,435200,1,50.24381653497274,5.792269862890244,51.67,5.01336482891233,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435200,1,,,,,0.9,6.75,0,0,1,1.0,0,45.0,1.0,1.0,0.09999999999999998,1,0.6649999999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0,435200,1,24.08323898482096,5.4618338737636805,48.76,2.716148447153927,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,1,435200,1,47.92888377586109,6.530877721309662,48.89,2.6998622496934774,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435200,1,,,,,0.91,6.75,0,0,1,0.99,0,45.0,0.99,0.99,0.07999999999999996,1,0.6649999999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0,435200,1,23.437201198095305,5.515741171389818,48.24,2.573996159424854,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,1,435200,1,57.76844380801684,5.584378419220448,58.37,4.756515301361795,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435200,1,,,,,0.86,6.75,0,0,1,0.99,0,45.0,0.99,0.99,0.13,1,0.6649999999999999
2,1,73.97,1812,5.010035037994385,460800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,119.71,240,3.9894843101501465,465920,3.5e-05,0.055999999999999994,0.0018951452,0.3174072265625,720,0.7271668910980225,1.0216257572174072,-0.9332025369629264,0.0049176055756106505,4.547929675178603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3,151.16,204,3.591677665710449,471040,3.5e-05,0.055999999999999994,0.0006988869,0.1870849609375,728,0.7899330854415894,7.30010986328125,-1.0116573579609394,0.0009174082661047578,2.5498425441561268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,4,198.46,191,2.5470855236053467,476160,3.5e-05,0.055999999999999994,0.0032379583,0.2596435546875,736,0.5829030275344849,0.23327194154262543,-0.9763876169919967,0.002683993728714995,4.305466605442052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,227.19,2792,1.894413948059082,481280,3.5e-05,0.055999999999999994,0.001473954,0.204541015625,744,0.5572110414505005,0.3351399004459381,-0.9954088984057308,0.0009178339736536145,3.045550803729566,3e-05,8,0,2,0,0.009,8,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,217.07,338,2.335610866546631,486400,3e-05,0.08,0.0012942737,0.1048583984375,752,0.3751264810562134,0.022099383175373077,-1.0086433697491883,-0.000665822994778864,2.9291586157720304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3,227.91,244,1.889712929725647,491520,3e-05,0.08,0.0016828075,0.1039306640625,760,0.13351523876190186,5.2351531982421875,-0.988158936612308,-0.0007197992061264813,3.923095879179891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4,224.53,209,2.037827253341675,496640,3e-05,0.08,0.0015276275,0.0990234375,768,0.2268880009651184,6.980557918548584,-0.9573841134086252,-0.0006192204964463599,2.9714510945021173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,5,222.91,197,2.1106820106506348,501760,3e-05,0.08,0.0017111925,0.094775390625,776,0.26448607444763184,3.1302554607391357,-0.995927251316607,-0.0007233618409372867,1.8506791104678997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3e-05,0.08,0.0016189879,0.1073974609375,784,0.0703691840171814,5.0225749015808105,-0.9837720016017556,-0.001088730213814415,2.737419123807922,,,,,,,,,1925,16,0.0155512765612351,1.0149142742156982,0.008311688311688312,0.0058197947987402975,82.08333333333333,0.7147352430555555,,,,,,,,,,,,,,,,,,,,,
2,1,225.89,2249,1.9813952445983887,506880,,,,,,,,,,,3e-05,8,25600,2,0,0.008829333333333333,8,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2,221.92,273,2.103400945663452,512000,3e-05,0.08,0.001633961,0.128271484375,792,0.2091006636619568,3.8214781284332275,-0.9848120963200927,0.0007487250884878449,2.195662929210812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3,216.73,221,2.0964436531066895,517120,3e-05,0.08,0.0011358153,0.137646484375,800,0.24680763483047485,0.11701148003339767,-1.00923933070153,0.0003008976054843515,1.6385227578226478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,4,213.27,192,2.2970006465911865,522240,3e-05,0.08,0.0011554736,0.1498779296875,808,0.3159547448158264,0.011254668235778809,-0.9918911209329963,0.0004508963043917902,1.8958474855695386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,5,213.24,173,2.200378179550171,527360,3e-05,0.08,0.00131922,0.13525390625,816,0.21010613441467285,0.2590837776660919,-0.9612130854278803,0.0007451379991834983,2.4596422771224753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3e-05,0.08,0.0012672208,0.09501953125,824,0.3008582592010498,3.2012877464294434,-0.991686643846333,-0.0004142707693972625,2.051976239483338,,,,,,,,,1925,15,0.015349313417193608,1.0150184631347656,0.007792207792207792,0.005670081286051541,81.0,0.7099609375,,,,,,,,,,,,,,,,,,,,,
2,1,216.05,2254,2.1594340801239014,532480,,,,,,,,,,,3e-05,8,51200,2,0,0.008658666666666667,8,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2,214.9,268,2.224396228790283,537600,3e-05,0.08,0.0015724298,0.08251953125,832,0.3792913556098938,0.031025104224681854,-1.018149758130312,-0.00111351349769393,1.4118965360336007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3,218.83,194,2.1250898838043213,542720,3e-05,0.08,0.0010307042,0.1007568359375,840,0.2303394079208374,0.14829961955547333,-0.9617673575878143,-0.0011303718565613963,2.3453673033509403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,4,208.18,174,2.3029890060424805,547840,3e-05,0.08,0.0012206628,0.1060302734375,848,0.2662550210952759,2.51355242729187,-0.976506645604968,-0.0011910275236004964,1.8219176853075623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,5,193.15,157,2.800651788711548,552960,3e-05,0.08,0.0017748876,0.1155029296875,856,0.21389448642730713,1.8735134601593018,-0.9502493994310498,-0.0011493249665363691,2.8234926983714104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3e-05,0.08,0.0014062123,0.1190673828125,864,0.26422256231307983,0.24586890637874603,-0.920032761245966,8.864968549460173e-06,2.5438580134883524,,,,,,,,,1925,14,0.015220371858092687,1.0162392854690552,0.007272727272727273,0.005652628164552494,80.25,0.70703125,,,,,,,,,,,,,,,,,,,,,
2,1,191.23,2321,2.7778942584991455,558080,,,,,,,,,,,3e-05,8,76800,2,0,0.008487999999999999,8,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2,193.21,286,2.7661709785461426,563200,3e-05,0.08,0.001073651,0.0866943359375,872,0.49830955266952515,0.22034376859664917,-0.9611900463700295,-0.0005145657967659644,1.5822587337344884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3,198.61,218,2.704709768295288,568320,3e-05,0.08,0.0018476222,0.117041015625,880,0.5776280164718628,1.624464988708496,-0.9753228459507227,4.1638418042566625e-05,1.7315474331146106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,4,205.15,190,2.308912754058838,573440,3e-05,0.08,0.0013581477,0.1001220703125,888,0.46222639083862305,0.33920571208000183,-0.9420309564098716,-0.0001121374691138044,2.002017165441066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,5,210.32,179,2.262929916381836,578560,3e-05,0.08,0.001637527,0.1204833984375,896,0.4307345747947693,0.4054533839225769,-0.934461304731667,-0.00033453396608820187,2.0384031295077873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3e-05,0.08,0.0014067848,0.0961669921875,904,0.6991659998893738,1.643110752105713,-0.9801146797835827,-0.0007675310291233473,1.3236415546154603,,,,,,,,,1925,14,0.015063712538750386,1.0150859355926514,0.007272727272727273,0.005501535867352006,79.25,0.703125,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0,102400,2,72.41191821792874,2.5903001490235327,193.79,3.197132597360831,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,1,102400,2,101.50689582486503,1.913249220252037,217.01,5.498640526146709,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102400,2,,,,,0.53,6.75,0,0,0,0.84,0,115.2,0.84,0.84,0.30999999999999994,0,0.6649999999999999
3,1,206.22,1566,2.2198030948638916,583680,,,,,,,,,,,3e-05,8,102400,2,1,0.008617333333333333,8,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2,202.86,252,2.318389654159546,588800,3e-05,0.08,0.0015431535,0.1014892578125,912,0.6407982707023621,2.1096692085266113,-0.950499402359128,-0.00040351096831727775,1.8410127813229338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3,194.98,189,2.730299949645996,593920,3e-05,0.08,0.0015676878,0.1125732421875,920,0.5421619415283203,0.27329131960868835,-0.9194461431354284,0.0004000835629994981,2.271150686847977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,4,179.25,173,3.1857495307922363,599040,3e-05,0.08,0.00090907404,0.097509765625,928,0.6193202137947083,0.3372572362422943,-0.9193522980436682,0.00023727120278635994,2.3066785272210835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,5,187.79,159,2.935823440551758,604160,3e-05,0.08,0.0013510355,0.1271484375,936,0.5548205375671387,1.720801830291748,-0.9209550457075238,-0.00018375386134721338,2.4173769583692772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3e-05,0.08,0.0016082007,0.13134765625,944,0.6646479964256287,5.0818562507629395,-0.9533118942752481,0.0006287454016273841,1.9573695857892743,,,,,,,,,1925,14,0.014923988879629117,1.013929843902588,0.007272727272727273,0.005427686000957409,78.25,0.69921875,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0,128000,2,77.66514276044306,2.375551703721285,207.16,2.8797638687311444,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,1,128000,2,100.93139452122912,3.1286872781813146,193.56,4.938980260479364,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128000,2,,,,,0.64,6.75,0,0,0,0.76,0,115.2,0.76,0.76,0.12,0,0.6649999999999999
2,1,189.4,1729,2.738307476043701,609280,,,,,,,,,,,3e-05,8,128000,2,1,0.008746666666666666,8,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,201.18,239,2.481752872467041,614400,3e-05,0.08,0.0017318998,0.0986083984375,952,0.569676399230957,0.1721847802400589,-0.9412911586463452,0.0003313760069431737,2.405546853260603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
