time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/stage_learning_rate,curriculum/grid_size,curriculum/stage_timesteps,curriculum/stage,curriculum/preferred_eval_mode,train/ent_coef,curriculum/obs_quantity,curriculum/max_steps,plasticity/total_weight_units,plasticity/low_weight_units,plasticity/weight_rms,plasticity/weight_max_abs,plasticity/low_weight_unit_ratio,plasticity/weight_abs_mean,plasticity/effective_rank_99_mean,plasticity/effective_rank_99_normalized_mean,eval/full_coverage_rate,eval/deterministic,eval/stage_timesteps,eval/stage,eval/std_ep_length,eval/mean_reward,eval/mean_ep_length,eval/std_reward,eval/deterministic_full_coverage_rate,eval/promotion_min_mean_reward,eval/stochastic_quality_passed,eval/quality_promotion_passed,eval/coverage_promotion_passed,eval/promotion_full_coverage_rate,eval/deterministic_quality_passed,eval/promotion_max_mean_length,eval/diagnostic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/mode_gap,eval/promotion_passed,eval/deterministic_promotion_floor
160,5,158.96,159,-4.290620803833008,97280,7e-05,0.08,0.0017989178,0.1501220703125,144,0.2743068337440491,0.01705947518348694,-1.2844686098396778,-0.0008331301200087182,0.5052709769370267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,0.08,0.0016833093,0.1309814453125,152,0.14451509714126587,0.5358657836914062,-1.2699426688253879,-0.002265866458765231,1.1723352413013344,,,,,,,,,1925,0,0.03204807959092176,0.9725860357284546,0.0,0.017312662916552524,139.66666666666666,0.9753689236111112,,,,,,,,,,,,,,,,,,,,,
2,1,161.01,2496,-4.272646903991699,102400,,,,,,,,,,,7e-05,5,76800,1,0,0.004248,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2,157.77,255,-3.6044509410858154,107520,7e-05,0.08,0.0019838638,0.1486328125,160,0.284760057926178,0.0025753071531653404,-1.254230384156108,-0.00188667809125036,0.7117720584414201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3,158.22,196,-3.293152093887329,112640,7e-05,0.08,0.001449656,0.1460205078125,168,0.2524309754371643,0.06623321771621704,-1.2528759323060512,-0.0018015039298916236,0.8195855264319107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,4,161.32,176,-3.649855613708496,117760,7e-05,0.08,0.0012920944,0.1836669921875,176,0.26665198802948,0.942074716091156,-1.2499892257153988,-0.0015697323658969253,0.8020465622190386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,5,159.43,165,-4.001208305358887,122880,7e-05,0.08,0.0015040447,0.1329833984375,184,0.26473575830459595,0.1613532304763794,-1.2279434949159622,-0.001840129034826532,0.9806978923763381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,0.08,0.0022722962,0.11376953125,192,0.30473971366882324,1.3977199792861938,-1.2257437210530042,-0.0004227974292007275,0.8558018904324853,,,,,,,,,1925,0,0.029247689842688766,0.9727952480316162,0.0,0.0149619260237265,137.5,0.9643012152777778,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0,102400,1,44.91184587611602,-3.6914223775267603,170.31,4.536779471393612,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,102400,1,0.0,-4.778473162651062,200.0,2.5166827785596095,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102400,1,,,,,0.0,6.75,0,0,0,0.41,0,45.0,0.41,0.41,0.41,0,0.6649999999999999
1,1,160.95,2673,-4.133116245269775,128000,,,,,,,,,,,7e-05,5,102400,1,1,0.0010000000000000009,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
