time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/clip_range,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/value_loss,train/approx_kl
143360,1121,36,8,0.2,0.052054308354854584,270,-0.8717710998654365,-0.012983801933005452,0.0003,0.19451171875,0.6316646933555603,0.26822255373001097,0.016505698
148480,1120,41,9,0.2,0.02567773312330246,280,-0.8399004885554313,-0.013726070276461541,0.0003,0.1825390625,0.6231487989425659,0.2541649493575096,0.017264638
153600,1102,46,10,0.2,0.00854119285941124,290,-0.8917340195178985,-0.013790614800527692,0.0003,0.23400390625,0.4408625364303589,0.2406264765933156,0.02318656
158720,1998,2,1,0.2,-0.0042868927121162415,300,-0.9028406113386154,-0.014220982138067485,0.0003,0.231484375,0.3424847722053528,0.19719352949410676,0.022000333
163840,1117,9,2,0.2,-0.0265638530254364,310,-0.9331513682007789,-0.01859584212535992,0.0003,0.25322265625,0.39340895414352417,0.14474074229598044,0.025687262
168960,962,15,3,0.2,-0.04274587333202362,320,-0.9076634374260902,-0.01966449725907296,0.0003,0.202578125,0.3523271679878235,0.13113362964242697,0.020027742
174080,969,21,4,0.2,-0.014086268842220306,330,-0.9172068166732789,-0.019501107938122004,0.0003,0.20669921875,0.22161787748336792,0.1624736536666751,0.024478305
179200,981,26,5,0.2,-0.02712389826774597,340,-0.9073108130693436,-0.019323336658999324,0.0003,0.20205078125,0.28358346223831177,0.1176176712475717,0.020083189
184320,943,32,6,0.2,0.003682482987642288,350,-0.9098560571670532,-0.017275337278842926,0.0003,0.2156640625,0.24376720190048218,0.157451104670763,0.02229534
189440,951,37,7,0.2,-0.03779033571481705,360,-0.9070999377965927,-0.020129786040633917,0.0003,0.195546875,0.3345220685005188,0.13204210817813875,0.01929372
194560,947,43,8,0.2,-0.035161398351192474,370,-0.9048561251163483,-0.020367127985227853,0.0003,0.2059765625,0.1827223300933838,0.12889034181833267,0.021663545
199680,962,47,9,0.2,-0.0179160013794899,380,-0.8801204213500022,-0.021819564695470035,0.0003,0.1998828125,0.2156122326850891,0.16717181406915188,0.02044684
204800,968,52,10,0.2,-0.028505567461252213,390,-0.8788688990473748,-0.019709236833732574,0.0003,0.20794921875,0.27118533849716187,0.14809739844873548,0.022266528
209920,1974,2,1,0.2,-0.0216720849275589,400,-0.8751293930411339,-0.020414099907502533,0.0003,0.21201171875,0.27916091680526733,0.12287200052291154,0.020565912
215040,1432,7,2,0.2,-0.02564515918493271,410,-0.8609592264890671,-0.021492732116021217,0.0003,0.19376953125,0.23538261651992798,0.12647481648251413,0.019396026
220160,1167,13,3,0.2,-0.025026969611644745,420,-0.8920679315924644,-0.01818276718258858,0.0003,0.19740234375,0.1731661558151245,0.12280718633905054,0.020108495
225280,1116,18,4,0.2,-0.03184995800256729,430,-0.8648624184727669,-0.02172467650147155,0.0003,0.1987109375,0.03520774841308594,0.12752684229984879,0.017735364
230400,1064,24,5,0.2,-0.03715449199080467,440,-0.849395041167736,-0.02431344736367464,0.0003,0.20251953125,0.24614393711090088,0.1380132702179253,0.017529884
235520,985,31,6,0.2,-0.043238669633865356,450,-0.8261400696635246,-0.025494461578782646,0.0003,0.22521484375,0.3413800001144409,0.1160703138448298,0.021138964
240640,939,38,7,0.2,-0.024552728980779648,460,-0.824148517549038,-0.024176284328568727,0.0003,0.2030078125,0.2469136118888855,0.12097876861691476,0.019036954
245760,903,45,8,0.2,-0.05009302496910095,470,-0.8265314793586731,-0.023521540947258474,0.0003,0.20865234375,0.1842849850654602,0.10875069580972195,0.021742517
250880,902,51,9,0.2,-0.04105698689818382,480,-0.8283028349280357,-0.028714468167163432,0.0003,0.2151171875,0.23509633541107178,0.08763993844389915,0.02089876
256000,907,56,10,0.2,-0.039237599819898605,490,-0.8103705108165741,-0.02367160490481183,0.0003,0.18705078125,0.21737802028656006,0.12048248236998915,0.0186709
261120,1480,3,1,0.2,-0.03819740563631058,500,-0.7985135227441787,-0.024923065402545033,0.0003,0.19216796875,0.4004742503166199,0.11214800545945763,0.017149564
266240,1223,8,2,0.2,-0.046874694526195526,510,-0.8209258741140366,-0.023367782977875323,0.0003,0.19744140625,0.2977157235145569,0.12547074411064385,0.017936127
271360,1159,13,3,0.2,-0.055482082068920135,520,-0.8600140461325645,-0.02461070125224069,0.0003,0.21162109375,0.40893590450286865,0.1361714231595397,0.022040052
276480,1119,18,4,0.2,-0.02759169042110443,530,-0.8461029976606369,-0.023462449782527983,0.0003,0.18837890625,0.2778169512748718,0.13058524314314127,0.017830467
281600,1101,23,5,0.2,-0.06165069714188576,540,-0.8503272694349289,-0.02545802996493876,0.0003,0.18953125,0.4379296898841858,0.10603482130914926,0.01953949
286720,1080,28,6,0.2,-0.03526172786951065,550,-0.8569534546136857,-0.023477625867817552,0.0003,0.1895703125,0.349287748336792,0.1268383299000561,0.018911058
291840,1017,35,7,0.2,-0.03711606562137604,560,-0.8445239636301994,-0.02531141392653808,0.0003,0.1887109375,0.20165234804153442,0.12047169992700218,0.019402407
296960,1027,39,8,0.2,-0.060586970299482346,570,-0.841396706700325,-0.024294891234021634,0.0003,0.1761328125,0.36528390645980835,0.10243073420599103,0.01898988
302080,1030,44,9,0.2,-0.05891493707895279,580,-0.8011291846632957,-0.025501659526489674,0.0003,0.18724609375,0.36314743757247925,0.08797354131937027,0.020416714
307200,1039,49,10,0.2,-0.04831826686859131,590,-0.8072209638357163,-0.02723582022357732,0.0003,0.2076953125,0.16722339391708374,0.11386731274425983,0.023757186
312320,2126,2,1,0.2,-0.0517098531126976,600,-0.8218335855007172,-0.024767355385702104,0.0003,0.2013671875,0.26019370555877686,0.11862150583416224,0.021715526
317440,1269,8,2,0.2,-0.07105691730976105,610,-0.7873103147745133,-0.02737485830904916,0.0003,0.2060546875,0.28757238388061523,0.08567181423306465,0.021696815
322560,1161,13,3,0.2,-0.06380526721477509,620,-0.832641890347004,-0.02834365134127438,0.0003,0.2175,0.10989105701446533,0.0829477165825665,0.020315034
327680,1137,18,4,0.2,-0.058268897235393524,630,-0.828379993736744,-0.03205427637323737,0.0003,0.2054296875,0.26881593465805054,0.09287753842771053,0.02221093
332800,1096,23,5,0.2,-0.07255551964044571,640,-0.8364169970154762,-0.03169781045988202,0.0003,0.226875,0.40131521224975586,0.08485465496778488,0.022907833
337920,995,30,6,0.2,-0.049765847623348236,650,-0.7984262162446976,-0.02436451966641471,0.0003,0.19875,0.33375418186187744,0.0889555636793375,0.022230584
343040,958,37,7,0.2,-0.06356281042098999,660,-0.8024355816841126,-0.02815582466078922,0.0003,0.183515625,0.3939025402069092,0.08363333927467466,0.019796493
348160,938,43,8,0.2,-0.05989369377493858,670,-0.8192467072606087,-0.029938220991753042,0.0003,0.20501953125,0.452495813369751,0.08353385543450713,0.02059644
353280,941,48,9,0.2,-0.08637964725494385,680,-0.8502788344025611,-0.030431230487301945,0.0003,0.20265625,0.06009626388549805,0.08440781660377979,0.020339346
358400,949,53,10,0.2,-0.06907613575458527,690,-0.8578611886501313,-0.032993008331395686,0.0003,0.216328125,0.15704602003097534,0.07769097383134067,0.022150667
363520,1868,2,1,0.2,-0.07445558905601501,700,-0.8337644597887993,-0.029088326483033597,0.0003,0.21333984375,0.293429970741272,0.09119119912385941,0.020894997
368640,1355,7,2,0.2,-0.06555215269327164,710,-0.841855781674385,-0.026713313716463745,0.0003,0.21765625,0.29441720247268677,0.08442204492166638,0.024092708
373760,1225,12,3,0.2,-0.08199492841959,720,-0.8499178338050842,-0.03141897900961339,0.0003,0.201328125,0.4016275405883789,0.08181671615689994,0.01820835
378880,1083,18,4,0.2,-0.07721580564975739,730,-0.861511783003807,-0.036634058586787435,0.0003,0.2146484375,0.29402440786361694,0.0963073842599988,0.020691786
384000,1082,23,5,0.2,-0.062294356524944305,740,-0.8496063256263733,-0.032106814146973195,0.0003,0.2134765625,0.2674140930175781,0.08462915456853808,0.02213984
389120,1088,28,6,0.2,-0.06686677038669586,750,-0.8585649913549424,-0.03737849422497675,0.0003,0.20947265625,0.3427032232284546,0.09755331214517354,0.01931275
394240,1087,32,7,0.2,-0.0648784339427948,760,-0.8629005947709083,-0.03363759461324662,0.0003,0.20279296875,0.33833181858062744,0.09815601673908532,0.020486552
399360,1088,37,8,0.2,-0.08484508842229843,770,-0.8636873060464859,-0.03221738342661411,0.0003,0.20125,0.34682345390319824,0.09336302672512829,0.021960756
404480,1081,42,9,0.2,-0.08857718110084534,780,-0.879569336771965,-0.03466190808918327,0.0003,0.20833984375,0.2987350821495056,0.09155232838355004,0.020951848
409600,1056,48,10,0.2,-0.07857358455657959,790,-0.9007162335515022,-0.035244501447305086,0.0003,0.22369140625,0.41308361291885376,0.08882680924609304,0.020805772
414720,1872,2,1,0.2,-0.06767161190509796,800,-0.8887620404362678,-0.0335728111746721,0.0003,0.2066796875,0.33512282371520996,0.09603556171059609,0.019145202
419840,1302,7,2,0.2,-0.07870575040578842,810,-0.893285662829876,-0.0370151254767552,0.0003,0.224296875,0.3847753405570984,0.09401824919506907,0.020981932
424960,1218,12,3,0.2,-0.07352990657091141,820,-0.9098100098967552,-0.034407781150657686,0.0003,0.22880859375,0.21914148330688477,0.09708301959559322,0.023943162
430080,1181,17,4,0.2,-0.0747528150677681,830,-0.9183985835313797,-0.03515017427969724,0.0003,0.2183203125,0.24026304483413696,0.08386615094728768,0.02026968
435200,1137,22,5,0.2,-0.08599156886339188,840,-0.914194005727768,-0.038855139727238565,0.0003,0.239375,0.0849713683128357,0.0862154042813927,0.023097372
440320,1115,27,6,0.2,-0.07963226735591888,850,-0.9311260443925857,-0.03785882896743715,0.0003,0.23341796875,0.2703678607940674,0.08423211762681604,0.021605283
445440,1105,32,7,0.2,-0.0984998494386673,860,-0.9267758509516716,-0.037930723566096274,0.0003,0.2311328125,0.4204093813896179,0.06936557503417135,0.022139024
450560,1085,37,8,0.2,-0.08043055236339569,870,-0.9280639791488647,-0.04026034358888864,0.0003,0.2175,0.44375234842300415,0.07117201659828425,0.02115636
455680,1040,44,9,0.2,-0.08123980462551117,880,-0.9216048219799995,-0.041106176380999386,0.0003,0.245234375,0.07835900783538818,0.07174215340055526,0.023687208
460800,996,51,10,0.2,-0.07360734045505524,890,-0.9086440423130989,-0.03850632317364216,0.0003,0.25025390625,0.03292316198348999,0.09948599249124528,0.02734972
465920,1794,2,1,0.2,-0.08204291760921478,900,-0.9192313545942307,-0.03929600797593594,0.0003,0.2428515625,0.2352396845817566,0.09973768662661314,0.023267148
471040,1248,8,2,0.2,-0.09393458813428879,910,-0.8918890914320946,-0.03845272246049717,0.0003,0.25669921875,0.21550977230072021,0.09232200929895043,0.024091989
476160,1174,13,3,0.2,-0.08662658929824829,920,-0.9035915565490723,-0.036446698433719574,0.0003,0.24162109375,0.30062711238861084,0.09078447793610395,0.02403781
481280,1143,17,4,0.2,-0.09263542294502258,930,-0.9202516722679138,-0.042029485749080775,0.0003,0.24283203125,0.2646917700767517,0.06922421847470105,0.024927884
486400,1105,23,5,0.2,-0.07510607689619064,940,-0.9275276878476143,-0.038431794443167744,0.0003,0.23947265625,0.37807178497314453,0.08095955478958786,0.02509598
491520,1105,27,6,0.2,-0.08340480923652649,950,-0.9175098633766174,-0.04074852786492556,0.0003,0.245625,0.3079756498336792,0.09507325697690248,0.024644297
496640,1100,32,7,0.2,-0.08819708228111267,960,-0.901107389330864,-0.04166780933737755,0.0003,0.2538671875,0.2496354579925537,0.0817726191598922,0.024512192
501760,1078,37,8,0.2,-0.09132109582424164,970,-0.9392016658186912,-0.040819133589975534,0.0003,0.2307421875,0.1503373384475708,0.09006105899810792,0.023064122
506880,1065,43,9,0.2,-0.10183677077293396,980,-0.9369804495573044,-0.039950796004850415,0.0003,0.2538671875,0.25194263458251953,0.08542898994870483,0.025410542
512000,1033,49,10,0.2,-0.07690426707267761,990,-0.9209982886910438,-0.03728565115481615,0.0003,0.22671875,0.1918511986732483,0.09304276112467051,0.022054795
517120,1738,2,1,0.2,-0.08539743721485138,1000,-0.9158039972186088,-0.03809460461139679,0.0003,0.24494140625,0.168357253074646,0.08743795281276107,0.026532346
522240,1203,8,2,0.2,-0.08454733341932297,1010,-0.9048216816782951,-0.04093851631972939,0.0003,0.23486328125,0.18987804651260376,0.07679417479783296,0.024992405
527360,1115,13,3,0.2,-0.1037030965089798,1020,-0.8933083853125572,-0.0404967907210812,0.0003,0.247109375,0.14834833145141602,0.07870227001607417,0.027463343
532480,1075,19,4,0.2,-0.09300858527421951,1030,-0.9229612994194031,-0.03759407915174961,0.0003,0.25701171875,0.2909296154975891,0.07286419740878046,0.027366322
537600,1059,24,5,0.2,-0.11300574988126755,1040,-0.9096767944097519,-0.044817510191351176,0.0003,0.25591796875,0.23468393087387085,0.07386561401188374,0.027789703
542720,1055,29,6,0.2,-0.10448048263788223,1050,-0.9154697179794311,-0.03832601421047002,0.0003,0.26064453125,0.23112887144088745,0.089148955270648,0.027746445
547840,1061,33,7,0.2,-0.08556105196475983,1060,-0.9233830967545509,-0.041081955700647085,0.0003,0.25666015625,0.2913651466369629,0.07668399984948338,0.027666891
552960,1062,38,8,0.2,-0.09562772512435913,1070,-0.9231174328923225,-0.0405989480484277,0.0003,0.271015625,0.3052910566329956,0.06667508453130722,0.026946139
558080,1067,43,9,0.2,-0.08259701728820801,1080,-0.9103846955299377,-0.03843393787276,0.0003,0.247734375,0.2482055425643921,0.09620705738663674,0.027334888
563200,1075,47,10,0.2,-0.10188142210245132,1090,-0.885384301841259,-0.042836610830854625,0.0003,0.26181640625,0.2111019492149353,0.07834124713204801,0.029494721
568320,2065,2,1,0.2,-0.09752985835075378,1100,-0.9140442907810211,-0.04362227478530258,0.0003,0.26568359375,0.24152541160583496,0.06498670022934676,0.028625097
573440,1439,7,2,0.2,-0.09112696349620819,1110,-0.8923025918006897,-0.04249920966103673,0.0003,0.27154296875,-0.0070351362228393555,0.068133252421394,0.02906982
578560,1308,11,3,0.2,-0.08424869179725647,1120,-0.9121158650517464,-0.044040902573615315,0.0003,0.2558203125,0.096255362033844,0.0781584363989532,0.026124123
583680,1253,16,4,0.2,-0.09167397767305374,1130,-0.9038369426131249,-0.041958370581269264,0.0003,0.27767578125,0.32228660583496094,0.06018267765641212,0.028354421
588800,1231,20,5,0.2,-0.09763814508914948,1140,-0.9006937059760094,-0.0459455507225357,0.0003,0.26140625,0.04523301124572754,0.08509310876950621,0.028641915
593920,1203,25,6,0.2,-0.09083809703588486,1150,-0.9146870219707489,-0.040403824276290835,0.0003,0.2553515625,-0.011337995529174805,0.0763138520438224,0.02925213
599040,1192,30,7,0.2,-0.11475130915641785,1160,-0.9120898509025573,-0.048252697987481954,0.0003,0.27185546875,0.17776328325271606,0.06500250563956797,0.029187432
604160,1187,34,8,0.2,-0.09519785642623901,1170,-0.8919184410572052,-0.04722722763661295,0.0003,0.29056640625,0.0651276707649231,0.06308344503864646,0.030531421
609280,1184,38,9,0.2,-0.08556665480136871,1180,-0.8832649469375611,-0.042920385100878776,0.0003,0.2586328125,0.20903998613357544,0.06613358965143562,0.02803119
614400,1183,43,10,0.2,-0.10628439486026764,1190,-0.8901053473353386,-0.04617314925417304,0.0003,0.27634765625,0.27296680212020874,0.05821661490947008,0.032764863
619520,2087,2,1,0.2,-0.09785480052232742,1200,-0.8827847465872765,-0.04343554806895554,0.0003,0.2844140625,0.3492130637168884,0.06658906319178641,0.03510145
624640,1433,7,2,0.2,-0.10028958320617676,1210,-0.887854996919632,-0.04602460083551705,0.0003,0.270390625,0.31555408239364624,0.061920233462005855,0.029654583
629760,1305,11,3,0.2,-0.11214064806699753,1220,-0.9017934113740921,-0.0450447504222393,0.0003,0.26875,0.1718931794166565,0.06607935009524227,0.029867494
634880,1254,16,4,0.2,-0.10217560082674026,1230,-0.8893485310673713,-0.0484673452982679,0.0003,0.271484375,0.21913063526153564,0.06804774392396212,0.031080931
640000,1228,20,5,0.2,-0.11128298193216324,1240,-0.8950846615433693,-0.04836320080794394,0.0003,0.27919921875,0.31113845109939575,0.06520149844698608,0.030744445
645120,1215,25,6,0.2,-0.07510139793157578,1250,-0.8706055778264999,-0.04494485092815012,0.0003,0.28123046875,0.3247114419937134,0.07604613329283894,0.03219838
650240,1202,29,7,0.2,-0.08457241207361221,1260,-0.8762052044272423,-0.042483421319629996,0.0003,0.27166015625,0.19618606567382812,0.06653905470855534,0.027631143
655360,1195,34,8,0.2,-0.0951935201883316,1270,-0.8878861230611801,-0.04385843208990991,0.0003,0.28259765625,0.13117629289627075,0.07080235627479851,0.030893996
660480,1188,38,9,0.2,-0.09491895884275436,1280,-0.8951911586523056,-0.04416700585745275,0.0003,0.30494140625,0.362385094165802,0.07330705559812487,0.034417726
665600,1185,43,10,0.2,-0.09416423738002777,1290,-0.8902702805399895,-0.04699939843267202,0.0003,0.2949609375,0.22008317708969116,0.07832588363438844,0.031005418
670720,2047,2,1,0.2,-0.10035958141088486,1300,-0.9077291885018348,-0.048082267050631344,0.0003,0.2928515625,0.10154235363006592,0.072539337631315,0.03467498
675840,1428,7,2,0.2,-0.09714353084564209,1310,-0.8918649715185165,-0.04513115373440087,0.0003,0.2884375,-0.006879091262817383,0.06404614268802106,0.03272918
680960,1314,11,3,0.2,-0.1008128896355629,1320,-0.9041796576976776,-0.04778255674056709,0.0003,0.28876953125,0.1671794056892395,0.06765742714516819,0.032497533
686080,1265,16,4,0.2,-0.09994065016508102,1330,-0.8939757347106934,-0.041922963676042854,0.0003,0.27978515625,0.14780408143997192,0.07383216425776482,0.030895924
691200,1229,20,5,0.2,-0.09873169660568237,1340,-0.9062133997678756,-0.0478266119887121,0.0003,0.2780078125,0.09840720891952515,0.0730635869782418,0.033372678
696320,1214,25,6,0.2,-0.08339159935712814,1350,-0.885473194718361,-0.04504600094165653,0.0003,0.281796875,0.23199278116226196,0.07866446654312313,0.0312639
701440,1206,29,7,0.2,-0.09876096248626709,1360,-0.8966158625483512,-0.046495935241691766,0.0003,0.2914453125,0.1607356071472168,0.08067132463678718,0.03227883
706560,1200,34,8,0.2,-0.09057962894439697,1370,-0.9080791079998016,-0.04534709204919636,0.0003,0.28044921875,0.20270687341690063,0.07003608657047153,0.030833308
711680,1191,38,9,0.2,-0.1071406751871109,1380,-0.8930174225568771,-0.0489496999187395,0.0003,0.30107421875,0.26089417934417725,0.06793652476742863,0.0327129
716800,1185,43,10,0.2,-0.10226668417453766,1390,-0.8954683670401573,-0.0494058087002486,0.0003,0.28486328125,0.06347346305847168,0.07035233282484114,0.03180921
721920,2136,2,1,0.2,-0.09347054362297058,1400,-0.8961869505047798,-0.04844550450099632,0.0003,0.3001171875,0.14874035120010376,0.07006683557294309,0.03398524
727040,1444,7,2,0.2,-0.09951567649841309,1410,-0.8854948750138283,-0.05359288483392447,0.0003,0.3090234375,0.2196454405784607,0.0632977641839534,0.033710916
732160,1313,11,3,0.2,-0.09039106220006943,1420,-0.883318612575531,-0.04637977940728888,0.0003,0.28712890625,0.21316301822662354,0.0697556066326797,0.033646714
737280,1261,16,4,0.2,-0.10094857960939407,1430,-0.8906766051054,-0.04531492695212364,0.0003,0.30783203125,0.4117746353149414,0.05618113855831325,0.03740672
742400,1225,20,5,0.2,-0.09249673783779144,1440,-0.8980236527323723,-0.045458057220093905,0.0003,0.29234375,0.337099552154541,0.07293213137425482,0.034336694
747520,1207,25,6,0.2,-0.09029233455657959,1450,-0.8827362483739853,-0.04548469565110281,0.0003,0.31498046875,0.11274224519729614,0.077695375373587,0.034328543
752640,1198,29,7,0.2,-0.09808941185474396,1460,-0.8874373281002045,-0.048627910325303676,0.0003,0.3053125,0.2925441265106201,0.06925847669132054,0.034926463
757760,1187,34,8,0.2,-0.10848139226436615,1470,-0.8934671911597252,-0.050442028399556874,0.0003,0.29708984375,0.13697630167007446,0.06786172838881611,0.034615092
762880,1181,38,9,0.2,-0.08629864454269409,1480,-0.8982183972001075,-0.04813138669123873,0.0003,0.30009765625,0.16618460416793823,0.0853972920589149,0.038049206
768000,1175,43,10,0.2,-0.10533201694488525,1490,-0.8720159873366355,-0.04648699968121946,0.0003,0.30095703125,0.1334361433982849,0.09169378131628036,0.039843436
773120,2098,2,1,0.2,-0.10561076551675797,1500,-0.8847443729639053,-0.04863172515761107,0.0003,0.31158203125,0.19814825057983398,0.07284316517412663,0.037907455
778240,1435,7,2,0.2,-0.08292362093925476,1510,-0.8722666189074516,-0.050051545491442084,0.0003,0.31443359375,0.24833589792251587,0.08136216637678445,0.037308954
783360,1325,11,3,0.2,-0.09894848614931107,1520,-0.8914794778823852,-0.04721022605895996,0.0003,0.3142578125,0.1401650309562683,0.08219133391976356,0.039971203
788480,1279,16,4,0.2,-0.10766317695379257,1530,-0.880666127204895,-0.044903268220368775,0.0003,0.2909765625,0.2631034851074219,0.07058099748566747,0.037814148
793600,1243,20,5,0.2,-0.0953316017985344,1540,-0.8851836672425271,-0.04340536506846547,0.0003,0.302578125,0.28771865367889404,0.07310808810405434,0.040070288
798720,1215,25,6,0.2,-0.10141962766647339,1550,-0.9105375134944915,-0.04639652553480118,0.0003,0.30294921875,0.268060564994812,0.07038320362567901,0.03638395
803840,1184,30,7,0.2,-0.09032900631427765,1560,-0.8775543132424355,-0.04925646293442696,0.0003,0.319296875,0.15340077877044678,0.080620095198974,0.041489877
808960,1166,35,8,0.2,-0.11656773835420609,1570,-0.8863553559780121,-0.04440251335501671,0.0003,0.30697265625,0.20595389604568481,0.06738141601905227,0.035499472
814080,1159,39,9,0.2,-0.1190401017665863,1580,-0.8864009451866149,-0.04965524417115375,0.0003,0.30375,0.18074911832809448,0.0689046370703727,0.036503
819200,1154,44,10,0.2,-0.1162780150771141,1590,-0.8991256362199783,-0.05038034467957914,0.0003,0.31568359375,0.32129162549972534,0.058811623826622965,0.039373748
824320,2093,2,1,0.2,-0.105754554271698,1600,-0.8971978917717933,-0.050356501005589964,0.0003,0.31443359375,0.19021457433700562,0.06714367064647377,0.039641615
829440,1451,7,2,0.2,-0.1076749861240387,1610,-0.9078354927897453,-0.04757061649579555,0.0003,0.31828125,0.18257373571395874,0.06229496464133263,0.038177125
834560,1326,11,3,0.2,-0.1102583184838295,1620,-0.8854743039608002,-0.0530376394931227,0.0003,0.319609375,0.2459990382194519,0.061055958662182094,0.04267157
839680,1271,16,4,0.2,-0.11427591741085052,1630,-0.8959240439534187,-0.04733476992696524,0.0003,0.3150390625,-0.003732442855834961,0.07195370891131461,0.043341625
844800,1239,20,5,0.2,-0.11483429372310638,1640,-0.8912374877929687,-0.05007949067046866,0.0003,0.31798828125,0.25554609298706055,0.06202409015037119,0.04142251
849920,1218,25,6,0.2,-0.10476268827915192,1650,-0.8823691156506538,-0.04917506760917604,0.0003,0.3017578125,0.10209053754806519,0.075938820540905,0.038517706
855040,1209,29,7,0.2,-0.09190411865711212,1660,-0.8855202308297158,-0.04670174404513091,0.0003,0.30736328125,0.3615139126777649,0.06684921213425696,0.039218545
860160,1201,34,8,0.2,-0.1098017543554306,1670,-0.9042611089348793,-0.052220604370813814,0.0003,0.3065625,0.21778804063796997,0.059669384798035026,0.03996342
865280,1194,38,9,0.2,-0.10499492287635803,1680,-0.8772733622789383,-0.047695159292779864,0.0003,0.30662109375,0.2500351667404175,0.07332886228337884,0.035682373
