time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/clip_range,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction
38,1210,97280,9,0.2,0.02359975501894951,0.016876012,0.19385087490081787,0.0003,180,-0.5630454599857331,-0.01292525431723334,0.11237950395792723,0.15384765625
42,1207,102400,10,0.2,0.03092334233224392,0.02054857,0.24393606185913086,0.0003,190,-0.533405383527279,-0.010247288749087601,0.13700855799019337,0.15505859375
2,2136,107520,1,0.2,0.023309219628572464,0.020604795,0.18256908655166626,0.0003,200,-0.49235092669725417,-0.014095461394172162,0.10240912318229675,0.16255859375
7,1462,112640,2,0.2,0.039729826152324677,0.023296487,0.2955669164657593,0.0003,210,-0.4843231450021267,-0.011963337473571301,0.11755163665860892,0.15033203125
11,1353,117760,3,0.2,0.0021308399736881256,0.01771013,0.31786292791366577,0.0003,220,-0.431815700083971,-0.011884591551497578,0.11008545614778996,0.14046875
15,1299,122880,4,0.2,0.01868569105863571,0.012362903,0.284466028213501,0.0003,230,-0.41123382553458215,-0.006115366492886096,0.09695743171498179,0.1288671875
20,1276,128000,5,0.2,0.03480285406112671,0.017363407,0.2922336459159851,0.0003,240,-0.4367518347501755,-0.010005031682085245,0.12085965648293495,0.1498046875
24,1259,133120,6,0.2,0.025913814082741737,0.013328152,0.41571730375289917,0.0003,250,-0.4109234449267387,-0.010501243351027369,0.11082121375948191,0.13435546875
28,1247,138240,7,0.2,0.07102832198143005,0.02800185,0.46903032064437866,0.0003,260,-0.3897917264699936,-0.01133917153463699,0.12860447723418475,0.1321484375
33,1238,143360,8,0.2,0.028346583247184753,0.013681893,0.5718188881874084,0.0003,270,-0.4051382526755333,-0.006891824731137603,0.13915958303958179,0.1366015625
37,1229,148480,9,0.2,0.04226606339216232,0.014725025,0.5520815849304199,0.0003,280,-0.3868947741389275,-0.006299725344870239,0.1367743230983615,0.12072265625
41,1221,153600,10,0.2,0.023466305807232857,0.017304089,0.760202169418335,0.0003,290,-0.36585218369960787,-0.009628219828009606,0.085534223690629,0.11955078125
2,2112,158720,1,0.2,0.030138427391648293,0.016909543,0.45079636573791504,0.0003,300,-0.3515844114124775,-0.010091984735336155,0.09763727258890867,0.12048828125
6,1472,163840,2,0.2,0.01814115047454834,0.014846668,0.3483738899230957,0.0003,310,-0.3514742936193943,-0.014246388766914607,0.12621898006647825,0.12388671875
11,1355,168960,3,0.2,0.020726408809423447,0.015932888,0.2835574746131897,0.0003,320,-0.38580022886395454,-0.01416683977469802,0.09079419910907745,0.12908203125
15,1295,174080,4,0.2,-0.004631448537111282,0.016779523,0.2895244359970093,0.0003,330,-0.33579238563776015,-0.01043230933137238,0.07843631541356444,0.12234375
20,1266,179200,5,0.2,0.005678482353687286,0.0158521,0.5389343500137329,0.0003,340,-0.363263963162899,-0.013308876121882349,0.0940123444609344,0.1276953125
24,1249,184320,6,0.2,0.006174961104989052,0.016012246,0.6099931001663208,0.0003,350,-0.34979362547397613,-0.012170911084394902,0.09939395088702441,0.1240234375
29,1233,189440,7,0.2,0.020638717338442802,0.015810594,0.7574818134307861,0.0003,360,-0.33424140587449075,-0.01146110042463988,0.11876032881438732,0.11015625
33,1222,194560,8,0.2,0.011775195598602295,0.009796485,0.8229991793632507,0.0003,370,-0.3189016006886959,-0.011896705469116569,0.13200421612709762,0.093046875
37,1214,199680,9,0.2,-0.005490247160196304,0.016057575,0.849543571472168,0.0003,380,-0.29087301895022394,-0.01185458303662017,0.0729041075333953,0.09732421875
42,1201,204800,10,0.2,-0.011254996061325073,0.023143785,0.43406790494918823,0.0003,390,-0.2691912862658501,-0.0067048744205385445,0.050111810658127066,0.11228515625
2,1996,209920,1,0.2,0.03773738816380501,0.018758211,0.4240429401397705,0.0003,400,-0.2802851153165102,-0.012715562689118087,0.15121935464441777,0.0984765625
7,1445,215040,2,0.2,0.03755848854780197,0.01850045,0.4328193664550781,0.0003,410,-0.2895484109222889,-0.013934837682172655,0.10103370180353523,0.10529296875
11,1339,220160,3,0.2,0.013561071828007698,0.023019549,0.43948620557785034,0.0003,420,-0.29876382790505884,-0.011269741840660572,0.08215874187648296,0.1102734375
15,1284,225280,4,0.2,0.03496353328227997,0.012825434,0.36277806758880615,0.0003,430,-0.32845603555440905,-0.011280236380407586,0.09796548144891858,0.1075390625
20,1249,230400,5,0.2,0.015944406390190125,0.020503588,0.4139372706413269,0.0003,440,-0.3262339875102043,-0.01459164708852768,0.13476636044681073,0.1108984375
25,1216,235520,6,0.2,-0.00270957313477993,0.027053729,-0.01864492893218994,0.0003,450,-0.3521381078660488,-0.014011616979259997,0.0634687051270157,0.13294921875
29,1197,240640,7,0.2,-0.007458532229065895,0.031166043,0.4294954538345337,0.0003,460,-0.41088243797421453,-0.015371339595876634,0.08077458525076509,0.16544921875
34,1193,245760,8,0.2,-0.014985533431172371,0.016392887,0.4325495958328247,0.0003,470,-0.4175190018117428,-0.018211097358725965,0.07114017866551876,0.149140625
38,1192,250880,9,0.2,0.0015383120626211166,0.022902248,0.38902032375335693,0.0003,480,-0.3984751905500889,-0.019180653737857937,0.07654724968597293,0.1418359375
43,1187,256000,10,0.2,-0.003010086715221405,0.021242294,0.5387873649597168,0.0003,490,-0.39392354488372805,-0.017090046426746993,0.07973060068674385,0.13890625
2,1963,261120,1,0.2,-0.006707828491926193,0.01687501,0.5451788902282715,0.0003,500,-0.38978442445397377,-0.011056695310398936,0.10843629406765104,0.1246875
7,1329,266240,2,0.2,0.02160058729350567,0.020694874,0.4016953706741333,0.0003,510,-0.39098301112651823,-0.008399393174331636,0.07273583870381117,0.13109375
12,1242,271360,3,0.2,0.01775960437953472,0.02036059,0.3079017996788025,0.0003,520,-0.42238227859139443,-0.011872222921811044,0.059738166276365516,0.14078125
17,1200,276480,4,0.2,-0.01753208599984646,0.017672027,0.3926674723625183,0.0003,530,-0.4305275371670723,-0.014850275097414852,0.05447312314994633,0.13626953125
21,1176,281600,5,0.2,-0.0041080135852098465,0.025696019,0.06622344255447388,0.0003,540,-0.4221566542983055,-0.013216601938474924,0.04433533401228487,0.1433984375
26,1145,286720,6,0.2,0.005415258929133415,0.022638407,0.5638278126716614,0.0003,550,-0.39117746651172636,-0.015497162016108632,0.0596749777905643,0.1571484375
31,1125,291840,7,0.2,-0.014193408191204071,0.020196766,0.31752103567123413,0.0003,560,-0.37336842954158783,-0.012076591954100878,0.047970330091193315,0.1312109375
36,1107,296960,8,0.2,0.007238522171974182,0.017890185,0.3182973265647888,0.0003,570,-0.37741781130433083,-0.012174194327089936,0.07540221812203526,0.12703125
42,1090,302080,9,0.2,0.008180730044841766,0.019120654,0.35241687297821045,0.0003,580,-0.40619469627738,-0.014746821308508516,0.13497879087924958,0.13642578125
47,1081,307200,10,0.2,-0.010032790713012218,0.022890858,0.0455092191696167,0.0003,590,-0.37406593054533005,-0.012046757054049522,0.03696237697731704,0.14716796875
2,1757,312320,1,0.2,-0.012100938707590103,0.019370228,0.3659663796424866,0.0003,600,-0.41792352244257924,-0.00980399334570393,0.05380891939625144,0.13228515625
8,1256,317440,2,0.2,0.0058699920773506165,0.019637126,0.45662444829940796,0.0003,610,-0.4420404294133186,-0.01705373609205708,0.09875694910064339,0.15181640625
13,1155,322560,3,0.2,-0.00406806543469429,0.017334674,0.6125404834747314,0.0003,620,-0.423229950517416,-0.01328782619908452,0.09971399266272783,0.126171875
