cbp/utility_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,cbp/target_count,rollout/ep_rew_mean,cbp/total_replacements,cbp/last_replacements,time/fps,cbp/rollout_replacements,time/time_elapsed,train/approx_kl,train/clip_fraction,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate,train/clip_range,train/loss,curriculum/preferred_eval_mode,curriculum/stage,curriculum/obs_quantity,train/stage_learning_rate,curriculum/grid_size,train/ent_coef,curriculum/max_steps,curriculum/stage_timesteps,plasticity/weight_max_abs,plasticity/effective_rank_99_mean,plasticity/weight_rms,plasticity/total_weight_units,plasticity/effective_rank_99_normalized_mean,plasticity/low_weight_units,plasticity/weight_abs_mean,plasticity/low_weight_unit_ratio,eval/deterministic,eval/std_reward,eval/std_ep_length,eval/mean_reward,eval/stage,eval/stage_timesteps,eval/full_coverage_rate,eval/mean_ep_length,eval/promotion_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/stochastic_quality_passed,eval/mode_gap,eval/coverage_promotion_passed,eval/promotion_passed,eval/quality_promotion_passed,eval/promotion_max_mean_length,eval/deterministic_full_coverage_rate,eval/deterministic_quality_passed,eval/deterministic_promotion_floor,eval/stochastic_full_coverage_rate,eval/promotion_min_mean_reward
0.24921270770331225,163.12,81920,2,6,-5.404289722442627,18,0,223,0,45,0.001054588,0.1626953125,0.8622132850287016,-1.3031484741717576,-0.0018132972923922352,120,0.2675313949584961,7e-05,0.08,1.0730483531951904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24838198100527129,159.97,87040,3,6,-5.030335903167725,24,6,187,6,82,0.0019350912,0.154296875,0.6437374446046306,-1.2973189987242222,-0.0034689405758399515,128,0.3596254587173462,7e-05,0.08,0.01793874055147171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24838198100527129,161.94,92160,4,6,-5.345767974853516,24,0,166,0,123,0.0026129559,0.1591552734375,0.7922118746500928,-1.2833397898823022,-0.001931386618525721,136,0.3440556526184082,7e-05,0.08,0.050794653594493866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24838198100527129,152.56,97280,5,6,-5.077136993408203,24,0,155,0,164,0.0030458693,0.242578125,0.6317837238777428,-1.2798590432852506,0.0007930596548249014,144,0.36156612634658813,7e-05,0.08,0.02218685671687126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24838198100527129,,,,6,,24,0,,,,0.0014623528,0.1767578125,1.0876282537530642,-1.2639645840972662,-0.002416004463157151,152,0.2731426954269409,7e-05,0.08,0.05514299124479294,,,,,,,,,1.0138996839523315,139.66666666666666,0.0325270025217544,1925,0.9763454861111112,0,0.018034644799974183,0.0,,,,,,,,,,,,,,,,,,,,,
0.24838198100527129,147.66,102400,1,6,-4.808525085449219,24,0,2556,0,2,,,,,,,,,,,0,1,3,7e-05,5,0.004248,200,76800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2651249517997106,146.58,107520,2,6,-4.3232197761535645,30,6,238,6,42,0.001757244,0.1537109375,1.2514642112626462,-1.2538931015878916,-0.0026987298362655563,160,0.34108495712280273,7e-05,0.08,0.01684979721903801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2651249517997106,149.86,112640,3,6,-4.535394668579102,30,0,195,0,78,0.001550319,0.128466796875,1.125487297703512,-1.2558617793023585,-0.0019562504603527486,168,0.4271194338798523,7e-05,0.08,0.8022705316543579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2651249517997106,150.4,117760,4,6,-3.768831729888916,30,0,175,0,116,0.002117456,0.185693359375,1.0179012289445382,-1.2517649065703154,-0.0006776042995625175,176,0.4401639699935913,7e-05,0.08,0.015677500516176224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2651249517997106,150.66,122880,5,6,-3.344505548477173,30,0,164,0,156,0.0015158575,0.1535400390625,0.98295714520209,-1.2409246388822794,-0.002712685422739014,184,0.35049474239349365,7e-05,0.08,1.9150985479354858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
