time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/loss,train/clip_range,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/value_loss
1,1775,2,5120,,,,,,,,,,
2,1263,8,10240,-1.0867293214797973,-0.03493309020996094,0.0076364903,0.0150390625,1.4818954467773438,0.2,10,0.0001,-0.003821363183669746,3.112155137658119
3,1157,13,15360,-1.0420251390337945,-0.04384744167327881,0.0076911664,0.0590234375,0.8213986158370972,0.2,20,0.0001,-0.006223251754418016,1.7095433381199836
4,1113,18,20480,-1.0328031376004219,0.11104565858840942,0.008039073,0.05224609375,0.7841230630874634,0.2,30,0.0001,-0.007788795602973551,2.1008938330411913
5,1091,23,25600,-1.0023243749141693,0.08177691698074341,0.0102500925,0.085625,0.8123204708099365,0.2,40,0.0001,-0.010775042790919542,2.045050269961357
6,1078,28,30720,-0.9503161430358886,0.08870023488998413,0.0070469477,0.05880859375,0.9196970462799072,0.2,50,0.0001,-0.008086336725391448,1.8807367122173309
7,1067,33,35840,-0.918085275888443,0.13066238164901733,0.008193569,0.067890625,0.8999179601669312,0.2,60,0.0001,-0.008557513465639204,1.8832810473442079
8,1057,38,40960,-0.9058870160579682,0.08953386545181274,0.006586496,0.06166015625,0.5554713010787964,0.2,70,0.0001,-0.004830849352292717,1.3221412855386734
9,1051,43,46080,-0.8784471014142037,0.12621569633483887,0.0074904026,0.06724609375,0.5936114192008972,0.2,80,0.0001,-0.008489628296811134,1.1938703137636184
10,1046,48,51200,-0.8463865008950233,0.30914944410324097,0.0074105873,0.095078125,0.5606325268745422,0.2,90,0.0001,-0.008856336254393683,0.9595058193802833
1,2425,2,56320,-0.8109684211015701,0.45557767152786255,0.0087718805,0.101171875,0.2877866327762604,0.2,100,0.0001,-0.010368215697817505,0.7495890697836876
2,1415,7,61440,-0.8265219041705132,0.6630321741104126,0.009180841,0.0862890625,0.21840551495552063,0.2,110,0.0001,-0.007897414818871766,0.504459285736084
3,1265,12,66560,-0.7669438713788986,0.6561778783798218,0.0065200827,0.07544921875,0.2598975598812103,0.2,120,0.0001,-0.006375902907457202,0.6102853827178478
4,1204,16,71680,-0.7922826340794563,0.7509883046150208,0.006818378,0.089765625,0.2793516516685486,0.2,130,0.0001,-0.006469063935801387,0.7243326160311699
