time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_range,train/entropy_loss,train/explained_variance,train/loss,train/value_loss,train/clip_fraction
34,240640,1043,7,460,-0.004474764240439981,0.00822911,0.0001,0.2,-0.30324256509542463,0.6569468975067139,0.10111596435308456,0.25420451201498506,0.0807421875
39,245760,1035,8,470,-0.0031145710160490124,0.007579325,0.0001,0.2,-0.2721395955234766,0.7331703901290894,0.13405634462833405,0.3202442255616188,0.06666015625
44,250880,1031,9,480,-0.0030836410680785773,0.0069577172,0.0001,0.2,-0.22146531425416469,0.6070967316627502,0.11309877783060074,0.24277275919914246,0.058671875
49,256000,1031,10,490,-0.003035703273490071,0.0070720785,0.0001,0.2,-0.24298045165836812,0.6846798658370972,0.16246676445007324,0.3032825902849436,0.0592578125
3,261120,1699,1,500,-0.003180817156098783,0.006034153,0.0001,0.2,-0.22334187306463718,0.6024525165557861,0.20316030085086823,0.3779054144024849,0.0626953125
8,266240,1195,2,510,-0.0038419733429327606,0.0053689787,0.0001,0.2,-0.22305453225970268,0.7327473163604736,0.16905058920383453,0.34338411934673785,0.05505859375
13,271360,1105,3,520,-0.005303183235228061,0.0064610145,0.0001,0.2,-0.20064106665551662,0.425182044506073,0.13763931393623352,0.3508898508548737,0.053359375
19,276480,1074,4,530,-0.003629802537616342,0.007671802,0.0001,0.2,-0.24254430696368218,0.6095231771469116,0.12037958204746246,0.27637118779122827,0.07421875
24,281600,1050,5,540,-0.0039007974090054633,0.00928866,0.0001,0.2,-0.19167108722031118,0.5311135053634644,0.08940868824720383,0.27072234205901624,0.0605859375
29,286720,1041,6,550,-0.003144194856286049,0.0073832944,0.0001,0.2,-0.2076872292906046,0.5970861911773682,0.1334352195262909,0.2890805965662003,0.06091796875
34,291840,1034,7,560,-0.003931883755140007,0.008879266,0.0001,0.2,-0.2216352041810751,0.6995771527290344,0.08759364485740662,0.1891174541041255,0.07119140625
39,296960,1025,8,570,-0.004347265588585288,0.0078886505,0.0001,0.2,-0.20214870743453503,0.6387383937835693,0.13760213553905487,0.24404462903738022,0.06166015625
45,302080,1020,9,580,-0.0025018129497766496,0.006778895,0.0001,0.2,-0.22521757408976556,0.7874547243118286,0.1051492840051651,0.24208855792880057,0.0578515625
50,307200,1014,10,590,-0.0035218288470059635,0.010893903,0.0001,0.2,-0.2153067710250616,0.8123820424079895,0.10217083245515823,0.2251733084768057,0.05720703125
3,312320,1695,1,600,-0.0032019078568555413,0.0072879205,0.0001,0.2,-0.24088150829076768,0.7740052938461304,0.14480754733085632,0.33161875113844874,0.05349609375
8,317440,1197,2,610,-0.0022618914465419946,0.0077226115,0.0001,0.2,-0.2571556393057108,0.8277617692947388,0.13431163132190704,0.30728048786520956,0.06302734375
13,322560,1109,3,620,-0.003612334269564599,0.0050840005,0.0001,0.2,-0.2573730546236038,0.8588574528694153,0.11144135892391205,0.30488262467086313,0.0483203125
19,327680,1076,4,630,-0.004725780996959656,0.006915403,0.0001,0.2,-0.28232305601239205,0.8561814427375793,0.1865684539079666,0.3335673005878925,0.0691796875
24,332800,1053,5,640,-0.00479854236356914,0.006335481,0.0001,0.2,-0.2839864153414965,0.8329261541366577,0.21472829580307007,0.4141542863845825,0.0610546875
29,337920,1045,6,650,-0.004492018953897059,0.004997803,0.0001,0.2,-0.230913115888834,0.75336754322052,0.29108354449272156,0.50068821772933,0.05171875
34,343040,1031,7,660,-0.0046344288322143256,0.005583583,0.0001,0.2,-0.29717437863349916,0.7653951644897461,0.22743259370326996,0.5721421293914318,0.07296875
40,348160,1022,8,670,-0.004483000210020691,0.008035505,0.0001,0.2,-0.28345452979207036,0.7197345495223999,0.2663503587245941,0.5675641961395741,0.06609375
45,353280,1017,9,680,-0.003446356861386448,0.0072950744,0.0001,0.2,-0.19384140320122242,0.4848170876502991,0.16292615234851837,0.44420107260346414,0.05896484375
50,358400,1011,10,690,-0.004445195663720369,0.008654339,0.0001,0.2,-0.2575165694206953,0.5728366374969482,0.1863759309053421,0.4205308662354946,0.06544921875
3,363520,1665,1,700,-0.003949512732215226,0.010221006,0.0001,0.2,-0.22681357800960542,0.6114029884338379,0.14445637166500092,0.3178104366362095,0.07458984375
8,368640,1188,2,710,-0.003524378347210586,0.0062799416,0.0001,0.2,-0.19962964534759522,0.5825883150100708,0.16962458193302155,0.3341140032559633,0.05603515625
13,373760,1105,3,720,-0.0051097401441074905,0.00934177,0.0001,0.2,-0.2563112559914589,0.6617177724838257,0.11266668140888214,0.2627251326292753,0.07564453125
19,378880,1061,4,730,-0.00449490315746516,0.008567222,0.0001,0.2,-0.2519199279695749,0.7513238191604614,0.11356643587350845,0.2501321230828762,0.0703125
24,384000,1033,5,740,-0.00568135037785396,0.010822298,0.0001,0.2,-0.21206904895603657,0.7383266687393188,0.058847032487392426,0.24466717340052127,0.07439453125
30,389120,1017,6,750,-0.0059298680885694925,0.0067651183,0.0001,0.2,-0.21829384557902812,0.6885217428207397,0.14618264138698578,0.34831759065389634,0.06107421875
35,394240,1011,7,760,-0.002671235434245318,0.006805455,0.0001,0.2,-0.21986599408090116,0.7796829342842102,0.1297207772731781,0.297365495711565,0.066328125
40,399360,1006,8,770,-0.004673338499851525,0.008898161,0.0001,0.2,-0.19477744661271573,0.8071937561035156,0.1188083216547966,0.2489221929013729,0.06705078125
45,404480,1007,9,780,-0.0060540801170282064,0.011103561,0.0001,0.2,-0.21630350433290005,0.7449177503585815,0.12538546323776245,0.3148769260942936,0.06955078125
50,409600,1006,10,790,-0.0025574440346099437,0.0055066473,0.0001,0.2,-0.22626678124070168,0.6897929310798645,0.17613503336906433,0.4048804770410061,0.05498046875
4,414720,1260,1,800,-0.0038916060677729545,0.009035938,0.0001,0.2,-0.20265379235148429,0.7775058746337891,0.12737372517585754,0.2626671453565359,0.06517578125
9,419840,1076,2,810,-0.004900690577924252,0.013482717,0.0001,0.2,-0.38207103848457336,0.7540732026100159,0.1250198483467102,0.29264807991683484,0.09962890625
14,424960,1033,3,820,-0.0027018825989216567,0.01456209,0.0001,0.2,-0.4344729387760162,0.8246443867683411,0.09704819321632385,0.2158155692368746,0.1216015625
20,430080,1019,4,830,-0.0026857587904669344,0.010635051,0.0001,0.2,-0.4219945901632309,0.7865233421325684,0.1282653510570526,0.24254878513514996,0.09990234375
25,435200,1006,5,840,-0.003977622520178557,0.012651409,0.0001,0.2,-0.42270400136709213,0.7512069344520569,0.0991990715265274,0.21775135058909656,0.1184765625
30,440320,998,6,850,-0.005148223428986967,0.009728121,0.0001,0.2,-0.39786400720477105,0.6251605749130249,0.15075676143169403,0.3320581769198179,0.0951953125
36,445440,991,7,860,-0.004996976614929736,0.010009521,0.0001,0.2,-0.43722509175539015,0.5639211535453796,0.11689069122076035,0.33618098326027396,0.1112890625
41,450560,987,8,870,-0.005301759745925665,0.010625995,0.0001,0.2,-0.44376065403223036,0.6129594445228577,0.1276438683271408,0.29264847371727226,0.102734375
46,455680,982,9,880,-0.00394342434941791,0.012148842,0.0001,0.2,-0.4098160070180893,0.32261550426483154,0.20815066993236542,0.469451295286417,0.09501953125
52,460800,980,10,890,-0.007103977450169623,0.011644235,0.0001,0.2,-0.43100928127765653,0.45894813537597656,0.09222821891307831,0.37228005185723306,0.104921875
2,465920,2071,1,900,-0.005732593804132193,0.011839749,0.0001,0.2,-0.45307058960199353,0.38030415773391724,0.14311650395393372,0.36516731515526774,0.08314453125
7,471040,1314,2,910,-0.005917008011601865,0.011991983,0.0001,0.2,-0.4757896763086319,0.2581530213356018,0.17528100311756134,0.3822177951037884,0.08771484375
13,476160,1166,3,920,-0.005619534908328205,0.010130518,0.0001,0.2,-0.5058006745576858,0.4256806969642639,0.04369806870818138,0.2102464248985052,0.09134765625
18,481280,1113,4,930,-0.006502938696648926,0.010486014,0.0001,0.2,-0.4701786057651043,0.33690643310546875,0.09823734313249588,0.24629324056208135,0.100703125
23,486400,1081,5,940,-0.007804136795457452,0.012662751,0.0001,0.2,-0.49069643557071685,0.5482826232910156,0.06357593834400177,0.20343777529895304,0.11552734375
28,491520,1062,6,950,-0.007737909953575582,0.012832554,0.0001,0.2,-0.47584062308073044,0.5107762813568115,0.07294042408466339,0.2499309990555048,0.10451171875
34,496640,1046,7,960,-0.0072885485063306985,0.011922611,0.0001,0.2,-0.4864526602625847,0.5332947969436646,0.06891247630119324,0.2037784520164132,0.11669921875
40,501760,1006,8,970,-0.005280299359001219,0.011026778,0.0001,0.2,-0.507647018879652,0.4965488910675049,0.15358294546604156,0.26535737566649914,0.09130859375
46,506880,990,9,980,-0.0087404425884597,0.012927102,0.0001,0.2,-0.4468668128550053,0.4098395109176636,0.07200555503368378,0.2532523629069328,0.104609375
52,512000,983,10,990,-0.007258131005801261,0.010150133,0.0001,0.2,-0.42001919880509375,0.3842868208885193,0.09715946018695831,0.20095490902662277,0.08638671875
2,517120,1909,1,1000,-0.007254876594524831,0.008481978,0.0001,0.2,-0.45534540340304375,0.28847718238830566,0.05029062554240227,0.19454634968191387,0.0894140625
8,522240,1247,2,1010,-0.005674584759399295,0.011130867,0.0001,0.2,-0.4314302723109722,0.19685417413711548,0.13937154412269592,0.2909003979712725,0.103125
13,527360,1102,3,1020,-0.007167295049875975,0.011268297,0.0001,0.2,-0.42749250039458275,0.38288891315460205,0.12309514731168747,0.274350611269474,0.1023046875
19,532480,1054,4,1030,-0.007161124825943261,0.011758896,0.0001,0.2,-0.42832716450095176,0.4087495803833008,0.07775033265352249,0.2457352179661393,0.1089453125
24,537600,1025,5,1040,-0.004049823759123683,0.0119675165,0.0001,0.2,-0.4039658340811729,0.5279173851013184,0.054421454668045044,0.2126316710934043,0.083046875
30,542720,1007,6,1050,-0.005774920638650656,0.012060894,0.0001,0.2,-0.3886775548756123,0.511327862739563,0.08770573139190674,0.2478793876618147,0.10703125
35,547840,1007,7,1060,-0.004663109120447189,0.01207853,0.0001,0.2,-0.3383288811147213,0.5319063663482666,0.1099528819322586,0.2462496080249548,0.08953125
40,552960,1001,8,1070,-0.005387904343660921,0.007915897,0.0001,0.2,-0.3760979814827442,0.4183603525161743,0.1491248458623886,0.3074633362144232,0.08990234375
46,558080,995,9,1080,-0.005499523712787777,0.007879479,0.0001,0.2,-0.35421234771609306,0.4560677409172058,0.12665188312530518,0.3002990544587374,0.07884765625
51,563200,992,10,1090,-0.007906581347342581,0.010157264,0.0001,0.2,-0.3656125716865063,0.4173460602760315,0.07125764340162277,0.26903073184192183,0.0874609375
2,568320,2019,1,1100,-0.005173097387887538,0.011173008,0.0001,0.2,-0.38083440974354743,0.4323952794075012,0.08160889148712158,0.2951633770763874,0.0876171875
7,573440,1293,2,1110,-0.006443981975317001,0.00859821,0.0001,0.2,-0.36898418471217154,0.499872088432312,0.12393698841333389,0.230499497205019,0.083359375
13,578560,1161,3,1120,-0.005547936398070306,0.009799658,0.0001,0.2,-0.3587044109404087,0.5741020441055298,0.09451042860746384,0.26478696063160895,0.08658203125
18,583680,1105,4,1130,-0.005563562242314219,0.010070923,0.0001,0.2,-0.32330662712454794,0.4914836883544922,0.06749536097049713,0.2619936043024063,0.094296875
23,588800,1069,5,1140,-0.006886161004658788,0.0121571515,0.0001,0.2,-0.31670728877186777,0.3976331353187561,0.1196683794260025,0.2595620343089104,0.09390625
29,593920,1052,6,1150,-0.005151696125976741,0.012174,0.0001,0.2,-0.30942529156804083,0.4102976322174072,0.06994679570198059,0.18223045531660317,0.10505859375
34,599040,1038,7,1160,-0.006303590822499245,0.009717697,0.0001,0.2,-0.25879094913601874,0.20986318588256836,0.12724649906158447,0.2589425056427717,0.079765625
39,604160,1029,8,1170,-0.007263417730573565,0.009870714,0.0001,0.2,-0.2901518812775612,0.3785744309425354,0.08160998672246933,0.2432201588898897,0.08955078125
45,609280,1018,9,1180,-0.002884642742574215,0.012102143,0.0001,0.2,-0.2693141888827085,0.3486865162849426,0.08032867312431335,0.23778580754995346,0.09126953125
50,614400,1010,10,1190,-0.005891863615252077,0.012443721,0.0001,0.2,-0.2779797322303057,0.4378891587257385,0.06296224892139435,0.22115600988268852,0.08591796875
3,619520,1654,1,1200,-0.005755442443769425,0.011748396,0.0001,0.2,-0.3272254227101803,0.44914066791534424,0.09484058618545532,0.22067975856363772,0.09421875
8,624640,1177,2,1210,-0.00796628353651613,0.01212498,0.0001,0.2,-0.3408051717281342,0.46560442447662354,0.1347280889749527,0.27837419755756854,0.09291015625
14,629760,1088,3,1220,-0.005605574124492705,0.00964416,0.0001,0.2,-0.3606040652096272,0.5456191897392273,0.1001671850681305,0.2347516158223152,0.0943359375
19,634880,1039,4,1230,-0.00562540503917262,0.011762714,0.0001,0.2,-0.28003972008824346,0.3474937677383423,0.09142035245895386,0.2652877999097109,0.08826171875
25,640000,1007,5,1240,-0.007922463554423302,0.0083146775,0.0001,0.2,-0.30149949140846727,0.502518892288208,0.10232021659612656,0.3113828185200691,0.082734375
30,645120,997,6,1250,-0.007915502081159502,0.009378472,0.0001,0.2,-0.3421118173003197,0.5168355703353882,0.10847072303295135,0.2760051521658897,0.08421875
36,650240,989,7,1260,-0.004994193925522267,0.010159211,0.0001,0.2,-0.25324680864810944,0.4867504835128784,0.14862540364265442,0.3127126409858465,0.0714453125
41,655360,981,8,1270,-0.004317048897501081,0.009441559,0.0001,0.2,-0.25524046428501607,0.4781770706176758,0.18217156827449799,0.34748759143054486,0.07501953125
47,660480,976,9,1280,-0.002907875617966056,0.009182617,0.0001,0.2,-0.30239345341920854,0.6162196397781372,0.16245105862617493,0.352072516605258,0.0756640625
52,665600,973,10,1290,-0.005060591071378439,0.01439738,0.0001,0.2,-0.2181527005881071,0.34905117750167847,0.13890233635902405,0.3447095126658678,0.07794921875
3,670720,1636,1,1300,-0.005638341284357012,0.007032629,0.0001,0.2,-0.21947595037519932,0.5283335447311401,0.09510458260774612,0.2548797011375427,0.06326171875
8,675840,1176,2,1310,-0.006172400442883372,0.009159724,0.0001,0.2,-0.2895269770920277,0.36212676763534546,0.08899813145399094,0.2798962036520243,0.08982421875
13,680960,1097,3,1320,-0.0066859432589262725,0.0094574895,0.0001,0.2,-0.29131390489637854,0.5233917236328125,0.12159713357686996,0.2806368887424469,0.07212890625
19,686080,1058,4,1330,-0.005411522660870105,0.009257944,0.0001,0.2,-0.3110827584564686,0.4156873822212219,0.12008792161941528,0.35597559459507466,0.0821484375
24,691200,1028,5,1340,-0.0068368308967910706,0.010965754,0.0001,0.2,-0.27836394727230074,0.480843186378479,0.13794812560081482,0.35133622244000434,0.07943359375
