rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/n_updates,train/clip_range,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/loss,curriculum/preferred_eval_mode,curriculum/stage_timesteps,curriculum/max_steps,train/ent_coef,curriculum/stage,curriculum/grid_size,curriculum/obs_quantity,train/stage_learning_rate,eval/std_ep_length,eval/std_reward,eval/mean_reward,eval/mean_ep_length,eval/full_coverage_rate,eval/stage_timesteps,eval/deterministic,eval/stage,eval/deterministic_promotion_floor,eval/stochastic_full_coverage_rate,eval/promotion_passed,eval/coverage_promotion_passed,eval/promotion_min_mean_reward,eval/diagnostic_full_coverage_rate,eval/mode_gap,eval/promotion_max_mean_length,eval/quality_promotion_passed,eval/deterministic_full_coverage_rate,eval/deterministic_quality_passed,eval/stochastic_quality_passed,eval/promotion_full_coverage_rate
3.7083580493927,15,58880,191,200,107.15,0.18217331171035767,110,0.15,0.005098325,1.0587264208495617,7e-05,-1.2000268137454986,0.110546875,-0.007511546993628144,0.1147441491484642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.684619665145874,16,61440,188,217,107.61,0.2187185287475586,115,0.15,0.0045704516,0.9795066782832146,7e-05,-1.1785075712203978,0.0953125,-0.007618939802050591,0.4606183171272278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.33263635635376,17,64000,186,232,96.04,0.1928257942199707,120,0.15,0.004176464,0.9839999647438527,7e-05,-1.1713090491294862,0.07953125,-0.003297215336933732,0.22983358800411224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.880284309387207,18,66560,185,248,89.58,0.22753119468688965,125,0.15,0.0054564164,0.5900223410129547,7e-05,-1.1398220145702362,0.122890625,-0.003394968034699559,0.45052555203437805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.321840286254883,19,69120,185,262,83.92,0.10943025350570679,130,0.15,0.0055084177,0.521231084316969,7e-05,-1.1410824489593505,0.14046875,-0.0031964288698509338,0.15377449989318848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.563068389892578,20,71680,184,278,82.28,0.20971465110778809,135,0.15,0.005953588,0.3601200857758522,7e-05,-1.0873015689849854,0.14203125,-0.005890990849584341,0.15922871232032776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.57260274887085,1,74240,2341,1,81.3,0.27331042289733887,140,0.15,0.0054515135,0.3991617988795042,7e-05,-1.0770557296276093,0.11921875,-0.006090228278189898,0.07866759598255157,0,51200,200,0.007832,1,5,3,7e-05,,,,,,,,,,,,,,,,,,,,,
5.603977680206299,2,76800,576,8,78.92,0.22577154636383057,143,0.15,0.009889757,0.43194295807431143,7e-05,-1.0570602416992188,0.11490885416666667,-0.0007789175142534077,0.5190383791923523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.652664661407471,3,79360,423,18,74.61,0.22275269031524658,146,0.15,0.011064527,0.40055533511153724,7e-05,-1.0249008303981717,0.1729343220338983,0.004315257340795913,0.4330994486808777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.9096760749816895,4,81920,322,31,69.31,0.3071422576904297,151,0.15,0.009350299,0.3034289022502692,7e-05,-1.0006624842467515,0.15208899456521738,-0.005538423545658588,0.135112464427948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.086653232574463,5,84480,347,36,67.59,0.3659501075744629,153,0.15,0.009132625,0.33245299058035016,7e-05,-0.9954014476388693,0.1015625,0.002508802543161437,0.11137811839580536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.067346096038818,6,87040,293,52,67.89,0.27844375371932983,158,0.15,0.008272286,0.2633395426720381,7e-05,-0.9799602341651916,0.15296875,-0.0042637723218649625,0.07306268811225891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.167011260986328,7,89600,268,66,64.5,0.30110228061676025,163,0.15,0.0065367506,0.4044462386518717,7e-05,-0.9424671560525895,0.134453125,-0.004293704442679882,0.22265104949474335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
