time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/approx_kl,curriculum/max_steps,train/loss,curriculum/obs_quantity,train/explained_variance,train/stage_learning_rate,curriculum/stage_timesteps,train/value_loss,train/learning_rate,curriculum/preferred_eval_mode,train/ent_coef,train/policy_gradient_loss,train/n_updates,train/clip_range,curriculum/stage,curriculum/grid_size,train/clip_fraction,train/entropy_loss,eval/mean_reward,eval/mean_ep_length,eval/std_ep_length,eval/deterministic,eval/stage,eval/stage_timesteps,eval/full_coverage_rate,eval/std_reward,eval/promotion_min_mean_reward,eval/deterministic_quality_passed,eval/quality_promotion_passed,eval/promotion_max_mean_length,eval/mode_gap,eval/coverage_promotion_passed,eval/promotion_passed,eval/deterministic_full_coverage_rate,eval/deterministic_promotion_floor,eval/promotion_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/stochastic_quality_passed
,,,,,,,,,,,,,,,,,,,,,,,,2.977954714298248,103.52,85.56932627992347,1,1,102400,0.56,5.361604056440389,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,102400,,,6.75,0,0,32.5,0.42999999999999994,1,1,0.56,0.495,0.99,0.99,0.99,0
,,,,,,,,,,,,,,,,,,,,,,,,7.485607619285584,41.99,19.184105400044068,0,1,102400,1.0,0.475709074059767,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.669397778511047,108.78,85.95912749673533,1,1,102400,0.53,5.38300764483148,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,102400,,,6.75,0,0,32.5,0.47,1,1,0.53,0.495,1.0,1.0,1.0,0
,,,,,,,,,,,,,,,,,,,,,,,,7.356874630451203,44.94,28.55304537172874,0,1,102400,0.99,1.1510671600163755,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.4361366057395935,112.28,86.02593562408954,1,1,102400,0.51,5.410089615551226,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,102400,,,6.75,0,0,32.5,0.48,1,1,0.51,0.495,0.99,0.99,0.99,0
1,6.820074558258057,3,75.88,1407,112640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6.167764186859131,2,115.3,1910,117760,0.010770965,320,0.39738044142723083,8,0.356014609336853,0.0002,0,1.3498042207956313,0.0002,0,0.008,-0.0030763150891289113,110,0.2,2,8,0.1646875,-0.811007719039917,,,,,,,,,,,,,,,,,,,,,
2,5.440124034881592,9,156.41,1124,122880,0.011143981,,0.3381168246269226,,0.46684205532073975,,,0.8092634761333466,0.0002,,,-0.0026074938895180822,115,0.2,,,0.1393359375,-0.8390357404947281,,,,,,,,,,,,,,,,,,,,,
3,4.8839030265808105,15,197.99,1004,128000,0.011144153,,0.32064178586006165,,0.5074247121810913,,,0.7216617453098297,0.0002,,,-0.0017869657091796399,120,0.2,,,0.138125,-0.823507993221283,,,,,,,,,,,,,,,,,,,,,
4,4.615604400634766,21,223.16,953,133120,0.017824069,,0.36623242497444153,,0.3153141736984253,,,0.8494909924268722,0.0002,,,-0.0012305301055312156,125,0.2,,,0.1704296875,-0.7963938641548157,,,,,,,,,,,,,,,,,,,,,
5,4.896307468414307,27,218.02,931,138240,0.015827151,,0.3090103268623352,,0.29772478342056274,,,0.707691165804863,0.0002,,,-0.002118217861279845,130,0.2,,,0.1738671875,-0.8292360854148865,,,,,,,,,,,,,,,,,,,,,
6,5.561708927154541,33,201.06,918,143360,0.011442669,,0.459907203912735,,0.1637873649597168,,,0.9055443769693374,0.0002,,,-0.002043948918581009,135,0.2,,,0.146875,-0.7631471782922745,,,,,,,,,,,,,,,,,,,,,
7,5.432486534118652,39,201.51,904,148480,0.0072899126,,0.3864268362522125,,0.0905422568321228,,,1.0356100070476533,0.0002,,,-0.0003638808662071824,140,0.2,,,0.1206640625,-0.707338176369667,,,,,,,,,,,,,,,,,,,,,
8,5.0826568603515625,45,202.15,892,153600,0.014495221,,0.2126549929380417,,0.16661828756332397,,,0.6156300666928292,0.0002,,,-0.004751359228976071,145,0.2,,,0.1436328125,-0.7028085625171662,,,,,,,,,,,,,,,,,,,,,
9,5.049255847930908,52,204.68,885,158720,0.00886056,,0.23982340097427368,,0.32555079460144043,,,0.53478336840868,0.0002,,,-0.00438534495420754,150,0.2,,,0.1444921875,-0.6967658233642579,,,,,,,,,,,,,,,,,,,,,
10,4.925364017486572,58,210.33,881,163840,0.009016352,,0.3213312327861786,,0.28005772829055786,,,0.828961164355278,0.0002,,,-0.005620810957625508,155,0.2,,,0.131796875,-0.6810603600740432,,,,,,,,,,,,,,,,,,,,,
1,4.74595832824707,2,212.77,2143,168960,0.009541784,320,0.3611496388912201,8,0.16065293550491333,0.00016586666666666667,51200,0.9456996160745621,0.0002,0,0.006805333333333333,-0.007870874451473355,160,0.2,2,8,0.1328515625,-0.664389219880104,,,,,,,,,,,,,,,,,,,,,
2,5.395025253295898,8,197.85,1222,174080,0.008555954,,0.20963294804096222,,0.1982519030570984,,,0.5923423740267754,0.00016586666666666667,,,-0.005084666833281517,165,0.2,,,0.102265625,-0.69511303961277,,,,,,,,,,,,,,,,,,,,,
3,5.852328300476074,14,182.09,1062,179200,0.007722127,,0.35870036482810974,,0.17240065336227417,,,0.8739477294683456,0.00016586666666666667,,,-0.005461937841027975,170,0.2,,,0.0916796875,-0.6363920569419861,,,,,,,,,,,,,,,,,,,,,
4,6.215597629547119,20,173.5,993,184320,0.0074092834,,0.3860201835632324,,0.17602479457855225,,,0.8624581336975098,0.00016586666666666667,,,-0.005269064158201217,175,0.2,,,0.085234375,-0.6076158487796783,,,,,,,,,,,,,,,,,,,,,
5,6.327137470245361,26,171.54,955,189440,0.008625752,,0.29890838265419006,,0.2972099781036377,,,0.6015742793679237,0.00016586666666666667,,,-0.0033168547786772253,180,0.2,,,0.0985546875,-0.5812753689289093,,,,,,,,,,,,,,,,,,,,,
6,6.344890594482422,32,166.89,939,194560,0.010199971,,0.24210630357265472,,0.3317223787307739,,,0.5713663306832314,0.00016586666666666667,,,-0.003924176096916199,185,0.2,,,0.1054296875,-0.5836973118782044,,,,,,,,,,,,,,,,,,,,,
