time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/n_updates,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/value_loss
9,97280,48,948,180,0.012088996,0.15193359375,0.2,0.0003,0.1397668570280075,0.6952021718025208,-0.6793274694681167,-0.00439346645027399,0.3162287919968367
10,102400,54,941,190,0.011683269,0.1671875,0.2,0.0003,0.1710359901189804,0.6820344924926758,-0.6462374013662339,-0.006059474039357155,0.39351555168628694
1,107520,2,2267,200,0.013942595,0.14494140625,0.2,0.0003,0.1318735033273697,0.550818920135498,-0.5923365670442581,-0.0031322211609221993,0.3136236844956875
2,112640,7,1353,210,0.015831795,0.16951171875,0.2,0.0003,0.0767677053809166,0.7024333477020264,-0.5672754999995232,-0.005885256612673402,0.23266169257462024
3,117760,12,1222,220,0.014384042,0.148515625,0.2,0.0003,0.0683845579624176,0.6627347469329834,-0.542017243951559,-0.008436798013281076,0.194258691072464
4,122880,17,1175,230,0.01736238,0.15408203125,0.2,0.0003,0.05018290877342224,0.6779420971870422,-0.5272809357941151,-0.008808848774060607,0.1553741106018424
5,128000,22,1147,240,0.02266769,0.163359375,0.2,0.0003,0.04191950336098671,0.7191702127456665,-0.496085085272789,-0.009976280506234616,0.16274465817958117
6,133120,27,1101,250,0.010869354,0.1203515625,0.2,0.0003,0.022622134536504745,0.6916936635971069,-0.44958911210298536,-0.008888642336241901,0.14485076639801264
7,138240,33,1058,260,0.009157493,0.1118359375,0.2,0.0003,0.05923117324709892,0.7084823846817017,-0.4404765446484089,-0.00864588173571974,0.17186369504779578
8,143360,40,1021,270,0.013224172,0.11841796875,0.2,0.0003,0.026229068636894226,0.5811434388160706,-0.39809938609600065,-0.009477897332981228,0.09598724627867342
9,148480,46,994,280,0.016054131,0.11404296875,0.2,0.0003,0.025165926665067673,0.7360424995422363,-0.3969650064408779,-0.006026840209960938,0.06126389546319842
10,153600,52,974,290,0.014248401,0.12625,0.2,0.0003,0.006081748753786087,0.7743604779243469,-0.42018852606415746,-0.005837263199500739,0.08344055820256471
1,158720,3,1683,300,0.012083998,0.11802734375,0.2,0.0003,0.00787501223385334,0.7783227562904358,-0.40708444759249685,-0.012594926252495498,0.0793070206604898
2,163840,9,1113,310,0.012082525,0.10892578125,0.2,0.0003,0.016514917835593224,0.7073497176170349,-0.3509047386050224,-0.007110424225684256,0.09159998962655663
3,168960,15,1006,320,0.011151357,0.104453125,0.2,0.0003,0.015031643211841583,0.7276829481124878,-0.37359306916594504,-0.010226665404625237,0.11613194901496172
4,174080,21,956,330,0.011763215,0.10580078125,0.2,0.0003,0.022604409605264664,0.7309471964836121,-0.3601517930626869,-0.01059593056794256,0.09253233328461646
5,179200,27,939,340,0.01212254,0.1151171875,0.2,0.0003,0.021914569661021233,0.7909147143363953,-0.36221864476799964,-0.010028900247998535,0.10241208449006081
6,184320,32,943,350,0.0109396335,0.0928125,0.2,0.0003,0.030162202194333076,0.7081078290939331,-0.3212613332271576,-0.004852671059779823,0.10014415528625249
7,189440,37,946,360,0.015579872,0.09357421875,0.2,0.0003,-0.0008469969034194946,0.6563195586204529,-0.29333555161952973,-0.007884952034801244,0.05908817123621702
8,194560,42,953,370,0.017482108,0.111015625,0.2,0.0003,0.008081389591097832,0.6692063808441162,-0.30463037580251695,-0.010166042463388293,0.040535996612161396
