time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/ent_coef,train/clip_fraction,train/explained_variance,curriculum/preferred_eval_mode,train/stage_learning_rate,train/loss,train/entropy_loss,curriculum/max_steps,curriculum/obs_quantity,train/learning_rate,curriculum/stage_timesteps,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,curriculum/grid_size,curriculum/stage,eval/full_coverage_rate,eval/mean_ep_length,eval/stage,eval/std_reward,eval/deterministic,eval/std_ep_length,eval/mean_reward,eval/stage_timesteps,eval/mode_gap,eval/deterministic_full_coverage_rate,eval/deterministic_promotion_floor,eval/promotion_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/promotion_passed,eval/diagnostic_full_coverage_rate
2,990,7.4479827880859375,117760,43.29,10,0.2,,0.0797265625,0.5136836767196655,,,0.12077490985393524,-0.6765833508968353,,,0.0001,,110,-0.006078570312820375,0.0064272447,0.31129388928413393,,,,,,,,,,,,,,,,,
3,907,7.337698936462402,122880,44.43,16,0.2,,0.074765625,0.6017152070999146,,,0.10639870166778564,-0.6263147759437561,,,0.0001,,115,-0.004329457567073405,0.0063226544,0.2683063769340515,,,,,,,,,,,,,,,,,
4,874,7.403846263885498,128000,44.13,23,0.2,,0.0814453125,0.6266511082649231,,,0.13569104671478271,-0.6252748572826385,,,0.0001,,120,-0.004719260795973242,0.0056020683,0.25527860820293424,,,,,,,,,,,,,,,,,
5,853,7.311216354370117,133120,45.78,30,0.2,,0.0898046875,0.5964709520339966,,,0.08857236802577972,-0.604774288535118,,,0.0001,,125,-0.004665308548137546,0.0063399747,0.19935278803110124,,,,,,,,,,,,,,,,,
6,841,7.290033340454102,138240,42.5,36,0.2,,0.078359375,0.635090708732605,,,0.07177841663360596,-0.5684501618146897,,,0.0001,,130,-0.005978458197787404,0.0066631036,0.18219287633895875,,,,,,,,,,,,,,,,,
7,834,7.393283843994141,143360,41.98,42,0.2,,0.0721875,0.5385147333145142,,,0.06486506015062332,-0.4982463690638542,,,0.0001,,135,-0.0035083045065402983,0.0063461596,0.1587550962716341,,,,,,,,,,,,,,,,,
8,831,7.216278076171875,148480,41.53,49,0.2,,0.07578125,0.6321359872817993,,,0.09600474685430527,-0.5268507832288742,,,0.0001,,140,-0.0033521629590541123,0.0073882258,0.14726665057241917,,,,,,,,,,,,,,,,,
9,827,7.340579986572266,153600,41.58,55,0.2,,0.066328125,0.662649393081665,,,0.07417608797550201,-0.4968990230560303,,,0.0001,,145,-0.0017426420189440251,0.005082541,0.17560386747121812,,,,,,,,,,,,,,,,,
10,838,7.361506462097168,158720,41.33,61,0.2,,0.06494140625,0.5778533220291138,,,0.1492147594690323,-0.422833315614197,,,0.0001,,149,-0.0028248949998265337,0.010538456,0.19340181495580408,,,,,,,,,,,,,,,,,
,,,,,,0.2,,0.0851171875,0.6537798643112183,,,0.08254214376211166,-0.4884800860285759,,,0.0001,,154,-0.0022622027341276407,0.0070975013,0.18472834780812264,,,0.97,41.55,1,1.8760671899000005,0,34.24248092647493,7.213221385478973,153600,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.71,75.99,1,4.965794560420389,1,79.28789251834102,4.554903676509857,153600,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,153600,0.26,0.71,0.792,0.97,0.97,0,0.97
1,1450,7.4944939613342285,163840,38.79,3,,0.0010000000000000009,,,1,0.0001,,,200,3,,153600,,,,,5,1,,,,,,,,,,,,,,,
2,967,7.509556293487549,168960,37.54,10,0.2,,0.0758203125,0.6643602848052979,,,0.08294989168643951,-0.4744607338309288,,,0.0001,,159,-0.004622686807997525,0.0073183565,0.1855691148340702,,,,,,,,,,,,,,,,,
3,875,7.618959903717041,174080,32.65,17,0.2,,0.0762890625,0.6928333640098572,,,0.058635126799345016,-0.42718911737203596,,,0.0001,,164,-0.0031123140826821325,0.0071650334,0.14079845748841763,,,,,,,,,,,,,,,,,
