cbp/utility_mean,time/time_elapsed,time/total_timesteps,cbp/target_count,cbp/rollout_replacements,time/iterations,cbp/total_replacements,rollout/ep_rew_mean,rollout/ep_len_mean,cbp/last_replacements,time/fps,train/n_updates,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/clip_fraction,curriculum/grid_size,curriculum/stage,curriculum/preferred_eval_mode,curriculum/max_steps,curriculum/obs_quantity,train/ent_coef,curriculum/stage_timesteps,train/stage_learning_rate,plasticity/weight_max_abs,plasticity/weight_rms,plasticity/effective_rank_99_mean,plasticity/low_weight_units,plasticity/low_weight_unit_ratio,plasticity/effective_rank_99_normalized_mean,plasticity/total_weight_units,plasticity/weight_abs_mean,eval/mean_ep_length,eval/stage_timesteps,eval/deterministic,eval/std_reward,eval/mean_reward,eval/std_ep_length,eval/stage,eval/full_coverage_rate,eval/promotion_full_coverage_rate,eval/promotion_max_mean_length,eval/quality_promotion_passed,eval/deterministic_quality_passed,eval/mode_gap,eval/stochastic_full_coverage_rate,eval/deterministic_promotion_floor,eval/promotion_min_mean_reward,eval/coverage_promotion_passed,eval/diagnostic_full_coverage_rate,eval/stochastic_quality_passed,eval/deterministic_full_coverage_rate,eval/promotion_passed
0.19854072170952955,2,51200,6,0,1,12,-4.920424461364746,180.95,0,1860,,,,,,,,,,,5,1,0,200,3,0.011415999999999999,25600,7e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19854072170952955,48,56320,6,0,2,12,-5.177982330322266,180.1,0,213,80,7e-05,0.07780367136001587,0.08,0.07687614858150482,0.0019003588,-1.3355815459042788,1.150874941420625,-0.0025892643694533034,0.1653076171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19854072170952955,91,61440,6,0,3,12,-4.635129928588867,177.41,0,167,88,7e-05,0.08423924446105957,0.08,0.12701892852783203,0.001974325,-1.3298328433185815,1.3890644135157344,-0.0024653060710988937,0.1413818359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21035060783227286,136,66560,6,6,4,18,-4.490598678588867,176.43,6,150,96,7e-05,0.10650688409805298,0.08,2.511244058609009,0.0012542702,-1.3179144326597452,0.9569098715961445,-0.0028303910134127364,0.1354248046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21035060783227286,180,71680,6,0,5,18,-3.702609062194824,173.36,0,142,104,7e-05,0.10633087158203125,0.08,0.0413019098341465,0.001461861,-1.3084599941968917,0.9026804984896444,-0.0036990330103435554,0.141650390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21035060783227286,,,6,,,18,,,0,,112,7e-05,0.09814202785491943,0.08,0.1264495700597763,0.0022542528,-1.3034496001899243,1.2523936731129652,-0.0013000495207961648,0.14765625,,,,,,,,,1.0979658365249634,0.03664929080225535,141.25,0,0.0,0.9856770833333334,1925,0.022042306495665843,,,,,,,,,,,,,,,,,,,,,
0.21035060783227286,2,76800,6,0,1,18,-3.3839733600616455,168.41,0,2422,,,,,,,,,,,5,1,0,200,3,0.007832,51200,7e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21035060783227286,46,81920,6,0,2,18,-3.7352797985076904,165.2,0,220,120,7e-05,0.12274742126464844,0.08,0.03810901567339897,0.0018555466,-1.296914091706276,1.017806276054762,-0.0021382242237450557,0.13740234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21703905860582987,84,87040,6,6,3,24,-3.6051552295684814,165.64,6,181,128,7e-05,0.14416033029556274,0.08,2.675031900405884,0.0016104511,-1.2849153883755207,1.1898757082468365,-0.002285252517322078,0.1268798828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21703905860582987,122,92160,6,0,4,24,-3.731696844100952,168.02,0,167,136,7e-05,0.14255458116531372,0.08,0.12850598990917206,0.002472181,-1.2752708874642849,1.0984667962562527,-0.0023239264148287473,0.2088134765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21703905860582987,162,97280,6,0,5,24,-3.2831854820251465,169.18,0,157,144,7e-05,0.15426796674728394,0.08,0.06873458623886108,0.0016600232,-1.2613959196954965,1.2695236052240944,-0.0021362055456847885,0.1443603515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21703905860582987,,,6,,,24,,,0,,152,7e-05,0.1835700273513794,0.08,0.006758931092917919,0.001357944,-1.25393690392375,0.5522906351397978,-0.0013599791855085641,0.147509765625,,,,,,,,,1.089687705039978,0.03284397321630361,139.66666666666666,0,0.0,0.9763454861111112,1925,0.018298421908020755,,,,,,,,,,,,,,,,,,,,,
0.21703905860582987,2,102400,6,0,1,24,-3.7714171409606934,165.64,0,2183,,,,,,,,,,,5,1,0,200,3,0.004248,76800,7e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.22994710008303323,44,107520,6,6,2,30,-3.7953925132751465,157.07,6,228,160,7e-05,0.14879733324050903,0.08,1.8022823333740234,0.001543146,-1.2439714703708886,1.7253540283476467,-0.0019279953470686451,0.136669921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.22994710008303323,87,112640,6,0,3,30,-4.538731098175049,142.29,0,175,168,7e-05,0.25880056619644165,0.08,0.09719927608966827,0.0027769236,-1.2368055276572705,1.6933503961306997,-0.0019021834130398929,0.1470947265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.22994710008303323,127,117760,6,0,4,30,-4.314911365509033,142.11,0,160,176,7e-05,0.27904367446899414,0.08,1.783755898475647,0.001553715,-1.234105607867241,2.047787993500242,-0.0007080529350787402,0.140283203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.22994710008303323,166,122880,6,0,5,30,-3.6626980304718018,145.33,0,153,184,7e-05,0.3131352663040161,0.08,2.225431203842163,0.0017024042,-1.2345950074493885,1.539766655501444,-0.001315224071731791,0.1771484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.22994710008303323,,,6,,,30,,,0,,192,7e-05,0.3159474730491638,0.08,1.8013068437576294,0.0025026053,-1.223318738117814,1.4339510885678464,0.00016712163342162966,0.20458984375,,,,,,,,,1.0845656394958496,0.02952716836833381,137.75,0,0.0,0.9647352430555555,1925,0.015308215268703457,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.98,102400,0,5.8620615836563825,-2.9489483527559788,57.492082933217866,1,0.62,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.3,102400,1,2.2674244726700397,-0.356365314447321,26.737800956697992,1,0.03,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102400,,,,,1,,0.62,45.0,0,0,0.59,0.62,0.0,6.0,0,0.62,0,0.03,0
0.2384472886721293,2,128000,6,6,1,36,-2.615842819213867,145.83,6,2170,,,,,,,,,,,5,1,1,200,3,0.0010000000000000009,102400,7e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2384472886721293,43,133120,6,0,2,36,-2.190397262573242,148.29,0,237,200,7e-05,0.2727043628692627,0.08,2.4945590496063232,0.0013562373,-1.2035855978727341,1.8566341758414637,-0.0012210436863824726,0.1574462890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2384472886721293,80,138240,6,0,3,36,-2.203596591949463,147.31,0,191,208,7e-05,0.3412126302719116,0.08,2.859647035598755,0.001520747,-1.2021178897470235,0.8354271351301576,-0.001948663726216182,0.140966796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2384472886721293,121,143360,6,0,4,36,-2.4279770851135254,147.82,0,169,216,7e-05,0.2655773162841797,0.08,2.3257462978363037,0.0022285895,-1.1930899895727634,1.4542231140017976,-0.0018548022024333477,0.1397216796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.23494421939055124,159,148480,6,6,5,42,-2.2027175426483154,142.75,6,160,224,7e-05,0.2084505558013916,0.08,0.3376576900482178,0.0025886754,-1.180578586831689,1.5665938534715678,0.0001187798974569887,0.1971435546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.23494421939055124,,,6,,,42,,,6,,232,7e-05,0.30366599559783936,0.08,0.2282106578350067,0.0018819869,-1.164656113088131,0.9152763752499595,-0.0013964632264105604,0.174462890625,,,,,,,,,1.078655481338501,0.027182205459321766,135.58333333333334,0,0.0,0.9532335069444445,1925,0.013346612881260638,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.49,128000,0,5.827200493639878,-2.0823669406212866,61.46275213493128,1,0.55,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.14,128000,1,3.944912331148545,1.0103656988497824,71.01098788215808,1,0.24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128000,,,,,1,,0.55,45.0,0,0,0.31000000000000005,0.55,0.0,6.0,0,0.55,0,0.24,0
0.23494421939055124,2,153600,6,0,1,42,-1.9145587682724,132.65,0,2012,,,,,,,,,,,5,1,1,200,3,0.0010000000000000009,128000,7e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.23494421939055124,43,158720,6,0,2,42,-2.5317506790161133,138.42,0,233,240,7e-05,0.2025046944618225,0.08,2.542196273803711,0.0023879495,-1.1598443809896708,2.1678385173290735,-0.0003695140010677278,0.1570068359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.23494421939055124,85,163840,6,0,3,42,-3.2844491004943848,129.94,0,180,248,7e-05,0.372372567653656,0.08,0.1576305329799652,0.0019031304,-1.1631551589816809,1.3699822570575635,-0.0002695880422834307,0.1489501953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25607240200042725,131,168960,6,6,4,48,-3.4475133419036865,133.6,6,156,256,7e-05,0.3462370038032532,0.08,0.4699147641658783,0.0021227798,-1.1543778903782367,2.2381573877530174,0.0006947384739760309,0.1926025390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25607240200042725,173,174080,6,0,5,48,-2.493318796157837,137.31,0,147,264,7e-05,0.4136914014816284,0.08,0.08015196770429611,0.001837374,-1.1569428738206624,1.1716410047520185,-0.0017442089709220454,0.1491455078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25607240200042725,,,6,,,48,,,0,,272,7e-05,0.33456021547317505,0.08,0.020132768899202347,0.0016755819,-1.1488670859485866,1.221995706310554,-0.0026475947321159764,0.1364013671875,,,,,,,,,1.074554681777954,0.025252059250418173,133.16666666666666,2,0.001038961038961039,0.9412977430555555,1925,0.011803984040274067,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.16,153600,0,5.686124149091687,-1.6332732057012618,63.26036990091032,1,0.53,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.01,153600,1,2.9476940445007624,1.0234641323238611,66.0868360568124,1,0.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153600,,,,,1,,0.53,45.0,0,0,0.33,0.53,0.0,6.0,0,0.53,0,0.2,0
0.25607240200042725,2,179200,6,0,1,48,-1.793365478515625,142.62,0,2149,,,,,,,,,,,5,1,1,200,3,0.0010000000000000009,153600,7e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25607240200042725,42,184320,6,0,2,48,-1.8644274473190308,143.39,0,238,280,7e-05,0.24798840284347534,0.08,0.05698232352733612,0.0018289372,-1.1230998307466507,1.7525435970077523,-0.001805925092776306,0.1693603515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.26494142164786655,81,189440,6,6,3,54,-2.7901828289031982,148.17,6,188,288,7e-05,0.29998230934143066,0.08,0.19919295608997345,0.0017854385,-1.1233416948467494,1.2824268510201364,-0.0006478195980889722,0.1675048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
