time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/clip_fraction,train/entropy_loss,train/clip_range,train/approx_kl,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate
76800,21,1188,5,0.5978615283966064,0.08279296875,-0.6959406554698944,0.2,0.0070307106,140,0.3819833144545555,-0.006106555361766368,0.1320732682943344,0.0001
81920,26,1159,6,0.5526043176651001,0.0967578125,-0.7129995128512383,0.2,0.013637403,150,0.41197771713137626,-0.005694335591979325,0.1884809136390686,0.0001
87040,31,1141,7,0.6222670674324036,0.06755859375,-0.6983708244562149,0.2,0.005257091,160,0.4320248158276081,-0.0037188332597725094,0.20665059983730316,0.0001
92160,36,1133,8,0.6003379225730896,0.0868359375,-0.6702752551436424,0.2,0.008681248,170,0.3561610649526119,-0.0038476968626491724,0.18506957590579987,0.0001
97280,40,1126,9,0.5111116766929626,0.1032421875,-0.6556879383325577,0.2,0.012615305,180,0.3776474964618683,-0.005275978143326938,0.15980473160743713,0.0001
102400,45,1115,10,0.6288930177688599,0.1023046875,-0.6473337346315384,0.2,0.008669099,190,0.2971804668754339,-0.005796524093020707,0.13453269004821777,0.0001
107520,2,2242,1,0.7264127731323242,0.10873046875,-0.7186789703369141,0.2,0.007271491,200,0.32882169291377067,-0.006058472082950175,0.1309516578912735,0.0001
112640,7,1357,2,0.6007066369056702,0.08185546875,-0.633667628467083,0.2,0.0072545833,210,0.4294407920539379,-0.003603264205157757,0.19725169241428375,0.0001
117760,12,1214,3,0.583862841129303,0.10349609375,-0.6001569595932961,0.2,0.008821599,220,0.3768241861462593,-0.003476382200606167,0.17367124557495117,0.0001
122880,17,1158,4,0.5446196794509888,0.10220703125,-0.560268220603466,0.2,0.007601667,230,0.25933731004595756,-0.00865702624199912,0.14546436071395874,0.0001
128000,22,1125,5,0.6532004475593567,0.09921875,-0.609831167459488,0.2,0.008044595,240,0.29387320302426817,-0.0037416085577569903,0.10671857744455338,0.0001
133120,27,1103,6,0.6693539619445801,0.082265625,-0.5321292085945606,0.2,0.006458641,250,0.27179553352296354,-0.005071357855340466,0.10915153473615646,0.0001
138240,32,1086,7,0.6049460172653198,0.094375,-0.44244043454527854,0.2,0.007637964,260,0.17036558084189893,-0.004982325593009591,0.0735962837934494,0.0001
143360,38,1070,8,0.7356498837471008,0.091484375,-0.4740986877679825,0.2,0.0088119935,270,0.2060270832479,-0.005110657580662519,0.08176031708717346,0.0001
148480,43,1066,9,0.7000644207000732,0.0849609375,-0.4184789736568928,0.2,0.0062111127,280,0.1649439085647464,-0.0032469548401422798,0.06634701788425446,0.0001
153600,48,1056,10,0.7597291469573975,0.08806640625,-0.4718233548104763,0.2,0.0054536485,290,0.2708267255872488,-0.0033338275365531445,0.11883163452148438,0.0001
158720,3,1626,1,0.6970222592353821,0.0820703125,-0.40425298392772674,0.2,0.0071364925,300,0.21010298803448677,-0.002671681633219123,0.08875800669193268,0.0001
163840,8,1259,2,0.7518895864486694,0.09560546875,-0.5391116958856582,0.2,0.007124882,310,0.25222899578511715,-0.002177879622904584,0.11408749967813492,0.0001
168960,12,1183,3,0.7118034362792969,0.08900390625,-0.5765659767389297,0.2,0.008684445,320,0.32690686121582985,-0.0040557861444540325,0.1581297367811203,0.0001
174080,18,1128,4,0.6017155051231384,0.09587890625,-0.49954930365085604,0.2,0.007561841,330,0.3062201517820358,-0.0028697650902904572,0.12450338155031204,0.0001
179200,23,1095,5,0.7126970291137695,0.1096484375,-0.5852589416503906,0.2,0.009278078,340,0.2827570091187954,-0.005400149011984467,0.14856281876564026,0.0001
184320,28,1073,6,0.7712923884391785,0.10037109375,-0.5574716065824031,0.2,0.0073338784,350,0.27744141951203344,-0.005205453971866518,0.1278887540102005,0.0001
189440,33,1056,7,0.7296892404556274,0.103359375,-0.5405210211873055,0.2,0.007110961,360,0.3757355964183807,-0.0069322411390021444,0.18363219499588013,0.0001
194560,39,1046,8,0.6701562404632568,0.09103515625,-0.43547455698251725,0.2,0.0098511,370,0.3215066386014223,-0.004921168747823685,0.16331589221954346,0.0001
199680,44,1036,9,0.6254451274871826,0.091875,-0.4821164499223232,0.2,0.006826858,380,0.3185203503072262,-0.00508851224090904,0.17701102793216705,0.0001
204800,49,1026,10,0.7490496635437012,0.0851171875,-0.49160291194915773,0.2,0.007902254,390,0.2949380649626255,-0.00454059466952458,0.11152098327875137,0.0001
209920,2,1903,1,0.7989795207977295,0.08634765625,-0.4735965195298195,0.2,0.007834846,400,0.2656634532660246,-0.005302281971089542,0.13385163247585297,0.0001
215040,8,1253,2,0.7697999477386475,0.08447265625,-0.47996424317359926,0.2,0.007877636,410,0.3567117949575186,-0.0042393661523237825,0.20514322817325592,0.0001
220160,13,1165,3,0.7043150663375854,0.0851171875,-0.3929984812438488,0.2,0.007200606,420,0.2527880869805813,-0.006255760926287621,0.10089574009180069,0.0001
225280,18,1125,4,0.7924736738204956,0.0746484375,-0.4703169178962707,0.2,0.007706154,430,0.30348310761153696,-0.002196700596250594,0.16984456777572632,0.0001
230400,23,1097,5,0.7542533278465271,0.07802734375,-0.4802758952975273,0.2,0.006163124,440,0.378742121309042,-0.004483287261100486,0.17689891159534454,0.0001
235520,28,1082,6,0.7409789562225342,0.06880859375,-0.4091549411416054,0.2,0.005200746,450,0.2870125038176775,-0.004664876440074295,0.11710228025913239,0.0001
240640,33,1062,7,0.7433154582977295,0.06970703125,-0.43443578615784645,0.2,0.0068836175,460,0.27696512423455716,-0.004617812612559646,0.14297625422477722,0.0001
