time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,train/ent_coef,train/loss,curriculum/grid_size,train/entropy_loss,curriculum/preferred_eval_mode,curriculum/stage_timesteps,train/n_updates,curriculum/obs_quantity,curriculum/stage,train/approx_kl,train/learning_rate,train/stage_learning_rate,train/policy_gradient_loss,curriculum/max_steps,train/value_loss,train/explained_variance,train/clip_fraction,train/clip_range,eval/mean_reward,eval/std_reward,eval/deterministic,eval/stage,eval/std_ep_length,eval/full_coverage_rate,eval/mean_ep_length,eval/stage_timesteps,eval/promotion_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/mode_gap,eval/deterministic_full_coverage_rate,eval/diagnostic_full_coverage_rate
11,122880,47.76,3,1358,6.977136135101318,,0.1101844385266304,,-0.557401487827301,,,115,,,0.0049711177,0.0001,,-0.0035691707022488116,,0.26831159070134164,0.6731643080711365,0.0683984375,0.2,,,,,,,,,,,,,
15,128000,42.36,4,1353,7.175022125244141,,0.15767662227153778,,-0.6335076224803925,,,120,,,0.0063566035,0.0001,,-0.004181175096891821,,0.32444550573825837,0.6491899490356445,0.0805078125,0.2,,,,,,,,,,,,,
18,133120,44.45,5,1349,7.035914421081543,,0.10290119796991348,,-0.5184045326709747,,,125,,,0.005940841,0.0001,,-0.0036897761514410377,,0.3052545103430748,0.6273883581161499,0.0682421875,0.2,,,,,,,,,,,,,
22,138240,42.18,6,1343,7.156965732574463,,0.14158464968204498,,-0.5613846153020858,,,130,,,0.0056435745,0.0001,,-0.004877215069718659,,0.3199639527499676,0.6243226528167725,0.0616015625,0.2,,,,,,,,,,,,,
26,143360,40.45,7,1340,7.285824775695801,,0.14261376857757568,,-0.5092739912867547,,,135,,,0.0043875542,0.0001,,-0.003826387119479477,,0.2778332459926605,0.6918926239013672,0.0554296875,0.2,,,,,,,,,,,,,
30,148480,38.19,8,1322,7.229766845703125,,0.09705419838428497,,-0.457224123775959,,,140,,,0.009895223,0.0001,,-0.004734452553093433,,0.24687511399388312,0.45964568853378296,0.075859375,0.2,,,,,,,,,,,,,
34,153600,34.53,9,1320,7.527688026428223,,0.046826474368572235,,-0.4793870013952255,,,145,,,0.007081838,0.0001,,-0.005447635445743799,,0.18070855781435965,0.6971535682678223,0.0825390625,0.2,,,,,,,,,,,,,
38,158720,36.63,10,1320,7.308380603790283,,0.07285316288471222,,-0.449254045188427,,,150,,,0.004492389,0.0001,,-0.003772020637989044,,0.17314223900437356,0.671654224395752,0.0584765625,0.2,,,,,,,,,,,,,
,,,,,,,0.05655471235513687,,-0.47883650988340376,,,155,,,0.0040856143,0.0001,,-0.002963212486356497,,0.15610475614666938,0.8024587631225586,0.057265625,0.2,7.476363389492035,0.6101649888182866,0,1,21.290373411474025,1.0,35.2,153600,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5.0906248998641965,4.655106293569044,1,1,72.61297129301347,0.78,67.42,153600,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,153600,0.78,1.0,0.21999999999999997,0.78,1.0
2,163840,39.35,1,1761,7.307653427124023,0.0010000000000000009,,5,,1,153600,,3,1,,,0.0001,,200,,,,,,,,,,,,,,,,,
7,168960,37.76,2,1442,7.339818954467773,,0.09150764346122742,,-0.45603696316480635,,,160,,,0.0046545127,0.0001,,-0.003043951578438282,,0.21639802396297456,0.7587588429450989,0.051015625,0.2,,,,,,,,,,,,,
10,174080,33.75,3,1402,7.501107215881348,,0.09258323907852173,,-0.43781317889690397,,,165,,,0.004714805,0.0001,,-0.0020222893171012403,,0.20956171780824662,0.7525197863578796,0.0516796875,0.2,,,,,,,,,,,,,
14,179200,34.25,4,1375,7.508211612701416,,0.06279582530260086,,-0.4030231484770775,,,170,,,0.004516482,0.0001,,-0.004335643840022385,,0.1770752730220556,0.746001124382019,0.055390625,0.2,,,,,,,,,,,,,
18,184320,39.7,5,1362,7.210193634033203,,0.06418801844120026,,-0.3929627510905266,,,175,,,0.0045627896,0.0001,,-0.0036070212023332714,,0.18880778595805167,0.7294783592224121,0.0573046875,0.2,,,,,,,,,,,,,
22,189440,38.81,6,1355,7.370800018310547,,0.10192384570837021,,-0.42327305406332016,,,180,,,0.006638295,0.0001,,-0.0031011301185935734,,0.2160631164163351,0.8329244256019592,0.065859375,0.2,,,,,,,,,,,,,
26,194560,31.69,7,1353,7.573573589324951,,0.13676869869232178,,-0.409727081656456,,,185,,,0.006845791,0.0001,,-0.00396223190240562,,0.2620908707380295,0.6460461616516113,0.0658984375,0.2,,,,,,,,,,,,,
30,199680,34.94,8,1329,7.335897922515869,,0.06764261424541473,,-0.35486643671989443,,,190,,,0.00519869,0.0001,,-0.003641349570825696,,0.14801812142133713,0.6815119981765747,0.05890625,0.2,,,,,,,,,,,,,
34,204800,35.09,9,1332,7.4045515060424805,,0.05412790924310684,,-0.34539359003305437,,,195,,,0.005867728,0.0001,,-0.0029037118842825294,,0.13316792979836464,0.7555022239685059,0.0596484375,0.2,,,,,,,,,,,,,
38,209920,31.22,10,1327,7.50032901763916,,0.04966849461197853,,-0.36188544541597367,,,200,,,0.005543569,0.0001,,-0.004097156724892557,,0.1570793805271387,0.7529141306877136,0.0629296875,0.2,,,,,,,,,,,,,
,,,,,,,0.060348983854055405,,-0.3294041964411736,,,205,,,0.004048216,0.0001,,-0.0017634465079754591,,0.1439974879473448,0.7503020763397217,0.06234375,0.2,7.485789518356324,0.589300277916692,0,1,20.22715748690359,1.0,34.39,204800,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.98353973865509,2.570679652277759,1,1,42.100939419447634,0.95,38.03,204800,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,204800,0.95,1.0,0.050000000000000044,0.95,1.0
2,215040,35.19,1,2041,7.332789897918701,0.0010000000000000009,,5,,1,204800,,3,1,,,0.0001,,200,,,,,,,,,,,,,,,,,
6,220160,37.61,2,1561,7.225891590118408,,0.08338479697704315,,-0.35080969244241716,,,210,,,0.0047758506,0.0001,,-0.002892285604029894,,0.16822409868240357,0.7913182377815247,0.0663671875,0.2,,,,,,,,,,,,,
10,225280,32.11,3,1476,7.522676467895508,,0.0772765576839447,,-0.3725148123502731,,,215,,,0.0049379105,0.0001,,-0.0015889978408813476,,0.16025231815874577,0.8540183901786804,0.059765625,0.2,,,,,,,,,,,,,
14,230400,39.36,4,1437,7.0885910987854,,0.10051552206277847,,-0.33903238356113435,,,220,,,0.004629222,0.0001,,-0.002850778098218143,,0.18813650235533713,0.812282145023346,0.0575390625,0.2,,,,,,,,,,,,,
18,235520,32.02,5,1390,7.535467147827148,,0.1369846761226654,,-0.4095691469311714,,,225,,,0.006679809,0.0001,,-0.0008849772857502103,,0.260424575060606,0.8337918519973755,0.067265625,0.2,,,,,,,,,,,,,
