time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/n_updates,train/explained_variance,train/entropy_loss,train/value_loss,train/stage_learning_rate,curriculum/stage,train/ent_coef,curriculum/max_steps,curriculum/obs_quantity,curriculum/stage_timesteps,curriculum/grid_size,curriculum/preferred_eval_mode,eval/mean_reward,eval/mean_ep_length,eval/deterministic,eval/full_coverage_rate,eval/std_reward,eval/stage,eval/std_ep_length,eval/stage_timesteps,eval/deterministic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/coverage_promotion_passed,eval/promotion_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/quality_promotion_passed,eval/promotion_max_mean_length,eval/promotion_passed,eval/mode_gap,eval/stochastic_quality_passed,eval/promotion_min_mean_reward,eval/deterministic_promotion_floor,eval/deterministic_quality_passed
16,3.0652506351470947,46080,186,124.52,219,-0.006616900879889726,0.2,0.00869338,7e-05,0.0809375,0.5530723929405212,85,0.15551286935806274,-1.2115922677516937,1.064496162235737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3.12197208404541,48640,200,120.83,217,-0.0037234078999608755,0.2,0.0066427784,7e-05,0.055859375,0.6687187552452087,90,0.2857576012611389,-1.1850483429431915,1.2835536712408067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3.1935465335845947,51200,211,121.48,218,-0.004381572157144547,0.2,0.0074136285,7e-05,0.07015625,0.5307818055152893,95,0.20088660717010498,-1.2007100081443787,0.6537470230460167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3.815751075744629,53760,225,112.64,215,-0.0027554158167913557,0.2,0.010932813,7e-05,0.090078125,0.5079740285873413,100,0.12674367427825928,-1.1903468263149262,0.7324449674040079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3.6313982009887695,56320,227,113.34,224,-0.002522667869925499,0.2,0.016276198,7e-05,0.2109375,0.1701442152261734,101,0.009799063205718994,-1.2054300904273987,0.45160239438215893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3.701716661453247,58880,0,112.86,2671,-0.004308042415816869,0.2,0.022887535,7e-05,0.12648809523809523,0.12704481184482574,106,0.03406864404678345,-1.1709807557719094,0.6922547615887154,7e-05,1,0.010272,200,3,51200,5,0,,,,,,,,,,,,,,,,,,,,,
2,3.896244525909424,61440,13,107.63,377,-0.008858707081526519,0.2,0.009890251,7e-05,0.124453125,0.31376102566719055,111,0.049023568630218506,-1.1773392832279206,0.658271981999278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.964829921722412,64000,22,104.46,338,-0.0016155623255626245,0.2,0.0184777,7e-05,0.10971966911764706,1.0071696043014526,115,0.11495131254196167,-1.161825081881355,0.9564562759855214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.467568397521973,66560,35,96.6,289,-0.006272806841880083,0.2,0.009473392,7e-05,0.094609375,0.28368911147117615,120,0.07623124122619629,-1.1377645277976989,0.5643259717524052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4.475744247436523,69120,47,94.95,267,-0.007374919513240457,0.2,0.009944815,7e-05,0.163046875,0.18339654803276062,125,0.07544755935668945,-1.1127413630485534,0.5791788528859615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4.710210800170898,71680,59,91.25,256,-0.005105843788452363,0.2,0.02408683,7e-05,0.1774929775280899,0.16782382130622864,130,0.03599780797958374,-1.11215017886644,0.37204464633813067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
