rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/policy_gradient_loss,curriculum/grid_size,curriculum/max_steps,train/value_loss,train/learning_rate,curriculum/obs_quantity,train/loss,curriculum/stage,curriculum/stage_timesteps,train/approx_kl,train/clip_fraction,curriculum/preferred_eval_mode,train/stage_learning_rate,train/n_updates,train/ent_coef,train/clip_range,train/entropy_loss,train/explained_variance,eval/stage,eval/mean_reward,eval/stage_timesteps,eval/mean_ep_length,eval/std_ep_length,eval/full_coverage_rate,eval/deterministic,eval/std_reward,eval/deterministic_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/mode_gap,eval/stochastic_full_coverage_rate,eval/promotion_full_coverage_rate
36.97,122880,16,7.302074432373047,922,3,-0.0035620129574090243,,,0.0789920787513256,0.0001,,0.02683849446475506,,,0.0084870085,0.066015625,,,115,,0.2,-0.40070161789655684,0.6481661200523376,,,,,,,,,,,,,
42.3,128000,22,7.104124546051025,896,4,-0.003279883214272559,,,0.11146706707775593,0.0001,,0.05105757713317871,,,0.006975373,0.0630078125,,,120,,0.2,-0.3956966260075569,0.6904836893081665,,,,,,,,,,,,,
39.6,133120,29,7.253090858459473,880,5,-0.003938174969516694,,,0.15020050078630448,0.0001,,0.044981442391872406,,,0.005127295,0.0561328125,,,125,,0.2,-0.4178727090358734,0.7259540557861328,,,,,,,,,,,,,
35.29,138240,35,7.427527904510498,872,6,-0.005066664053592831,,,0.1805957379937172,0.0001,,0.0681389719247818,,,0.0058336672,0.06453125,,,130,,0.2,-0.39622196823358535,0.73587965965271,,,,,,,,,,,,,
34.93,143360,41,7.478140830993652,864,7,-0.003215716923587024,,,0.14506940685212613,0.0001,,0.06010466814041138,,,0.008051443,0.0723828125,,,135,,0.2,-0.34815849244594577,0.5504883527755737,,,,,,,,,,,,,
35.66,148480,47,7.3963518142700195,854,8,-0.002103396453894675,,,0.11634689129889011,0.0001,,0.04876328259706497,,,0.008081067,0.06625,,,140,,0.2,-0.3418095117807388,0.6878654956817627,,,,,,,,,,,,,
34.59,153600,54,7.368630886077881,842,9,-0.0023187728226184844,,,0.11114077553153039,0.0001,,0.03883805125951767,,,0.0037834044,0.0433984375,,,145,,0.2,-0.323138410449028,0.7003546953201294,,,,,,,,,,,,,
34.95,158720,61,7.411790370941162,832,10,-0.003881653887219727,,,0.09715717662125826,0.0001,,0.042951762676239014,,,0.0058323937,0.0576171875,,,150,,0.2,-0.30673174023628236,0.5767368078231812,,,,,,,,,,,,,
,,,,,,-0.0024263654137030243,,,0.10466807708144188,0.0001,,0.047591883689165115,,,0.0077348268,0.055,,,155,,0.2,-0.3059079575538635,0.6253723502159119,1,7.564590649604797,153600,32.48,11.24587035315631,1.0,0,0.2553085581948413,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,4.865454564094543,153600,68.16,74.17920463310455,0.76,1,4.992867639160386,,,,,
