time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/explained_variance,train/loss,train/clip_range,train/n_updates,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
330000,,,,0.613673210144043,-0.016980372369289398,0.2,800,0.017141625,0.07073765818495303,-0.019667173887137325,0.1483154296875,0.0003,-0.4792884631082416,41.62890808224678,34.26
331776,141,2342,81,,,,,,,,,,,,
335872,141,2368,82,0.5849062204360962,-0.019580118358135223,0.2,810,0.01863289,0.09120833163615316,-0.018071605372824706,0.1458740234375,0.0003,-0.5158678200095892,,
339968,141,2394,83,0.5695387125015259,-0.008564665913581848,0.2,820,0.017869737,0.0873361282516271,-0.024006808125704993,0.1638671875,0.0003,-0.506192360818386,,
340000,,,,0.5947348475456238,-0.01181294396519661,0.2,830,0.01832769,0.11948223887011408,-0.02151884752965998,0.1676513671875,0.0003,-0.5311089634895325,45.173999024629595,30.82
344064,141,2426,84,,,,,,,,,,,,
348160,141,2452,85,0.5200464725494385,-0.019756335765123367,0.2,840,0.017798496,0.10524128195829689,-0.021878247446147726,0.149755859375,0.0003,-0.5399578504264355,,
350000,,,,0.5370462536811829,-0.03880451247096062,0.2,850,0.018193204,0.0770183926448226,-0.024445123113400767,0.1587158203125,0.0003,-0.5527827512472868,41.3898171710968,34.48
352256,141,2485,86,,,,,,,,,,,,
356352,141,2511,87,0.5948514938354492,-0.02618466317653656,0.2,860,0.017357428,0.06821548161096871,-0.018438700726255773,0.15048828125,0.0003,-0.5609720723703504,,
360000,,,,0.645322322845459,-0.03473495692014694,0.2,870,0.021143995,0.0870520272757858,-0.02381811849118094,0.153564453125,0.0003,-0.5483363034203649,44.97199902296066,30.96
360448,141,2543,88,,,,,,,,,,,,
364544,141,2569,89,0.5529093742370605,-0.030313778668642044,0.2,880,0.01654433,0.07781684072688222,-0.021004691760026617,0.16806640625,0.0003,-0.5587593730539083,,
368640,141,2596,90,0.49322134256362915,-0.03107789158821106,0.2,890,0.018548599,0.10103888083249331,-0.020216262308531442,0.16552734375,0.0003,-0.5677729249000549,,
370000,,,,0.6307644844055176,-0.009438831359148026,0.2,900,0.016740415,0.12154913861304521,-0.019447603239677848,0.1638427734375,0.0003,-0.5670339483767748,42.54199898004532,34.56
372736,141,2628,91,,,,,,,,,,,,
376832,141,2654,92,0.5065068602561951,-0.02324540913105011,0.2,910,0.018909048,0.11220752536319197,-0.02107433860364836,0.1498046875,0.0003,-0.5566537760198116,,
380000,,,,0.5350548028945923,-0.041446007788181305,0.2,920,0.018631596,0.05506003849441186,-0.025595417071599513,0.1719482421875,0.0003,-0.5411913059651852,40.19490805387497,36.64
380928,141,2687,93,,,,,,,,,,,,
385024,141,2713,94,0.5924769639968872,-0.04074016958475113,0.2,930,0.018880531,0.07823468178976327,-0.022521910483192187,0.16083984375,0.0003,-0.5527210090309381,,
389120,142,2739,95,0.667186439037323,-0.04659820720553398,0.2,940,0.017788418,0.07404489628970623,-0.020050709895440378,0.153466796875,0.0003,-0.5479984445497393,,
390000,,,,0.5685091018676758,-0.021853353828191757,0.2,950,0.02107855,0.07421099576167763,-0.01859406221046811,0.152978515625,0.0003,-0.5397375162690878,44.61599901080132,31.98
393216,141,2771,96,,,,,,,,,,,,
397312,141,2805,97,0.6192545890808105,-0.04040001332759857,0.2,960,0.017527658,0.0683755031786859,-0.021429455387988128,0.1614013671875,0.0003,-0.5623896852135658,,
400000,,,,0.5386289358139038,-0.02693752944469452,0.2,970,0.020784058,0.10333676210138946,-0.022243170061847194,0.17158203125,0.0003,-0.5533837182447314,43.685999007225035,32.28
401408,141,2841,98,,,,,,,,,,,,
405504,141,2870,99,0.6328059434890747,-0.04852898046374321,0.2,980,0.021091651,0.0762914203107357,-0.025823117428808474,0.170654296875,0.0003,-0.5281670982018113,,
409600,141,2900,100,0.6012673377990723,-0.029792897403240204,0.2,990,0.016252955,0.05084471837617457,-0.019971593961236066,0.148486328125,0.0003,-0.5005000721663236,,
410000,,,,0.5853071212768555,-0.03628517687320709,0.2,1000,0.017924033,0.06994018000550568,-0.025440584882744588,0.146728515625,0.0003,-0.5471800170838833,44.605999014377595,31.68
413696,140,2935,101,,,,,,,,,,,,
417792,140,2963,102,0.5679484009742737,-0.02674025297164917,0.2,1010,0.017151436,0.09960362275596708,-0.027159906781162136,0.158544921875,0.0003,-0.5438416175544262,,
420000,,,,0.6964389085769653,-0.01019803062081337,0.2,1020,0.014840193,0.1446221035439521,-0.021677732483658473,0.149072265625,0.0003,-0.5772995103150607,43.821998999118804,32.96
421888,140,2999,103,,,,,,,,,,,,
425984,140,3028,104,0.6327541470527649,-0.027087856084108353,0.2,1030,0.017718626,0.09893448518123478,-0.022200995511957443,0.1402099609375,0.0003,-0.554766346514225,,
430000,,,,0.6734766960144043,-0.03927217423915863,0.2,1040,0.019191809,0.11455436919350177,-0.02631045698362868,0.173046875,0.0003,-0.5738292593508959,43.99599900007248,32.88
430080,140,3063,105,,,,,,,,,,,,
434176,140,3092,106,0.5947442650794983,-0.03202125057578087,0.2,1050,0.01898203,0.07343341379892081,-0.020654553326312452,0.157763671875,0.0003,-0.5558410458266735,,
438272,140,3120,107,0.6342291831970215,-0.023695942014455795,0.2,1060,0.01899672,0.08830302481073886,-0.019929327876889148,0.16201171875,0.0003,-0.5800435166805983,,
440000,,,,0.6542414426803589,-0.026874225586652756,0.2,1070,0.020415211,0.06381802377291024,-0.022093370533548297,0.1667724609375,0.0003,-0.5459305645897985,43.045998980998995,34.48
442368,140,3152,108,,,,,,,,,,,,
446464,140,3178,109,0.5058820247650146,-0.04196970537304878,0.2,1080,0.018657986,0.08436686659697443,-0.020202121883630752,0.164453125,0.0003,-0.5663361717015505,,
450000,,,,0.5659321546554565,-0.028442157432436943,0.2,1090,0.021924745,0.05943023436702788,-0.02066457834735047,0.167578125,0.0003,-0.5498129161074757,43.917999000549315,32.84
450560,140,3210,110,,,,,,,,,,,,
454656,140,3243,111,0.6120630502700806,-0.03660883754491806,0.2,1100,0.019198008,0.07550364048220218,-0.02394465190882329,0.1685302734375,0.0003,-0.5444194477051496,,
458752,140,3275,112,0.6353471279144287,-0.035086728632450104,0.2,1110,0.02071688,0.08073445667978377,-0.023901634331559764,0.1599853515625,0.0003,-0.5589480619877577,,
460000,,,,0.5893795490264893,-0.03889027237892151,0.2,1120,0.023466669,0.053225080389529465,-0.025761819977196863,0.1701171875,0.0003,-0.5462652495130896,39.598908041715625,37.66
462848,139,3312,113,,,,,,,,,,,,
466944,139,3342,114,0.6254649758338928,-0.0136924609541893,0.2,1130,0.016401418,0.07690524412319064,-0.026209462314727715,0.1581298828125,0.0003,-0.5534866247326136,,
470000,,,,0.4856168031692505,-0.02386239543557167,0.2,1140,0.020296916,0.0768023937009275,-0.020067993792326887,0.1656494140625,0.0003,-0.5283278634771704,44.03999899864197,33.0
471040,139,3378,115,,,,,,,,,,,,
475136,139,3404,116,0.6093898415565491,-0.01844746246933937,0.2,1150,0.01716758,0.09298821946140379,-0.02557750894775381,0.158203125,0.0003,-0.5755860306322574,,
479232,139,3429,117,0.6247765421867371,-0.03514954447746277,0.2,1160,0.017547455,0.09604403844568879,-0.02516956475446932,0.1572509765625,0.0003,-0.5533731715753675,,
480000,,,,0.583518385887146,-0.01953217014670372,0.2,1170,0.017351342,0.0912504788255319,-0.023429871836560777,0.1558837890625,0.0003,-0.5576445154845715,40.778726252317426,35.36
483328,139,3460,118,,,,,,,,,,,,
487424,139,3486,119,0.7427302598953247,-0.025890015065670013,0.2,1180,0.016977848,0.10789099731482565,-0.023504009102180135,0.15517578125,0.0003,-0.59247278124094,,
490000,,,,0.46546095609664917,-0.03328479826450348,0.2,1190,0.02247258,0.05349567534867674,-0.02304928194207605,0.167138671875,0.0003,-0.5823048267513513,44.66199901103973,31.96
491520,139,3517,120,,,,,,,,,,,,
495616,139,3545,121,0.6347289085388184,-0.048150744289159775,0.2,1200,0.017739143,0.06375364537816494,-0.027739686140557752,0.1583251953125,0.0003,-0.5912141043692827,,
499712,139,3576,122,0.5708267688751221,-0.027337241917848587,0.2,1210,0.018160775,0.09317064331844449,-0.023789737778133712,0.160107421875,0.0003,-0.5625661589205265,,
500000,,,,0.7325384616851807,-0.03161192685365677,0.2,1220,0.022919701,0.06553934260737151,-0.028492096514673902,0.160498046875,0.0003,-0.551380256935954,40.666908059120175,36.2
503808,139,3613,123,,,,,,,,,,,,
507904,139,3643,124,0.7889521718025208,-0.04293927922844887,0.2,1230,0.017409338,0.08944217236712575,-0.02137089061725419,0.1555419921875,0.0003,-0.5605834104120732,,
510000,,,,0.6508669853210449,-0.022110749036073685,0.2,1240,0.01602165,0.0947216645348817,-0.020948088544537315,0.1491455078125,0.0003,-0.5559946632012724,38.97672620534897,39.08
512000,139,3681,125,,,,,,,,,,,,
516096,139,3710,126,0.4653342366218567,-0.04085902124643326,0.2,1250,0.020466141,0.06809878037311137,-0.02510629821335897,0.17333984375,0.0003,-0.5410510228946805,,
520000,,,,0.6269460916519165,-0.018729310482740402,0.2,1260,0.017840603,0.10856914899777621,-0.015648554744257127,0.1455322265625,0.0003,-0.5586390551179647,44.73599901556969,31.58
520192,138,3747,127,,,,,,,,,,,,
524288,138,3777,128,0.7126255631446838,-0.016616340726614,0.2,1270,0.014998218,0.12969902902841568,-0.024624619758105835,0.14169921875,0.0003,-0.5422067429870367,,
528384,138,3807,129,0.6688106060028076,-0.015812180936336517,0.2,1280,0.01544491,0.16925237337127327,-0.02553529091528617,0.1508544921875,0.0003,-0.5684778455644846,,
530000,,,,0.5756454467773438,-0.005522549152374268,0.2,1290,0.018765688,0.13345183306373656,-0.025838265629136003,0.1659423828125,0.0003,-0.5559161171317101,40.53799895524978,36.64
532480,138,3845,130,,,,,,,,,,,,
536576,138,3875,131,0.6029490232467651,0.004221118986606598,0.2,1300,0.017892934,0.15729337371885777,-0.025771860349050258,0.14990234375,0.0003,-0.5745878856629133,,
540000,,,,0.5853379964828491,-0.025905463844537735,0.2,1310,0.018560894,0.12741770558059215,-0.025246857982710934,0.1552978515625,0.0003,-0.5773456819355488,45.39199902176857,31.06
540672,138,3912,132,,,,,,,,,,,,
544768,138,3941,133,0.6267778873443604,-0.02619817480444908,0.2,1320,0.019044165,0.17057805331423878,-0.028357026950106955,0.1730224609375,0.0003,-0.6077478297054768,,
548864,138,3971,134,0.5419906377792358,-0.006117645651102066,0.2,1330,0.01917744,0.15677280379459263,-0.028551756028900855,0.17099609375,0.0003,-0.5983609553426504,,
550000,,,,0.7631245255470276,-0.03249324858188629,0.2,1340,0.021094706,0.1274300640914589,-0.029715123912319542,0.1812255859375,0.0003,-0.6016712613403797,39.311817116737366,38.94
552960,137,4008,135,,,,,,,,,,,,
557056,137,4039,136,0.6091033220291138,-0.028577148914337158,0.2,1350,0.017799675,0.07840368142351509,-0.02282357434742153,0.1666015625,0.0003,-0.586227560043335,,
560000,,,,0.5194228291511536,-0.02353731170296669,0.2,1360,0.020514362,0.10759324133396149,-0.026980562176322564,0.178662109375,0.0003,-0.5859322786331177,44.85599901199341,31.88
561152,137,4074,137,,,,,,,,,,,,
565248,137,4100,138,0.4852902293205261,-0.03314344212412834,0.2,1370,0.0231073,0.10697393876034766,-0.02605696206301218,0.176513671875,0.0003,-0.5887916028499603,,
569344,137,4126,139,0.5092686414718628,-0.03933749720454216,0.2,1380,0.024205182,0.07351215439848602,-0.03405154827341903,0.1910888671875,0.0003,-0.5947896558791399,,
570000,,,,0.6450363397598267,-0.038677431643009186,0.2,1390,0.02095934,0.09808071528095752,-0.02903487603616668,0.184521484375,0.0003,-0.5960156545042992,40.359998936653135,38.2
573440,137,4159,140,,,,,,,,,,,,
577536,137,4186,141,0.5217548608779907,-0.054949793964624405,0.2,1400,0.02390235,0.07958505970891565,-0.03131086129142204,0.1976318359375,0.0003,-0.5692097786813974,,
