rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/approx_kl,train/loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/n_updates,train/explained_variance,curriculum/stage,train/ent_coef,train/stage_learning_rate,curriculum/preferred_eval_mode,curriculum/stage_timesteps,curriculum/max_steps,curriculum/obs_quantity,curriculum/grid_size
-3.4448819160461426,1287,2560,185.0,1,1,,,,,,,,,,,,,,,,,,
-4.215756416320801,298,5120,182.0,17,2,0.013513309,0.0302691999822855,-1.3810831928253173,0.038671875,0.2,7e-05,-0.008225886868312954,0.8090353589504957,5,-0.020789504051208496,,,,,,,,
-3.7368814945220947,2404,7680,179.72972972972974,1,1,0.012321804,1.2534384727478027,-1.382728397846222,0.079375,0.2,7e-05,-0.007195685533806681,0.5869509618729353,10,0.06868875026702881,1,0.02,7e-05,0,0,200,3,5
-4.064375400543213,355,10240,183.0,14,2,0.010310782,-0.028578151017427444,-1.3827353405952454,0.059140625,0.2,7e-05,-0.009194948952645063,0.7417802849039435,15,0.0812721848487854,,,,,,,,
-3.664923906326294,274,12800,181.4848484848485,27,3,0.009583553,0.03427892178297043,-1.3740421640872955,0.091875,0.2,7e-05,-0.010867955787107348,0.42855264311656355,20,0.36895889043807983,,,,,,,,
-3.0196056365966797,247,15360,178.2875,41,4,0.010907217,0.4235784709453583,-1.3617342138290405,0.12484375,0.2,7e-05,-0.007520143669098616,0.48549515938386323,25,0.5134878158569336,,,,,,,,
-2.815568208694458,247,17920,176.67708333333334,51,5,0.008550554,0.3127968907356262,-1.358078075647354,0.069296875,0.2,7e-05,-0.0063751171994954345,0.657351775728166,30,0.4447724223136902,,,,,,,,
-2.3288381099700928,236,20480,175.0,65,6,0.0079095755,0.7276554107666016,-1.3506076395511628,0.073203125,0.2,7e-05,-0.004299541646614671,0.5957344003021717,35,0.5604881644248962,,,,,,,,
-1.5180200338363647,228,23040,171.28,78,7,0.005911884,0.015799593180418015,-1.3456089878082276,0.044453125,0.2,7e-05,-0.004880092879757285,0.40749475460499524,40,0.673782467842102,,,,,,,,
-0.9965885281562805,221,25600,169.2,92,8,0.0060001076,0.3621272146701813,-1.3345628798007965,0.05890625,0.2,7e-05,-0.004167548734694719,0.43551283337175845,45,0.7444733381271362,,,,,,,,
